"Sex","Length","Diameter","Height","Whole_weight","Shucked_weight","Viscera_weight","Shell_weight","target"
"M",0.455,0.365,0.095,0.514,0.2245,0.101,0.15,"15"
"M",0.35,0.265,0.09,0.2255,0.0995,0.0485,0.07,"7"
"F",0.53,0.42,0.135,0.677,0.2565,0.1415,0.21,"9"
"M",0.44,0.365,0.125,0.516,0.2155,0.114,0.155,"10"
"I",0.33,0.255,0.08,0.205,0.0895,0.0395,0.055,"7"
"I",0.425,0.3,0.095,0.3515,0.141,0.0775,0.12,"8"
"F",0.53,0.415,0.15,0.7775,0.237,0.1415,0.33,"20"
"ew41e37JFC",0.545,0.425,0.125,0.768,0.294,"o5GDCxPrPJ",0.26,"16"
"M",0.475,0.37,0.125,0.5095,0.2165,0.1125,0.165,"9"
"F","H4PEm83NSO",0.44,0.15,0.8945,0.3145,0.151,0.32,"19"
"F",0.525,0.38,0.14,0.6065,0.194,0.1475,0.21,"14"
"M",0.43,0.35,0.11,0.406,0.1675,0.081,0.135,"10"
"M","fT26LH0JCq",0.38,0.135,0.5415,0.2175,0.095,0.19,"11"
"F",0.535,0.405,0.145,0.6845,0.2725,0.171,0.205,"10"
"wQdPydoVFG",0.47,0.355,0.1,0.4755,0.1675,0.0805,0.185,"10"
"M",0.5,0.4,0.13,0.6645,"3hWV0TxLBg",0.133,"mSsqF78jCe","12"
"I",0.355,0.28,0.085,0.2905,0.095,0.0395,0.115,"7"
"F",0.44,"95uJs4Uuxr",0.1,0.451,0.188,0.087,0.13,"10"
"M",0.365,0.295,0.08,0.2555,0.097,0.043,0.1,"7"
"M",0.45,0.32,0.1,0.381,0.1705,0.075,0.115,"9"
"M",0.355,0.28,0.095,0.2455,0.0955,0.062,0.075,"11"
"I",0.38,0.275,0.1,0.2255,0.08,0.049,0.085,"10"
"MgQR0tw8Ub",0.565,"ZgDcd5pNhR",0.155,0.9395,0.4275,0.214,0.27,"12"
"F",0.55,0.415,0.135,0.7635,0.318,0.21,0.2,"9"
"F",0.615,0.48,0.165,1.1615,0.513,0.301,0.305,"10"
"F",0.56,0.44,0.14,0.9285,0.3825,0.188,0.3,"11"
"qC9ALvPoDw",0.58,0.45,0.185,0.9955,0.3945,0.272,0.285,"11"
"M",0.59,0.445,0.14,0.931,0.356,0.234,0.28,"12"
"M",0.605,0.475,"grEzXX1NH6",0.9365,0.394,0.219,0.295,"15"
"M",0.575,0.425,0.14,0.8635,0.393,0.227,0.2,"11"
"M",0.58,0.47,"vJqzgBbCwD","0021EHF6jM",0.3935,0.242,0.33,"10"
"F",0.68,0.56,0.165,1.639,0.6055,0.2805,0.46,"15"
"M",0.665,0.525,0.165,"ZDuvl5arUu",0.5515,0.3575,0.35,"18"
"F","71ZWAjpnE5",0.55,0.175,1.798,0.815,0.3925,0.455,"19"
"F",0.705,0.55,0.2,1.7095,0.633,0.4115,0.49,"13"
"M",0.465,0.355,0.105,0.4795,0.227,0.124,0.125,"8"
"F",0.54,0.475,0.155,1.217,0.5305,0.3075,0.34,"16"
"F",0.45,0.355,0.105,0.5225,0.237,0.1165,"gzoAh2U4Go","8"
"F",0.575,0.445,0.135,0.883,0.381,0.2035,0.26,"11"
"M",0.355,0.29,0.09,0.3275,0.134,0.086,0.09,"9"
"F",0.45,0.335,0.105,0.425,0.1865,0.091,0.115,"9"
"F",0.55,0.425,0.135,0.8515,0.362,0.196,0.27,"14"
"I",0.24,0.175,0.045,0.07,0.0315,"aWBdg2gRDO",0.02,"5"
"I",0.205,0.15,0.055,0.042,0.0255,0.015,0.012,"5"
"I",0.21,0.15,0.05,0.042,0.0175,0.0125,0.015,"4"
"I",0.39,0.295,0.095,0.203,"qVGbdSShdY",0.045,0.075,"7"
"M",0.47,0.37,0.12,0.5795,0.293,0.227,0.14,"9"
"F","rDS5wTCvaf",0.375,0.12,0.4605,0.1775,0.11,0.15,"7"
"I",0.325,0.245,0.07,0.161,0.0755,0.0255,0.045,"6"
"F",0.525,0.425,0.16,0.8355,0.3545,"gobUM7ep9I",0.245,"9"
"I",0.52,0.41,0.12,0.595,0.2385,0.111,0.19,"8"
"M",0.4,0.32,0.095,0.303,0.1335,0.06,0.1,"7"
"M",0.485,0.36,0.13,0.5415,0.2595,0.096,0.16,"10"
"F",0.47,0.36,0.12,0.4775,0.2105,0.1055,"GJjl1CVjG6","10"
"M",0.405,0.31,0.1,0.385,0.173,0.0915,0.11,"7"
"F",0.5,0.4,0.14,0.6615,0.2565,0.1755,0.22,"8"
"M",0.445,0.35,0.12,"zFUZOzauVk",0.192,0.0955,0.135,"8"
"M",0.47,0.385,0.135,0.5895,0.2765,0.12,0.17,"8"
"I",0.245,0.19,0.06,0.086,0.042,0.014,0.025,"4"
"F",0.505,0.4,0.125,0.583,0.246,0.13,0.175,"7"
"1UfEvjXvZo",0.45,0.345,0.105,0.4115,0.18,0.1125,0.135,"7"
"M",0.505,0.405,0.11,0.625,0.305,0.16,0.175,"9"
"F",0.53,0.41,"csNFMfZBGQ",0.6965,0.302,0.1935,0.2,"10"
"M","ziNe4lnVMF",0.325,0.095,0.3785,0.1705,0.08,0.1,"7"
"M",0.52,0.4,0.12,0.58,0.234,0.1315,0.185,"8"
"M",0.475,0.355,0.12,0.48,0.234,0.1015,0.135,"8"
"HHMiJsxu6b",0.565,0.44,0.16,0.915,"VjjJReDLEO",0.1935,0.32,"12"
"F",0.595,0.495,0.185,1.285,0.416,0.224,0.485,"13"
"F",0.475,0.39,0.12,0.5305,0.2135,0.1155,0.17,"10"
"I",0.31,0.235,0.07,0.151,0.063,0.0405,0.045,"6"
"M",0.555,0.425,0.13,0.7665,0.264,0.168,0.275,"13"
"F",0.4,0.32,"D835DEz0oh",0.353,0.1405,0.0985,0.1,"8"
"F",0.595,"10lwbBT9dS",0.17,1.247,0.48,0.225,0.425,"20"
"M",0.57,0.48,0.175,1.185,0.474,0.261,0.38,"11"
"F","JnGn6CGFBb",0.45,"tpJLzgWjot","OJT0r59lOQ",0.481,0.2895,0.315,"13"
"F",0.6,0.475,0.15,1.0075,0.4425,0.221,0.28,"15"
"M",0.595,0.475,0.14,0.944,0.3625,0.189,0.315,"9"
"F",0.6,0.47,0.15,0.922,0.363,0.194,0.305,"10"
"F",0.555,0.425,0.14,0.788,0.282,0.1595,0.285,"11"
"F",0.615,0.475,0.17,1.1025,0.4695,0.2355,0.345,"14"
"F",0.575,0.445,"0lVWA2FWqg",0.941,0.3845,0.252,0.285,"9"
"M",0.62,0.51,0.175,1.615,0.5105,0.192,0.675,"12"
"F",0.52,0.425,0.165,0.9885,0.396,0.225,0.32,"16"
"M",0.595,0.475,0.16,1.3175,0.408,0.234,0.58,"21"
"M",0.58,0.45,0.14,1.013,"0OKR2FUzM1","j29jw9Jg2C",0.36,"14"
"F",0.57,0.465,0.18,1.295,0.339,0.2225,0.44,"12"
"M",0.625,"YA2dtG25H3",0.14,1.195,0.4825,0.205,0.4,"13"
"M",0.56,0.44,0.16,0.8645,0.3305,0.2075,0.26,"10"
"F",0.46,0.355,0.13,0.517,0.2205,0.114,0.165,"9"
"F",0.575,"WQfPCdiSCY",0.16,0.9775,0.3135,0.231,0.33,"12"
"M",0.565,0.425,"xiewehLX7y",0.8115,"qrFjRoIv4w",0.1675,0.255,"15"
"M",0.555,0.44,0.15,0.755,0.307,0.1525,0.26,"12"
"M",0.595,0.465,0.175,1.115,0.4015,0.254,0.39,"13"
"F",0.625,0.495,0.165,1.262,0.507,0.318,"5PzznF8AaS","10"
"M",0.695,0.56,0.19,1.494,0.588,"xnVKUr5zYo",0.485,"15"
"M",0.665,0.535,0.195,1.606,0.5755,0.388,0.48,"14"
"M",0.535,0.435,0.15,0.725,0.269,0.1385,0.25,"9"
"M",0.47,0.375,0.13,0.523,0.214,0.132,0.145,"8"
"M",0.47,0.37,0.13,0.5225,0.201,0.133,0.165,"7"
"4iHxKpHJlE",0.475,0.375,0.125,0.5785,0.2775,0.085,0.155,"10"
"I",0.36,0.265,0.095,0.2315,0.105,0.046,0.075,"7"
"M",0.55,0.435,0.145,0.843,0.328,"Dt7r7180p0",0.255,"15"
"M",0.53,0.435,0.16,0.883,0.316,0.164,0.335,"15"
"M",0.53,0.415,0.14,0.724,0.3105,0.1675,0.205,"10"
"M",0.605,0.47,"UTFESAL1pc",1.1735,0.4975,0.2405,0.345,"12"
"F",0.52,0.41,0.155,0.727,0.291,0.1835,0.235,"12"
"F",0.545,0.43,0.165,0.802,0.2935,"JyeeU5wt1p",0.28,"11"
"F",0.5,0.4,0.125,0.6675,0.261,0.1315,0.22,"10"
"F",0.51,0.39,0.135,0.6335,0.231,0.179,0.2,"9"
"F",0.435,0.395,0.105,0.3635,0.136,0.098,0.13,"9"
"M",0.495,"NlvrHpkF7D",0.125,0.5415,0.2375,0.1345,0.155,"9"
"M",0.465,0.36,0.105,0.431,0.172,0.107,0.175,"9"
"I",0.435,0.32,0.08,0.3325,0.1485,0.0635,0.105,"9"
"M",0.425,0.35,0.105,0.393,0.13,0.063,0.165,"9"
"F","zBW5GmN0FY",0.41,0.125,0.6935,0.2975,0.146,0.21,"11"
"F",0.53,"1t2hmSjQOh",0.115,0.5915,0.233,0.1585,0.18,"11"
