"longitude","latitude","housing_median_age","total_rooms","total_bedrooms","population","households","median_income","ocean_proximity","target"
-122.23,37.88,41,880,129.0,322,126,8.3252,"NEAR BAY",452600
-122.22,37.86,21,7099,1106.0,2401,1138,8.3014,"NEAR BAY",358500
-122.24,37.85,52,"gupdwVWXDl",190.0,496,177,7.2574,"NEAR BAY",352100
-122.25,37.85,52,1274,235.0,558,219,5.6431,"NEAR BAY",341300
-122.25,37.85,52,1627,280.0,565,"KNSABRdkRs",3.8462,"Hqo6xFb4PW",342200
-122.25,37.85,52,919,213.0,413,193,4.0368,"NEAR BAY",269700
-122.25,37.84,52,2535,489.0,1094,514,3.6591,"NEAR BAY",299200
"ew41e37JFC",37.84,52,3104,687.0,"cRv77t38WI",647,3.12,"NEAR BAY",241400
-122.26,37.84,42,2555,665.0,1206,595,2.0804,"NEAR BAY",226700
-122.25,37.84,52,3549,707.0,1551,714,3.6912,"NEAR BAY",261100
-122.26,37.85,52,2202,434.0,910,402,3.2031,"NEAR BAY",281500
-122.26,"sbCYJu0Kix",52,"kmzjDRGfCY",752.0,1504,734,3.2705,"NEAR BAY",241800
-122.26,37.85,52,2491,474.0,1098,468,3.075,"NEAR BAY",213500
-122.26,37.84,52,696,191.0,345,174,2.6736,"NEAR BAY",191300
"wQdPydoVFG",37.85,52,2643,626.0,1212,620,1.9167,"uyAhZjYi7J",159200
-122.26,37.85,50,1120,283.0,697,264,2.125,"NEAR BAY",140000
-122.27,37.85,52,1966,347.0,793,331,2.775,"NEAR BAY",152500
-122.27,37.85,52,1228,293.0,648,303,2.1202,"NEAR BAY",155500
-122.26,37.84,50,2239,455.0,"xbqdLACOwG",419,1.9911,"NEAR BAY",158700
-122.27,37.84,52,1503,298.0,690,275,2.6033,"NEAR BAY",162900
-122.27,37.85,40,751,184.0,409,166,1.3578,"NEAR BAY",147500
-122.27,37.85,42,1639,"HE4WYp0kur",929,366,1.7135,"NEAR BAY",159800
