"vh","wind","humidity","temp","ibh","dpg","ibt","vis","doy","target"
5710.0,4.0,28.0,40.0,2693.0,-25.0,87.0,250.0,33.0,3.0
5700.0,3.0,37.0,45.0,590.0,-24.0,128.0,100.0,34.0,5.0
5760.0,3.0,51.0,54.0,1450.0,"4EGXLDTBhp",139.0,60.0,35.0,5.0
5720.0,4.0,69.0,"geXyjEwvux",1568.0,15.0,121.0,60.0,36.0,6.0
5790.0,6.0,19.0,45.0,2631.0,-33.0,123.0,100.0,"DBYe3UwJSc",4.0
5790.0,3.0,25.0,55.0,554.0,-28.0,182.0,250.0,38.0,4.0
5700.0,3.0,73.0,41.0,2083.0,23.0,114.0,120.0,39.0,6.0
"ew41e37JFC","jTAeb8dcq2",59.0,44.0,2654.0,-2.0,91.0,120.0,40.0,7.0
5770.0,8.0,27.0,54.0,5000.0,-19.0,92.0,120.0,41.0,4.0
5720.0,3.0,44.0,51.0,"nDVweF5fJQ",9.0,173.0,150.0,42.0,6.0
5760.0,6.0,33.0,51.0,492.0,-44.0,181.0,40.0,43.0,5.0
5780.0,6.0,19.0,54.0,5000.0,-44.0,135.0,200.0,44.0,4.0
5830.0,3.0,19.0,58.0,1249.0,-53.0,243.0,250.0,45.0,4.0
5870.0,2.0,19.0,61.0,5000.0,-67.0,186.0,200.0,46.0,7.0
"wQdPydoVFG",5.0,19.0,64.0,5000.0,-40.0,174.0,200.0,47.0,5.0
5780.0,4.0,59.0,67.0,639.0,1.0,189.0,150.0,48.0,9.0
5680.0,5.0,73.0,52.0,393.0,-68.0,210.0,10.0,49.0,4.0
5720.0,4.0,19.0,54.0,5000.0,-66.0,126.0,140.0,50.0,3.0
5760.0,3.0,19.0,54.0,5000.0,-58.0,111.0,250.0,51.0,4.0
5730.0,4.0,26.0,"EqCg6HohCt",5000.0,-26.0,111.0,200.0,"1RdDZZCuFd",4.0
5700.0,5.0,59.0,69.0,3044.0,18.0,116.0,150.0,53.0,5.0
5650.0,5.0,70.0,51.0,3641.0,23.0,87.0,140.0,54.0,6.0
"MgQR0tw8Ub",3.0,64.0,"JuyOWdvy7F",111.0,-10.0,"4CwODK372x",50.0,55.0,9.0
5820.0,5.0,19.0,59.0,597.0,-52.0,"pXmsZ5qJkS",70.0,57.0,6.0
5810.0,5.0,19.0,64.0,1791.0,-15.0,182.0,150.0,59.0,6.0
5790.0,3.0,28.0,63.0,793.0,-15.0,188.0,120.0,60.0,11.0
"qC9ALvPoDw",2.0,"pZqVgpzzii",63.0,531.0,-38.0,244.0,40.0,61.0,10.0
5820.0,5.0,19.0,62.0,419.0,-29.0,243.0,"Emb5Gqo9qf",61.0,7.0
5770.0,8.0,76.0,63.0,816.0,"66UihOb8wj",190.0,6.0,62.0,12.0
5670.0,3.0,69.0,54.0,3651.0,62.0,95.0,30.0,63.0,9.0
5590.0,3.0,76.0,"wfJXJmk8vT",5000.0,70.0,33.0,100.0,64.0,2.0
5410.0,6.0,64.0,31.0,5000.0,28.0,2.0,200.0,65.0,3.0
5350.0,7.0,62.0,30.0,1341.0,18.0,77.0,"8I0AH0SAGq",66.0,3.0
5480.0,9.0,72.0,36.0,5000.0,0.0,37.0,350.0,67.0,2.0
5600.0,7.0,76.0,42.0,3799.0,-18.0,77.0,250.0,68.0,3.0
5490.0,11.0,72.0,37.0,5000.0,32.0,34.0,350.0,69.0,3.0
5560.0,10.0,72.0,41.0,5000.0,-1.0,31.0,"I6ZWFh4Qg6",70.0,4.0
5700.0,3.0,32.0,"eWP3a15PAq",5000.0,-30.0,77.0,300.0,71.0,6.0
5680.0,5.0,"H47hQxye7H",51.0,5000.0,-8.0,75.0,300.0,72.0,8.0
5700.0,4.0,86.0,55.0,2398.0,21.0,121.0,200.0,73.0,6.0
5650.0,5.0,61.0,41.0,5000.0,51.0,24.0,100.0,74.0,4.0
5610.0,5.0,62.0,41.0,4281.0,42.0,52.0,250.0,75.0,3.0
5730.0,5.0,66.0,49.0,1161.0,27.0,116.0,200.0,76.0,7.0
5770.0,5.0,68.0,45.0,2778.0,2.0,132.0,200.0,77.0,11.0
5770.0,3.0,82.0,55.0,442.0,26.0,146.0,40.0,78.0,13.0
5690.0,8.0,21.0,41.0,5000.0,-30.0,57.0,300.0,80.0,6.0
5700.0,3.0,19.0,45.0,5000.0,-53.0,66.0,300.0,81.0,5.0
5730.0,11.0,19.0,51.0,5000.0,-43.0,95.0,300.0,82.0,4.0
5690.0,7.0,19.0,53.0,5000.0,7.0,95.0,300.0,83.0,4.0
5640.0,5.0,68.0,50.0,5000.0,24.0,56.0,300.0,84.0,6.0
5720.0,6.0,63.0,60.0,1341.0,19.0,151.0,150.0,85.0,10.0
5740.0,3.0,54.0,54.0,1318.0,2.0,181.0,150.0,86.0,15.0
5740.0,3.0,47.0,53.0,885.0,-4.0,195.0,80.0,87.0,23.0
5740.0,3.0,56.0,53.0,360.0,3.0,195.0,40.0,88.0,17.0
5670.0,7.0,61.0,44.0,3497.0,73.0,97.0,"3T5sdq596S",89.0,7.0
5550.0,10.0,74.0,40.0,5000.0,73.0,45.0,80.0,91.0,2.0
5470.0,7.0,46.0,30.0,5000.0,44.0,-15.0,300.0,92.0,3.0
5320.0,11.0,45.0,25.0,5000.0,39.0,-25.0,200.0,93.0,3.0
5530.0,3.0,43.0,40.0,5000.0,"ycNBqPmDtG",9.0,140.0,95.0,4.0
5600.0,3.0,21.0,45.0,5000.0,-2.0,39.0,140.0,96.0,6.0
"1UfEvjXvZo",7.0,57.0,51.0,5000.0,30.0,56.0,140.0,97.0,7.0
5580.0,5.0,42.0,48.0,"JchMczF1hq",24.0,41.0,100.0,98.0,7.0
5510.0,5.0,50.0,45.0,5000.0,38.0,5.0,140.0,99.0,6.0
5530.0,5.0,61.0,47.0,5000.0,56.0,20.0,200.0,100.0,3.0
5620.0,9.0,61.0,43.0,5000.0,66.0,13.0,120.0,101.0,2.0
