"X_0","X_1","X_2","X_3","X_4","X_5","X_6","X_7","X_8","X_9","X_10","X_11","target"
0.49,0.7,-0.91,0.85,0.68,0.38,-0.86,-0.28,-1.13,0.99,0.39,0.33,2.1530049926934938
0.37,0.6,-1.48,-0.48,-1.95,0.6,-0.81,0.2,0.43,"d3sQreFsUk",-0.23,-0.02,-0.6393770115075185
-1.05,0.03,"SBXzwcQF6Z",-1.58,0.48,1.45,0.88,1.42,0.09,-0.15,0.35,"vlYcTnOVDT",-0.1175132492771999
0.58,0.19,1.92,-0.98,-1.67,0.82,-0.01,0.73,0.16,1.16,-0.65,-0.59,1.5220194676391021
-1.19,-0.69,-0.86,-1.04,1.1,-0.89,0.25,1.21,-0.59,0.56,1.02,-0.07,0.808699906995369
-0.28,-1.01,-1.35,1.21,-0.41,-0.42,-0.09,-0.77,1.31,-1.26,-0.73,-0.21,0.5045833596278955
0.82,-1.2,0.35,-0.65,0.32,-0.23,1.99,2.45,-0.27,-0.51,0.33,-0.67,-1.1868405585863315
"ew41e37JFC",-2.02,0.01,1.89,-2.21,1.06,0.71,1.04,-0.42,1.73,0.58,0.95,-0.4153874452864403
-1.17,-1.92,0.29,-0.15,-1.44,"RmHmH7943s",0.03,0.75,1.03,-0.54,-1.25,0.02,0.6034532563222491
1.0,-0.37,-0.39,-1.53,0.39,-1.52,2.55,-0.76,-1.14,"fyi1Sq5Hjt",-1.24,-1.15,1.9479443520256894
-1.19,0.86,-0.07,1.44,"JvIJHEb2Wv",-1.14,-0.23,0.22,0.41,"USjMJTNFvw",0.35,-1.66,-0.17000206815461044
-1.19,-2.08,-1.2,0.39,-0.26,-0.66,-1.17,-1.1,-0.21,-0.12,-0.47,-0.54,-1.2880904371296042
0.3,-0.42,-0.88,0.37,-1.92,0.06,0.2,0.28,0.67,-0.47,-1.04,-0.04,0.3097436533754286
0.72,1.51,1.19,-2.62,1.31,-0.96,-0.13,-0.94,0.37,1.24,-1.35,0.78,-0.8682399618850455
"wQdPydoVFG",2.91,1.22,-0.92,-0.45,-2.24,"4PQPIyyvoQ",0.75,0.25,-1.35,1.57,0.58,-2.215014750902688
-0.34,-0.28,-2.18,1.44,0.68,-1.71,-0.09,1.12,1.58,-1.86,-1.35,-1.41,-0.9310596825906544
-0.68,1.04,-0.04,0.66,0.75,-0.49,"u4X3V57Tz3",-0.4,2.11,-0.56,0.84,-0.61,-1.0009583963091324
-0.47,-0.43,0.42,0.04,-0.5,-0.86,-0.54,-1.13,1.4,0.15,0.76,-0.26,-1.2315029509172486
-0.54,-0.44,-0.38,1.3,1.24,1.77,0.86,0.32,-0.34,-0.12,-1.14,-0.5,-0.9680291662809877
-0.94,0.38,-1.92,-0.25,-1.1,-0.14,0.08,-0.39,0.03,"grzhTeAD3b",-0.46,1.14,0.5789797587464861
-0.27,0.84,1.99,0.59,-0.74,0.37,-0.37,0.6,0.81,-0.01,0.27,0.89,-0.5907246981340702
-0.34,0.5,0.02,0.05,1.19,0.7,0.29,1.26,1.36,"SzQhBNYhca",-1.89,0.98,0.5082807683541661
"MgQR0tw8Ub",0.5,0.82,1.63,-0.87,-0.76,0.3,-0.49,1.37,0.9,-1.42,0.27,0.7316682987489278
0.94,1.13,-1.14,1.8,0.66,-1.2,0.14,-1.21,0.41,-0.32,2.48,-1.06,-0.16037482794714722
0.83,1.09,0.38,-0.31,"uhD8N8gxeT",0.85,0.22,-0.37,0.62,1.05,0.58,-0.01,-0.28012266306651495
0.14,0.7,-0.09,-1.4,1.37,0.75,"cbkC1BSUSj",1.56,1.85,-0.48,-0.32,-0.16,-0.06328285882035757
"qC9ALvPoDw",0.13,-0.0,1.25,0.14,0.84,1.06,0.41,0.81,1.74,"4cPPFEY1Ki",-0.57,1.9129319951326746
0.52,0.72,1.12,0.38,0.84,2.37,0.63,0.38,-1.72,-0.18,0.89,-0.54,-1.1170691111589657
-0.24,1.09,-0.03,0.35,"c2uNEQAIkq",-0.43,1.05,"Dewyumr1FU",-0.47,-0.92,0.38,0.72,-0.045069695152881326
-1.11,1.35,0.36,0.04,-0.61,1.3,-0.2,0.33,-0.88,-0.48,1.03,-0.27,-1.0648104577398145
-1.76,1.32,0.78,"mGl8kGM2Gm",0.06,0.24,0.06,0.85,-0.11,-0.05,0.28,1.58,2.05616075775447
0.02,-0.78,0.52,0.0,0.38,-0.58,-0.93,-0.16,1.46,"x7uceblsbl",-0.84,-2.31,0.32556384113580805
0.7,2.05,-0.32,1.24,-0.83,2.54,-1.18,-0.82,0.09,1.33,-0.54,-2.54,-1.537544617615997
-0.71,-0.19,-0.59,0.25,0.16,1.97,0.36,-1.86,-2.02,0.76,-1.21,0.04,1.7137994331403226
0.85,1.27,0.85,1.37,0.03,0.26,-1.56,-0.71,0.45,-0.99,-0.05,-0.1,0.7181008360331478
-1.04,0.58,1.52,0.61,-1.71,"rVHMsE21wf",0.58,2.02,"E7moSUYrE9",0.53,"RqeJHtvde5",0.15,-0.5825845594430015
