"cap-shape","cap-surface","cap-color","bruises%3F","odor","gill-attachment","gill-spacing","gill-size","gill-color","stalk-shape","stalk-root","stalk-surface-above-ring","stalk-surface-below-ring","stalk-color-above-ring","stalk-color-below-ring","veil-type","veil-color","ring-number","ring-type","spore-print-color","population","habitat","target"
"x","s","n","t","p","f","c","n","k","e","e","s","s","w","w","p","w","gReGtZs2Ar","p","k","s","u","p"
"x","s","y","t","WyLayiDBSM","f","c","b","k","kRXAnlKHwQ","a2fvyQd4XC","s","s","w","w","ggfsBymV8k","w","o","p","n","n","g","e"
"b","s","w","t","l","f","c","b","n","e","NSFLR7mzAT","s","s","w","w","p","w","o","p","n","n","m","e"
"x","y","w","t","p","f","c","n","n","e","e","s","s","w","w","p","w","v3uW8NccrY","CwHFOHe5ar","k","s","u","p"
"x","s","g","f","n","f","w","b","k","t","e","7FNKumNCnR","s","w","w","6UR53Hvxyt","w","o","e","n","a","g","e"
"x","y","y","t","a","f","c","b","n","e","c","2rbqbls8jt","s","w","w","p","w","o","p","k","n","g","e"
"b","NSpOh04TCQ","eSwuPUwi8q","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","k","n","m","e"
"ew41e37JFC","y","w","t","l","f","c","b","n","e","c","s","s","w","UAAb5EDrps","p","w","o","p","n","s","m","e"
"x","y","w","t","p","f","c","n","p","e","e","s","s","w","w","p","w","o","p","k","v","g","p"
"b","s","y","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","k","s","m","e"
"x","y","y","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","n","g","e"
"x","y","y","t","a","f","c","b","n","e","c","s","s","w","w","p","w","o","p","k","s","m","e"
"b","u6yj9u4qEz","y","t","a","f","c","b","w","e","c","s","s","w","w","p","w","o","p","n","s","g","e"
"x","y","w","t","p","f","c","n","k","e","e","s","s","w","w","wapRCI9ec2","w","o","p","n","v","u","p"
"wQdPydoVFG","f","n","f","n","f","w","b","n","t","e","tUroNUCdjo","f","w","w","p","w","o","e","k","a","g","e"
"s","f","g","f","n","f","c","n","k","Lv6yVeEC7o","e","s","s","w","w","p","q81wCtWTAU","o","p","n","y","u","e"
"f","f","w","f","n","f","w","b","k","t","e","s","s","w","w","p","w","o","e","n","a","g","e"
"x","s","n","t","p","f","c","n","n","e","e","s","s","62DAzUl76U","w","y3JSsAjACy","w","o","p","k","s","g","p"
"x","y","w","t","p","f","c","fsIifUmj9u","n","e","e","s","s","w","w","p","w","o","p","FI2XT4Bmf3","s","u","p"
"x","s","n","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","n","s","u","p"
"b","s","y","t","a","f","c","IS6oc7cFLJ","k","e","c","s","s","w","w","p","w","o","p","n","s","m","e"
"x","y","n","t","p","f","c","n","n","e","e","s","s","w","w","p","w","o","p","n","v","g","p"
"MgQR0tw8Ub","y","y","t","l","f","c","b","k","e","c","s","s","w","w","6AL27rxaG0","w","o","p","n","s","m","e"
"b","y","w","t","a","f","c","b","w","e","c","s","s","w","w","p","w","o","p","n","n","m","e"
"b","s","w","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","k","s","m","e"
"f","hT306c5d3u","w","t","p","f","c","n","n","e","e","jLsnpPsHZD","s","w","w","p","w","o","p","n","v","g","p"
"qC9ALvPoDw","KDkZZB9RGL","y","t","a","f","c","b","n","e","c","s","s","w","w","p","m0AjLs1RcY","o","p","n","n","m","e"
"x","y","w","t","l","f","c","b","w","e","c","s","s","pY5gpW5PEI","w","2LU1IfyHE1","w","o","p","n","n","m","e"
"f","f","n","f","n","f","c","n","guT15KTVjX","e","e","s","s","w","w","Kqq72rleC3","w","o","p","k","y","u","e"
"x","s","y","t","a","f","w","n","n","t","b","s","s","w","w","p","w","o","UifHDNj8yc","n","v","d","e"
"b","s","y","ezY4TdcgTL","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","n","a4vs0WGNRx","e"
"x","y","w","t","p","f","c","n","k","6s0FSYWCPl","e","s","s","w","w","p","w","o","p","n","s","u","p"
"x","y","y","t","l","f","c","b","n","e","c","s","s","w","KnxHyTMRY7","p","w","o","p","n","n","m","e"
"x","y","n","t","l","f","c","b","p","e","r","s","y","w","w","p","w","o","p","n","y","p","e"
"b","y","y","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","s","m","e"
"x","f","y","E3Vyojwy7v","l","f","w","n","w","t","b","s","s","w","w","p","w","o","p","n","v","d","e"
"s","f","g","f","n","f","c","n","k","e","e","s","s","w","w","p","w","o","p","k","v","u","e"
"x","y","n","t","p","f","c","n","w","e","e","AvTT8DuWcz","s","w","w","p","w","o","p","n","s","u","p"
"x","f","y","t","a","f","w","n","p","t","b","s","s","w","w","p","w","o","p","n","v","d","e"
"b","s","y","t","l","f","c","b","XtoNgot4Ev","e","c","s","s","w","w","p","w","o","MAfdYmXXRq","iHoc2bHRP6","s","m","e"
"b","y","y","t","a","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","s","g","e"
"x","y","y","t","l","f","c","FP5oCOmiDC","n","e","r","s","y","w","w","p","w","o","p","k","y","p","e"
"x","f","n","f","n","f","c","CbRWtlwP3H","g","e","e","s","s","aOIFduW5ky","w","fOw3VJaUEf","w","o","p","k","i7BohNpQ7l","u","e"
"x","y","w","t","p","f","c","n","p","e","e","s","s","RAmgGgW4zE","w","p","w","o","p","n","v","g","p"
"x","s","y","t","a","f","c","b","w","e","c","JszmTTOPdr","s","w","w","p","w","o","p","k","n","m","e"
"x","y","w","t","a","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","n","g","e"
"x","y","y","t","l","f","c","b","k","HbfvMCXuQD","c","s","s","w","w","p","w","o","p","k","s","m","e"
"x","s","w","t","l","f","c","b","w","e","c","s","s","w","w","p","w","o","p","ThHyinR131","n","m","e"
"x","y","y","t","d2Vd59zpp7","f","c","b","n","e","r","s","y","w","w","p","w","o","p","n","s","p","e"
"f","DtAqwKumJ1","y","t","l","f","c","b","w","e","r","s","y","w","w","p","w","o","p","k","s","p","e"
"x","y","n","t","a","f","c","b","w","e","r","s","G1v7be4jL7","w","w","p","w","o","p","k","s","g","e"
"x","s","w","t","l","f","c","b","k","e","c","s","s","w","w","p","w","o","p","k","s","g","e"
"b","s","w","t","l","f","c","b","k","e","c","s","s","w","w","p","w","o","JJV3c0fTig","n","CTTY1oC0c5","m","e"
"x","y","n","t","p","f","c","n","k","e","e","s","tYU4FS2ivC","w","w","p","w","o","p","n","v","u","p"
"x","s","w","t","p","f","c","n","k","e","e","s","s","w","VpDXAUntj5","p","w","o","p","b3sn8246Kn","v","u","p"
"b","y","y","t","a","f","c","b","w","e","c","s","s","w","w","p","w","o","p","k","s","m","e"
"f","f","g","f","n","f","w","b","n","t","e","s","s","w","w","p","w","o","e","n","a","g","e"
"b","s","w","t","a","f","c","b","w","e","c","s","s","w","w","p","w","o","p","n","n","g","e"
"x","s","y","t","l","f","c","b","k","e","c","s","s","w","w","p","w","o","p","k","n","g","e"
"x","y","n","t","a","f","c","b","p","e","r","s","y","w","7eNgPLzkoF","p","w","SvSspnz9Xw","p","k","y","p","e"
"1UfEvjXvZo","JbroKsmYsu","g","f","n","f","c","n","k","e","e","s","s","w","w","p","w","o","p","n","v","u","e"
"b","FSZCH8sdfK","y","t","a","f","c","b","k","e","c","s","s","w","w","p","w","o","p","n","s","m","e"
"b","s","y","t","l","X6JxIOXpAk","c","b","sKs4eOxATR","e","c","s","s","w","w","p","w","o","p","6fB7cEVI2O","s","m","e"
"b","y","y","t","l","f","c","ctwPROmeHQ","g","e","c","s","s","w","w","p","w","o","p","n","n","m","e"
"b","y","w","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","s","g","e"
"f","s","n","f","n","f","w","b","k","t","e","s","s","w","w","p","w","o","e","k","a","g","e"
"HHMiJsxu6b","s","w","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","k","s","g","e"
"f","y","y","t","a","f","c","b","w","e","iuZKeSVSHE","s","y","w","w","p","w","o","p","n","s","g","e"
"x","y","y","t","a","f","c","Z7YiVGGQkf","w","e","c","s","s","w","w","p","w","o","PqYqfSxF3g","k","S9QJoAhJ4i","g","e"
"x","f","g","uD8JcxbN4L","n","f","c","n","p","e","e","ue0wsT8fur","s","w","w","p","w","o","p","n","v","u","e"
"f","f","y","t","l","f","w","n","p","t","b","s","s","w","w","4yuEL6Sy3k","w","o","p","n","v","d","e"
"b","y","w","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","s","m","e"
"f","f","y","t","l","f","w","n","w","t","b","s","s","w","w","p","w","o","p","n","v","d","e"
"x","y","n","t","a","f","c","2mrqfcCpgz","p","e","r","s","y","w","w","p","w","o","p","k","s","p","e"
"b","s","y","rLmchZ29FR","a","f","c","b","k","e","c","s","s","w","w","p","w","o","p","k","s","g","e"
"f","s","y","t","l","f","w","n","p","CNkTNV4pbM","b","s","s","h4zYz6r6Ou","w","p","w","o","p","Drt3MrZ0ye","v","d","e"
"x","s","w","t","l","f","w","n","n","t","b","s","s","w","w","p","w","o","p","u","v","d","e"
"f","y","n","t","l","f","c","b","p","e","r","s","y","w","w","p","w","o","p","n","y","p","e"
"x","y","n","t","p","f","c","n","w","e","e","s","s","w","w","p","w","o","p","n","v","u","p"
"f","y","n","t","a","f","c","b","n","e","r","s","y","w","w","p","w","o","p","n","y","g","e"
