"X_0","X_1","X_2","X_3","X_4","X_5","X_6","X_7","X_8","X_9","X_10","X_11","X_12","X_13","X_14","X_15","X_16","X_17","X_18","X_19","X_20","X_21","X_22","X_23","h","d","m","purchase_date","return_date","target"
-0.96,1.43,0.95,3.91,-1.97,-2.24,0.05,1.66,3.74,3.87,-0.93,2.11,-0.59,0.67,4.37,0.13,0.73,1.57,-0.42,0.41,1.78,-1.07,1.25,0.0,"d_6",6,28,"2001-05-07 00:00:00","2003-09-13 10:00:00",0
0.57,0.2,-2.27,-1.02,-1.72,-7.63,1.05,0.3,2.45,"d3sQreFsUk",-4.9,3.65,1.38,-4.01,0.43,0.52,0.23,1.8,-2.6,-0.56,0.8,1.4,3.43,-2.65,"d_8","5DFTkqbnkW",15,"2001-05-08 00:00:00","2002-08-16 10:00:00",1
-0.07,0.16,"SBXzwcQF6Z",1.6,-0.8,-3.83,0.21,1.06,2.9,0.41,-0.23,"vlYcTnOVDT",-0.13,-0.69,4.49,1.28,0.23,"q2ijURZEvb",-2.67,0.53,0.88,-0.12,2.96,2.46,"d_9",9,3,"2001-05-09 00:00:00","2001-08-18 07:00:00",3
-0.58,0.11,1.54,4.59,0.15,4.18,-0.21,0.8,-1.49,-1.27,-1.61,-0.5,-1.04,1.62,4.5,3.34,1.45,-0.42,-0.3,-0.47,4.2,0.32,-2.03,0.14,"d_9",9,28,"2001-05-10 00:00:00","2003-09-19 05:00:00",2
-1.01,1.49,-3.63,-3.07,-3.11,-6.58,-0.6,-2.09,0.69,-0.5,-1.49,1.46,1.24,-4.13,-0.76,0.64,0.36,0.18,-0.67,-0.27,-1.11,0.34,0.21,-0.38,"d_8",8,17,"2001-05-11 00:00:00","2002-10-19 05:00:00",2
0.88,-0.81,-3.46,1.83,-0.65,-2.8,-0.2,-0.74,5.37,-1.27,-0.05,0.17,-0.36,-1.87,8.13,3.54,-0.83,1.41,-0.78,-0.69,0.78,-1.61,1.48,-0.29,"d_11",11,24,"2001-05-12 00:00:00","2003-05-23 07:00:00",2
-0.37,0.5,-1.23,2.67,4.29,1.35,-1.29,-1.78,3.12,1.15,2.28,2.36,-0.24,-1.7,0.76,"PFGAE4fPss","CKbkul27ES",-1.23,-0.55,0.78,3.11,"unK8FyA59i",-0.14,-0.95,"d_7",7,18,"2001-05-13 00:00:00","2002-11-20 07:00:00",0
"ew41e37JFC",-0.05,-0.87,-0.18,-1.5,-0.01,0.18,-1.01,-1.96,-0.1,-0.92,1.19,0.76,-1.52,-1.54,2.31,3.4,"3AOLMaKO5Q",-0.71,-0.37,1.37,0.39,0.84,0.73,"d_10",10,5,"sQCIEF6YuZ","2001-10-24 05:00:00",0
0.56,-1.78,-1.02,0.24,-0.47,"RmHmH7943s",-1.59,-0.16,-0.4,0.18,-1.31,0.61,-1.63,0.96,0.52,1.2,-1.21,-0.23,2.47,-0.18,0.77,1.8,-0.35,0.4,"d_8",8,12,"2001-05-15 00:00:00","2002-05-23 08:00:00",0
-0.25,-2.03,2.6,-1.8,-2.39,2.26,0.86,0.23,-1.3,"fyi1Sq5Hjt",-0.04,-3.5,0.5,-0.51,0.81,-3.25,-0.56,0.17,0.86,-0.2,3.2,1.42,-1.52,-0.88,"d_9",9,14,"2001-05-16 00:00:00","2002-07-25 11:00:00",2
-0.04,-1.21,-2.78,4.67,"JvIJHEb2Wv",1.23,-0.23,-1.25,-2.05,"USjMJTNFvw",-2.37,0.35,-0.55,-0.22,3.11,-2.85,1.49,1.38,"1TC6FnxUsu",0.05,3.32,-0.69,-1.6,0.07,"d_9",9,"NClBt8LUfr","2001-05-17 00:00:00","2003-06-26 00:00:00",2
0.3,-0.39,0.02,1.62,-0.03,-1.11,0.12,0.76,2.0,-0.76,-2.41,0.06,1.49,-1.65,3.52,"eppw2SQQYE",-0.57,1.17,-0.71,-0.26,2.67,-0.11,"RAc2nAQ25o",0.43,"d_11",11,21,"2001-05-18 00:00:00","2003-03-01 00:00:00",0
0.07,-0.48,0.5,-2.11,0.34,-3.04,0.17,0.28,1.03,-0.47,-0.56,-0.66,-1.53,0.87,3.72,-5.39,-3.73,0.02,-2.96,0.06,1.08,-0.95,-2.24,0.51,"d_6",6,4,"2001-05-19 00:00:00","2001-09-25 09:00:00",3
0.93,0.56,-1.83,2.47,-1.01,-0.53,0.42,0.35,-1.72,0.45,-1.07,-1.53,"xeTTBby434",4.61,9.0,2.82,-2.53,1.82,-4.25,0.72,-5.42,-0.43,-1.72,0.04,"d_9",9,15,"2001-05-20 00:00:00","2002-08-29 09:00:00",1
"wQdPydoVFG",-0.17,-2.02,3.57,-1.44,-1.04,"4PQPIyyvoQ",0.51,2.31,0.47,-0.22,3.52,1.03,-2.35,3.44,2.52,0.41,1.99,-0.93,-1.25,2.67,0.46,4.41,1.22,"d_6",6,9,"2001-05-21 00:00:00","2002-02-27 07:00:00",2
-1.01,0.91,-0.72,-2.02,0.75,0.63,0.17,0.82,-3.75,-2.08,0.52,0.35,-0.42,1.02,-2.89,-1.86,-1.09,0.75,-1.04,1.33,-1.87,0.39,-0.24,-0.96,"ffLztVDYDP",7,"Obx1sIZf3F","2001-05-22 00:00:00","2001-08-29 00:00:00",2
-0.6,-0.6,-2.55,-0.35,2.25,5.41,"u4X3V57Tz3",2.04,1.33,1.18,2.18,-2.59,0.21,0.08,5.88,-1.34,0.39,-1.0,-0.51,0.58,3.51,1.57,4.4,0.76,"d_6",6,26,"2001-05-23 00:00:00","2003-07-29 00:00:00",0
0.35,3.11,2.0,0.4,-5.1,3.94,-0.76,-1.51,-5.92,-0.06,-0.35,-0.03,-1.15,1.17,-6.04,0.56,-1.76,0.47,4.41,0.44,-2.98,-1.04,4.07,"wdSO8KY2J6","d_11",11,13,"2001-05-24 00:00:00","2002-07-05 04:00:00",0
-0.08,-0.34,-2.25,0.68,7.23,-0.26,-0.85,0.06,0.83,-1.88,-3.65,1.94,-0.85,-1.69,-0.03,-3.15,-1.76,1.2,-3.35,-0.94,1.55,-0.24,4.0,-0.0,"d_7",7,15,"2001-05-25 00:00:00","2002-09-01 10:00:00",0
0.83,-1.18,4.52,-1.96,1.04,2.9,-1.16,-0.39,0.15,"grzhTeAD3b",3.35,0.0,-0.88,"xVFWKtkliT",-4.87,0.41,-3.4,-0.28,2.64,0.47,0.29,-1.98,-0.83,"4SLdfPjTC5","d_8",8,21,"2001-05-26 00:00:00","2003-03-06 10:00:00",3
0.54,-0.91,1.88,1.03,1.55,4.82,-0.13,0.78,-6.68,-1.05,-1.28,1.27,-1.46,-5.04,-5.83,1.89,1.36,-0.11,-3.48,-0.11,"jTKJyNsflz",-1.01,"Z922kWHo2p",-0.4,"d_11",11,28,"2001-05-27 00:00:00","D474qElWE2",3
1.58,-0.79,0.11,1.2,0.61,3.75,-0.26,-0.36,-0.59,"SzQhBNYhca",-0.41,-2.13,-1.07,0.86,0.59,-1.99,0.16,0.92,3.58,0.83,2.22,0.37,-0.2,1.2,"d_10",10,27,"2001-05-28 00:00:00","2003-09-07 10:00:00",3
"MgQR0tw8Ub",1.94,3.33,6.36,1.07,2.97,1.61,0.36,2.16,-1.07,1.48,1.21,-0.36,-0.55,"3RnPJkuIPY",1.88,-2.41,-1.32,-1.33,0.95,-3.0,1.52,5.23,0.1,"d_8","k690whGFD4",25,"2001-05-29 00:00:00","2003-07-07 11:00:00",0
-1.5,-0.68,-4.11,2.75,-0.69,-3.19,-0.85,0.09,3.24,1.02,2.24,2.9,-0.41,2.02,5.21,2.23,6.33,-0.14,"O8eCCpz3MO",1.37,-1.35,0.37,0.05,"lEA89Fc51J","d_9","AzEMpPagEj",15,"2001-05-30 00:00:00","2002-09-08 06:00:00",2
0.72,0.25,0.62,0.81,"uhD8N8gxeT",-0.25,1.26,0.71,1.43,0.6,-0.77,0.66,-0.86,2.72,2.7,-1.54,-2.27,-0.02,0.01,1.68,0.31,-0.77,1.0,-1.05,"d_6","zydmY0qmXG",1,"2001-05-31 00:00:00","2001-07-06 06:00:00",1
-1.53,0.24,-4.55,6.71,4.0,1.43,"cbkC1BSUSj",1.23,1.53,1.99,-0.38,1.79,"bHmRxn4FqB","GGUM7HZFKd",2.1,1.28,6.09,"LsDYxay11W",5.02,1.1,0.88,-0.6,-3.99,-0.3,"d_11",11,19,"2001-06-01 00:00:00","2003-01-12 05:00:00",3
"qC9ALvPoDw",0.87,-2.22,-3.29,-1.23,-5.56,0.79,-0.68,2.89,-0.2,"4cPPFEY1Ki",2.22,-0.44,-0.95,-3.99,1.83,0.62,-0.31,4.54,0.02,-1.18,1.7,2.55,1.67,"d_6",6,20,"2001-06-02 00:00:00","2003-02-08 05:00:00",3
-0.25,0.8,-2.38,3.26,1.24,-3.86,-1.85,-1.66,0.6,0.12,1.61,6.07,0.6,0.07,-0.47,5.06,2.96,-0.78,-2.51,-0.17,-0.34,-1.66,-3.27,0.06,"d_6",6,8,"2001-06-03 00:00:00","2002-02-09 02:00:00",0
1.04,-0.09,1.04,-0.16,"c2uNEQAIkq",-3.41,0.54,"Dewyumr1FU",0.51,2.02,-2.37,1.11,-2.23,2.12,1.86,-2.37,-1.52,-0.65,-0.35,0.86,0.07,-0.96,-0.48,-1.3,"d_6",6,17,"2001-06-04 00:00:00","2002-11-10 03:00:00",2
0.47,-0.42,-2.04,-0.38,-1.59,-5.36,-0.99,-0.78,2.84,-0.73,-2.28,1.75,-0.52,-4.19,-0.12,-0.7,0.91,0.71,0.38,0.44,1.63,"pGCty19IfJ",0.73,-0.8,"d_9",9,16,"2001-06-05 00:00:00","2002-10-14 10:00:00",3
-1.72,1.82,-4.55,"mGl8kGM2Gm",-3.56,-8.08,1.3,0.76,-1.14,1.34,-5.33,1.86,1.7,-2.55,1.64,4.1,-1.54,0.9,-0.98,-0.47,-0.68,-0.84,-1.65,1.21,"d_6",6,20,"2001-06-06 00:00:00","2003-02-12 09:00:00",3
-0.26,-0.0,-4.24,-0.69,1.05,1.58,1.49,-0.13,-2.52,"x7uceblsbl",-1.84,0.14,1.4,1.92,-0.87,2.58,0.92,0.38,3.17,-0.17,-2.05,-0.09,2.06,0.84,"d_11",11,17,"2001-06-07 00:00:00","2002-11-18 08:00:00",0
-1.18,0.99,-1.83,-0.77,-1.28,0.1,1.13,-0.09,1.46,-0.53,1.65,0.69,2.02,1.25,3.7,4.87,1.59,-0.94,-0.67,-0.45,0.23,2.56,1.68,-0.31,"d_7",7,29,"2001-06-08 00:00:00","2003-11-15 01:00:00",1
0.24,0.4,-3.64,2.55,1.49,-1.38,-1.22,-0.39,2.85,-0.97,-1.46,-0.17,0.88,4.92,8.01,1.46,5.7,0.35,-0.7,-0.56,-0.18,1.05,-2.16,0.81,"d_10",10,24,"2001-06-09 00:00:00","2003-06-19 08:00:00",2
0.23,0.46,1.45,2.21,-0.93,-4.88,1.21,-0.76,2.92,1.45,0.17,0.62,-0.26,3.99,2.37,0.81,-0.95,-0.6,0.3,-1.81,-4.62,1.67,-5.87,0.13,"d_9",9,17,"2001-06-10 00:00:00","2002-11-19 08:00:00",2
0.69,-0.37,-1.69,-3.44,-2.75,"rVHMsE21wf",1.03,0.43,"E7moSUYrE9",-1.39,"RqeJHtvde5",0.04,1.13,-2.25,5.57,-0.9,3.78,0.68,"jRekgeMwFs",-1.24,6.81,-0.74,5.18,0.93,"d_11",11,19,"2001-06-11 00:00:00","2003-01-22 10:00:00",0
-0.83,1.64,-4.17,-3.97,-2.0,-6.44,"h9ZmbCOIHq",0.92,0.66,0.51,-1.63,2.34,0.1,-2.75,-6.07,-0.83,0.7,0.44,4.55,0.22,-2.08,0.73,0.37,-1.96,"d_6",6,25,"2001-06-12 00:00:00","2003-07-18 11:00:00",2
1.16,-0.78,2.06,1.08,-2.1,"4fk7MCMxP0",-0.87,0.11,3.74,0.9,-1.08,1.69,"aREhAb6iM9",0.05,-0.31,0.55,-2.47,1.4,1.61,-1.14,-1.48,0.21,2.81,0.65,"d_8",8,1,"2001-06-13 00:00:00","2001-07-21 08:00:00",1
-0.87,-0.59,-0.98,-1.63,"wvLFXKEAz4",-1.63,0.78,-0.87,-1.87,-1.06,-0.31,0.83,-1.6,-1.49,1.54,0.12,-2.52,1.41,-3.82,-0.39,-0.84,0.86,2.35,-0.65,"d_10",10,14,"2001-06-14 00:00:00","2002-08-24 01:00:00",1
0.16,-0.2,0.29,1.24,-0.69,-4.21,"UhHHC7C43y",0.2,0.74,0.22,-4.03,2.61,-1.43,3.96,1.44,-6.05,-0.07,0.91,0.15,0.66,0.52,1.49,-0.04,-0.61,"d_7",7,12,"2001-06-15 00:00:00","2002-06-22 00:00:00",3
0.63,1.05,-0.71,4.37,0.63,-4.97,1.5,0.5,2.55,-1.13,0.52,3.07,-0.2,3.73,3.17,-0.06,1.37,0.85,-1.33,-0.9,-2.95,0.48,-5.56,-0.3,"d_6",6,11,"2001-06-16 00:00:00","2002-05-22 04:00:00",1
-1.72,1.16,2.92,0.72,"et03VmLRqJ",0.4,1.36,-0.83,2.15,1.16,2.53,1.43,-0.29,0.42,-2.41,1.28,-1.23,0.29,2.09,0.12,"kFFUoGEvNb",1.81,0.27,-0.48,"d_10",10,16,"2001-06-17 00:00:00","2002-10-27 08:00:00",2
0.34,-0.72,-0.89,-1.58,-3.92,-3.36,0.66,-0.67,0.1,1.16,-0.98,1.33,1.1,0.62,"jyhAyjoU4i",0.8,0.89,-0.56,-3.76,-3.19,"DGkhmIrXBk",0.16,1.71,0.13,"d_8",8,18,"2001-06-18 00:00:00","2002-12-26 00:00:00",2
-1.92,0.85,1.74,-1.42,1.81,3.37,1.86,0.61,-1.88,0.05,1.14,-0.91,0.45,0.26,-1.45,-3.11,-1.2,-1.51,-0.77,1.12,2.64,-0.72,0.09,-0.23,"d_10",10,22,"2001-06-19 00:00:00","2003-04-29 08:00:00",0
0.41,0.84,-0.35,-0.15,1.85,1.48,0.34,-0.23,3.51,0.47,3.63,-1.31,-0.24,0.91,4.6,-1.93,-0.23,-1.03,-1.76,-0.41,0.85,0.58,1.15,-0.98,"d_9",9,"oNqRcApB5h","2001-06-20 00:00:00","2002-05-29 04:00:00",0
-1.4,0.74,-1.45,-1.97,0.23,-0.76,0.35,"pEy0YQbIMR",1.69,-0.26,-1.04,-0.37,-0.28,0.47,1.8,-0.27,1.39,0.5,1.06,1.94,2.33,-0.79,0.64,-0.11,"d_7",7,"7ZXxdoHd5x","2001-06-21 00:00:00","2003-02-28 00:00:00",3
0.81,0.75,-2.17,-4.19,-1.63,-3.21,-0.18,-0.17,"tsoiIMfdJE",-1.08,"nvPP8JEA65",3.46,-1.05,-0.39,-4.14,-0.54,-0.12,-0.56,0.82,-2.1,-0.8,0.71,-0.6,-1.68,"d_10",10,24,"2001-06-22 00:00:00","2003-07-02 02:00:00",0
1.08,-1.76,-6.06,-1.54,1.54,1.54,0.88,0.82,0.99,1.2,1.24,0.63,-0.47,2.29,4.96,1.66,-0.99,1.11,2.34,"X8HEJyvvr3",1.35,0.39,3.05,0.83,"d_9",9,21,"2001-06-23 00:00:00","2003-04-01 09:00:00",3
