"X_0","X_1","X_2","X_3","X_4","X_5","X_6","X_7","X_8","X_9","X_10","X_11","X_12","X_13","X_14","X_15","X_16","X_17","X_18","X_19","X_20","X_21","X_22","X_23","h","d","m","purchase_date","return_date","target"
-0.1,1.71,-0.07,-1.26,0.74,-2.31,0.33,-1.13,0.12,-1.47,-0.23,0.65,0.35,0.47,0.86,-0.8,0.2,0.53,-1.56,-0.55,-0.24,1.07,-1.3,0.9,"h_10","d_6","m_28","2001-12-06 00:00:00","2004-04-12 10:00:00",44
-0.69,1.41,0.08,1.95,-1.33,-0.59,-1.08,2.66,-0.46,"d3sQreFsUk",0.78,1.94,0.99,0.66,1.04,0.16,2.54,0.69,-0.5,-0.04,1.3,0.97,0.96,0.54,"h_10","5DFTkqbnkW","m_15","2001-12-07 00:00:00","2003-03-15 10:00:00",33
-0.59,-0.11,"SBXzwcQF6Z",0.82,-0.95,-0.13,0.41,-1.77,1.2,-0.1,0.89,"vlYcTnOVDT",-0.56,-0.95,-0.68,0.79,-0.86,"q2ijURZEvb",-0.13,-0.32,0.31,-0.08,0.53,1.29,"h_7","d_9","m_3","2001-12-08 00:00:00","2002-03-17 07:00:00",19
0.08,1.29,-0.3,1.37,-0.58,-0.96,0.27,-1.05,0.28,-0.51,0.5,-2.26,0.27,-0.58,0.02,-2.0,-0.21,-0.29,0.96,-1.17,-0.16,-1.3,0.26,0.01,"h_5","d_9","m_28","2001-12-09 00:00:00","2004-04-18 05:00:00",42
-0.56,0.58,0.66,-0.78,0.65,-1.5,0.65,0.48,-0.2,0.12,-0.32,-0.03,-1.23,0.42,-0.42,-0.37,1.96,2.21,-1.2,-2.07,2.1,0.25,-0.11,-1.29,"h_5","d_8","m_17","2001-12-10 00:00:00","2003-05-18 05:00:00",30
-1.19,0.28,1.34,0.5,0.65,1.08,0.31,0.84,-1.22,1.05,-0.66,0.09,-0.56,2.41,-0.12,0.97,0.1,-0.42,1.31,0.62,-0.06,-0.55,-0.86,-0.45,"h_7","d_11","m_24","2001-12-11 00:00:00","2003-12-22 07:00:00",42
0.2,-0.53,1.62,0.27,0.77,1.33,1.47,-1.41,0.55,-0.49,0.23,-1.06,-1.01,0.8,-1.68,"PFGAE4fPss","CKbkul27ES",0.25,1.27,0.33,-0.51,"unK8FyA59i",-0.24,0.87,"h_7","d_7","m_18","2001-12-12 00:00:00","2003-06-19 07:00:00",32
"ew41e37JFC",-0.11,0.54,-0.46,0.81,-0.87,-1.7,0.21,0.66,0.29,-0.75,0.78,-1.93,0.89,-1.05,-0.41,0.02,"3AOLMaKO5Q",-1.56,-1.2,2.01,0.21,0.41,-0.74,"h_5","d_10","m_5","sQCIEF6YuZ","2002-05-23 05:00:00",20
-0.92,0.63,0.76,-0.42,-0.07,"RmHmH7943s",0.12,-1.41,-0.55,-1.04,0.0,0.8,1.14,0.95,0.45,-1.28,0.27,0.49,-1.14,-0.33,0.56,-0.59,0.6,0.43,"h_8","d_8","m_12","2001-12-14 00:00:00","2002-12-22 08:00:00",28
0.36,-0.53,-1.41,0.25,0.28,-0.19,0.54,0.24,-0.88,"fyi1Sq5Hjt",1.11,-0.52,-0.43,0.49,-1.54,-0.26,0.22,-0.06,0.79,-0.04,-1.14,-0.14,1.95,0.59,"h_11","d_9","m_14","2001-12-15 00:00:00","2003-02-24 11:00:00",34
-1.22,-1.3,0.57,-1.69,"JvIJHEb2Wv",0.41,-0.37,-0.07,2.17,"USjMJTNFvw",2.4,-0.51,-0.98,-1.38,0.47,-1.15,-0.81,-0.55,"1TC6FnxUsu",-0.05,-1.66,0.75,0.25,1.19,"h_0","d_9","NClBt8LUfr","2001-12-16 00:00:00","2004-01-25 00:00:00",34
2.17,1.05,-1.66,0.2,-0.01,0.79,-0.55,-1.46,1.51,-0.9,0.57,-0.53,0.29,-0.74,1.71,"eppw2SQQYE",1.38,-0.31,-0.34,0.67,-0.08,-0.86,"RAc2nAQ25o",1.05,"h_0","d_11","m_21","2001-12-17 00:00:00","2003-09-28 00:00:00",32
-1.17,-1.27,0.32,0.89,-0.92,-1.2,-0.06,-1.08,0.21,1.34,-0.22,-1.71,0.54,-0.83,-0.69,-1.32,0.82,1.09,-1.51,-0.36,-1.22,1.69,1.28,-1.74,"h_9","d_6","m_4","2001-12-18 00:00:00","2002-04-24 09:00:00",19
-2.13,0.64,1.99,0.94,-0.99,-0.42,0.19,-0.94,-0.35,1.14,-1.87,-1.78,"xeTTBby434",-1.02,-0.96,-0.39,1.85,0.8,0.07,0.44,0.52,0.21,-1.55,-0.61,"h_9","d_9","m_15","2001-12-19 00:00:00","2003-03-28 09:00:00",33
"wQdPydoVFG",-0.82,0.35,-0.49,-1.99,-0.88,"4PQPIyyvoQ",-0.03,1.72,0.24,1.35,1.68,-0.39,0.13,-0.04,-2.0,1.33,-0.63,0.05,0.04,-0.87,0.46,-0.21,0.33,"h_7","d_6","m_9","2001-12-20 00:00:00","2002-09-26 07:00:00",22
-0.89,-0.67,-0.12,0.6,2.51,-0.59,-0.43,0.64,-0.05,1.46,-0.16,0.44,-0.98,-0.93,0.79,0.35,-1.07,-0.22,-0.34,0.02,-0.88,-0.36,0.63,-0.43,"ffLztVDYDP","d_7","Obx1sIZf3F","2001-12-21 00:00:00","2002-03-28 00:00:00",10
1.71,0.85,0.13,1.33,-0.03,1.13,"u4X3V57Tz3",0.04,0.71,-0.9,1.36,-0.68,0.84,-0.52,-0.18,-0.09,-0.39,2.03,-0.71,-0.71,-2.24,-0.26,0.52,-0.26,"h_0","d_6","m_26","2001-12-22 00:00:00","2004-02-28 00:00:00",32
0.29,0.55,-1.2,0.71,0.53,0.52,0.69,0.93,-0.19,0.5,-3.19,-1.32,-1.53,-0.83,0.33,0.16,0.58,-0.13,0.32,-1.73,-0.18,-0.08,0.24,"wdSO8KY2J6","h_4","d_11","m_13","2001-12-23 00:00:00","2003-02-03 04:00:00",28
-0.01,-0.45,0.47,0.04,-0.07,-1.07,-0.57,-0.68,-0.47,-0.14,0.71,-1.76,0.67,-0.96,-1.38,-0.65,-0.98,-1.51,1.18,-1.51,0.45,0.51,0.26,1.12,"h_10","d_7","m_15","2001-12-24 00:00:00","2003-03-31 10:00:00",32
-1.19,-3.24,-0.64,-0.17,0.9,0.53,0.39,0.4,-1.11,"grzhTeAD3b",-0.3,0.46,-0.33,"xVFWKtkliT",0.07,0.23,1.2,1.87,1.37,0.27,-0.28,0.7,-0.69,"4SLdfPjTC5","h_10","d_8","m_21","2001-12-25 00:00:00","2003-10-03 10:00:00",39
2.01,-0.6,1.74,0.06,0.38,0.55,-0.35,-0.07,0.85,-0.88,-1.08,-0.79,0.17,0.3,-1.63,0.1,0.11,0.68,0.34,1.35,"jTKJyNsflz",-0.21,"Z922kWHo2p",-0.46,"h_0","d_11","m_28","2001-12-26 00:00:00","D474qElWE2",39
-1.36,-1.48,-0.64,0.64,0.26,2.22,-1.33,-0.76,0.2,"SzQhBNYhca",-2.28,0.22,0.59,1.09,0.79,0.32,-1.84,1.96,1.26,-0.74,2.24,-1.47,-0.16,-2.92,"h_10","d_10","m_27","2001-12-27 00:00:00","2004-04-06 10:00:00",47
"MgQR0tw8Ub",-0.31,0.59,0.42,0.4,-0.31,-0.19,-0.59,-1.36,-0.04,-0.41,-0.86,-0.06,-2.38,"3RnPJkuIPY",-0.5,1.7,-0.5,0.24,2.56,1.86,-1.12,1.08,-0.82,"h_11","k690whGFD4","m_25","2001-12-28 00:00:00","2004-02-05 11:00:00",44
0.79,0.07,-1.97,-1.03,1.35,0.49,0.01,-0.94,-1.2,-0.22,0.63,-1.52,-0.22,0.18,0.64,1.03,-0.4,0.4,"O8eCCpz3MO",-0.33,1.6,0.57,-0.54,"lEA89Fc51J","h_6","AzEMpPagEj","m_15","2001-12-29 00:00:00","2003-04-07 06:00:00",30
-1.11,1.44,0.9,-1.46,"uhD8N8gxeT",-0.56,-1.97,0.35,0.86,-0.3,-1.19,0.22,-0.07,-1.66,1.0,-1.14,0.65,-0.35,0.54,0.48,0.84,0.41,-0.23,0.04,"h_6","zydmY0qmXG","m_1","2001-12-30 00:00:00","2002-02-05 06:00:00",13
0.43,0.31,1.02,0.37,-0.37,-0.14,"cbkC1BSUSj",0.12,1.04,-1.87,-1.37,-0.77,"bHmRxn4FqB","GGUM7HZFKd",1.24,1.65,0.54,"LsDYxay11W",-1.22,-0.37,-1.18,2.31,-0.27,1.41,"h_5","d_11","m_19","2001-12-31 00:00:00","2003-08-11 05:00:00",35
"qC9ALvPoDw",-0.12,0.02,0.09,-0.65,1.64,1.58,-0.06,-0.21,-0.54,"4cPPFEY1Ki",-0.33,0.43,-0.36,0.59,-1.27,-0.22,0.83,-1.75,-0.37,-1.24,0.26,0.7,-0.73,"h_5","d_6","m_20","2002-01-01 00:00:00","2003-09-07 05:00:00",31
0.26,1.02,0.21,0.38,0.15,-0.61,-1.17,-0.03,-0.64,0.8,-0.94,0.31,1.61,0.2,0.7,0.73,1.1,0.04,0.52,-1.55,-0.36,-0.14,1.0,0.16,"h_2","d_6","m_8","2002-01-02 00:00:00","2002-09-08 02:00:00",16
0.79,0.91,1.11,0.18,"c2uNEQAIkq",0.46,0.02,"Dewyumr1FU",-0.1,-0.56,0.81,-0.84,-0.13,0.34,0.61,-0.24,0.17,-0.5,0.94,0.57,-0.31,-0.62,0.91,0.22,"h_3","d_6","m_17","2002-01-03 00:00:00","2003-06-09 03:00:00",26
1.61,0.06,0.05,0.42,0.76,1.09,-1.09,0.41,-1.91,1.02,1.28,-1.27,0.26,-0.76,-0.93,1.89,-1.69,0.63,0.36,0.39,-0.05,"pGCty19IfJ",-0.49,-0.14,"h_10","d_9","m_16","2002-01-04 00:00:00","2003-05-13 10:00:00",35
