"X_0","X_1","X_2","X_3","X_4","X_5","X_6","X_7","X_8","X_9","X_10","X_11","X_12","X_13","X_14","X_15","X_16","X_17","X_18","X_19","X_20","X_21","X_22","X_23","h","d","m","purchase_date","return_date","target"
0.38,-1.55,1.52,-0.59,1.02,-0.4,-0.57,-0.25,-0.7,0.58,-0.78,0.23,1.49,0.52,0.41,0.4,-0.65,0.39,-1.55,1.41,0.6,1.06,-2.18,0.96,"h_10","d_10","m_24","2002-01-29","2004-02-08 10:00:00",44
-0.64,-0.58,1.3,1.12,0.12,0.76,-0.28,-1.87,-0.17,-1.04,-1.62,-1.38,1.53,0.75,1.23,0.03,-0.45,-0.96,-0.34,1.47,-0.76,-1.7,0.43,-1.8,"h_0","d_10","m_29","2017-05-14","2019-10-24 00:00:00",39
-1.65,0.59,-0.62,-1.85,-1.1,2.13,-1.56,-0.41,-0.62,-0.15,-0.54,-0.48,-0.51,-0.79,0.35,1.58,-0.39,0.28,-0.63,1.33,-0.33,-2.57,0.07,0.31,"h_7","d_7","m_13","2008-03-29","2009-05-06 07:00:00",27
-0.3,3.24,0.14,0.19,1.44,0.0,1.42,0.47,0.33,-1.3,0.11,-0.3,1.22,-1.38,0.18,1.31,-1.31,-0.7,-0.58,-0.34,-0.37,-0.81,-1.8,-0.55,"h_10","d_7","m_19","2003-06-10","2005-01-17 10:00:00",36
1.73,0.24,-0.15,-1.02,0.72,-0.14,-0.55,-0.88,0.29,0.22,0.51,-0.88,1.0,-0.73,-0.54,0.32,1.53,-2.35,0.02,-0.17,-0.08,0.84,1.08,0.43,"h_11","d_6","m_9","2016-04-30","2017-02-05 11:00:00",26
-0.58,-0.46,-0.44,-1.99,-0.31,0.85,-0.86,0.92,-0.84,2.08,-0.06,1.75,-0.1,-2.79,-0.54,-0.42,-0.29,-0.56,0.61,-1.84,-1.48,-0.17,-0.28,0.58,"h_5","d_8","m_13","2018-06-21","2019-07-29 05:00:00",26
-0.61,0.46,0.32,-0.93,1.87,1.04,-0.75,1.11,0.45,0.63,-1.2,-0.43,0.26,0.15,1.37,-1.48,-0.89,0.48,0.6,0.08,0.06,1.01,-1.55,1.05,"h_11","d_8","m_8","2020-08-31","2021-05-08 11:00:00",27
1.21,-1.32,-0.09,-0.31,0.5,-1.82,-1.89,0.93,1.31,0.23,0.79,-1.48,-0.82,0.85,-0.92,2.42,1.0,0.98,-0.76,-1.3,-0.49,-0.39,1.14,-0.41,"h_8","d_10","m_5","2016-09-06","2017-02-16 08:00:00",23
1.24,1.73,1.63,-0.2,-0.96,-1.11,0.25,-0.68,0.37,-2.22,0.16,1.0,0.88,0.18,0.39,0.33,0.22,-0.71,1.69,1.05,0.07,-0.85,-1.19,0.12,"h_6","d_11","m_21","2007-11-25","2009-09-05 06:00:00",38
0.88,-0.13,-0.08,0.18,-1.57,-0.63,-0.19,-0.17,0.49,-1.38,-0.93,-1.65,-1.46,-0.5,0.1,0.82,-0.8,-1.04,-0.01,0.29,0.43,-1.49,-1.38,-1.45,"h_10","d_9","m_4","2021-06-30","2021-11-08 10:00:00",23
