"X_0","X_1","X_2","X_3","X_4","X_5","X_6","X_7","X_8","X_9","X_10","X_11","target"
0.49,0.7,-0.91,0.85,0.68,0.38,-0.86,"",-1.13,"",0.39,0.33,0.13583333333333333
0.37,0.6,-1.48,-0.48,-1.95,0.6,-0.81,0.2,0.43,-1.09,-0.23,-0.02,-0.3216666666666667
-1.05,0.03,0.61,-1.58,0.48,1.45,0.88,1.42,0.09,-0.15,0.35,0.44,0.24749999999999994
0.58,0.19,1.92,-0.98,-1.67,0.82,-0.01,0.73,0.16,1.16,-0.65,-0.59,0.13833333333333334
-1.19,-0.69,-0.86,-1.04,1.1,-0.89,0.25,1.21,-0.59,0.56,"",-0.07,-0.09916666666666664
-0.28,-1.01,-1.35,1.21,-0.41,-0.42,-0.09,-0.77,1.31,-1.26,-0.73,-0.21,-0.3341666666666667
0.82,-1.2,0.35,-0.65,0.32,-0.23,1.99,2.45,-0.27,-0.51,0.33,-0.67,0.22750000000000004
"",-2.02,0.01,1.89,-2.21,1.06,0.71,1.04,-0.42,1.73,0.58,0.95,0.345
-1.17,-1.92,"",-0.15,-1.44,0.42,0.03,0.75,1.03,-0.54,-1.25,0.02,-0.32749999999999996
1.0,-0.37,-0.39,-1.53,0.39,-1.52,2.55,-0.76,-1.14,-0.09,-1.24,-1.15,-0.3541666666666667
-1.19,0.86,-0.07,1.44,-1.46,-1.14,-0.23,0.22,0.41,-0.56,0.35,-1.66,-0.25249999999999995
-1.19,-2.08,-1.2,0.39,-0.26,-0.66,-1.17,-1.1,-0.21,-0.12,-0.47,-0.54,-0.7174999999999999
0.3,-0.42,-0.88,0.37,-1.92,0.06,0.2,0.28,0.67,-0.47,-1.04,-0.04,-0.24083333333333332
0.72,1.51,1.19,-2.62,1.31,-0.96,-0.13,-0.94,0.37,1.24,-1.35,0.78,0.09333333333333332
0.22,2.91,1.22,-0.92,-0.45,-2.24,0.02,"","",-1.35,1.57,0.58,0.2133333333333333
-0.34,-0.28,-2.18,1.44,0.68,-1.71,-0.09,1.12,1.58,-1.86,-1.35,-1.41,-0.3666666666666667
-0.68,1.04,-0.04,0.66,0.75,-0.49,"",-0.4,2.11,-0.56,0.84,-0.61,0.18166666666666664
