"model","cyl","disp","hp","drat","wt","qsec","vs","am","gear","carb","target"
"Mazda RX4","",160.0,"",3.9,2.62,16.46,0.0,1.0,4.0,"",21.0
"Mazda RX4 Wag",6.0,160.0,110.0,"",2.875,17.02,0.0,1.0,4.0,4.0,21.0
"Datsun 710",4.0,108.0,93.0,3.85,2.32,18.61,1.0,1.0,4.0,1.0,22.8
"Hornet 4 Drive",6.0,258.0,110.0,3.08,3.215,19.44,1.0,0.0,3.0,1.0,21.4
"Hornet Sportabout",8.0,360.0,175.0,3.15,3.44,17.02,0.0,0.0,3.0,2.0,18.7
"Valiant","",225.0,105.0,2.76,3.46,"",1.0,0.0,3.0,1.0,18.1
"Duster 360",8.0,360.0,245.0,3.21,3.57,15.84,0.0,0.0,3.0,4.0,14.3
"",4.0,146.7,62.0,3.69,3.19,20.0,1.0,0.0,4.0,2.0,24.4
"Merc 230",4.0,140.8,95.0,3.92,3.15,22.9,1.0,0.0,4.0,2.0,22.8
"Merc 280","",167.6,123.0,3.92,3.44,18.3,1.0,0.0,"",4.0,19.2
"Merc 280C",6.0,167.6,123.0,3.92,3.44,18.9,1.0,0.0,4.0,4.0,17.8
"Merc 450SE",8.0,275.8,180.0,3.07,4.07,17.4,0.0,0.0,3.0,3.0,16.4
"Merc 450SL",8.0,275.8,180.0,3.07,3.73,17.6,0.0,0.0,3.0,3.0,17.3
"Merc 450SLC",8.0,275.8,180.0,3.07,3.78,18.0,0.0,0.0,3.0,3.0,15.2
"Cadillac Fleetwood",8.0,472.0,205.0,2.93,5.25,17.98,0.0,0.0,3.0,4.0,10.4
"Lincoln Continental",8.0,460.0,215.0,3.0,"",17.82,0.0,0.0,3.0,4.0,10.4
"Chrysler Imperial",8.0,"",230.0,3.23,5.345,17.42,0.0,0.0,3.0,4.0,14.7
"Fiat 128",4.0,78.7,66.0,4.08,2.2,19.47,1.0,1.0,4.0,1.0,32.4
"Honda Civic",4.0,75.7,52.0,4.93,1.615,18.52,1.0,1.0,4.0,2.0,30.4
"",4.0,71.1,65.0,4.22,1.835,19.9,1.0,1.0,4.0,1.0,33.9
"Toyota Corona",4.0,120.1,97.0,3.7,2.465,20.01,"","",3.0,1.0,21.5
"Dodge Challenger",8.0,318.0,150.0,2.76,3.52,16.87,0.0,0.0,3.0,2.0,15.5
"AMC Javelin",8.0,304.0,150.0,3.15,3.435,17.3,0.0,0.0,3.0,2.0,15.2
"Camaro Z28",8.0,350.0,245.0,3.73,3.84,15.41,0.0,0.0,3.0,4.0,13.3
"Pontiac Firebird",8.0,400.0,175.0,3.08,3.845,17.05,0.0,0.0,3.0,2.0,19.2
"Fiat X1-9",4.0,79.0,66.0,4.08,1.935,18.9,1.0,1.0,4.0,1.0,27.3
"Porsche 914-2",4.0,120.3,91.0,4.43,2.14,16.7,0.0,1.0,5.0,2.0,26.0
"Lotus Europa",4.0,"",113.0,3.77,1.513,16.9,1.0,1.0,5.0,2.0,30.4
"Ford Pantera L",8.0,351.0,264.0,4.22,3.17,14.5,0.0,1.0,5.0,4.0,15.8
"Ferrari Dino",6.0,145.0,175.0,3.62,2.77,15.5,0.0,"",5.0,6.0,19.7
"Maserati Bora",8.0,301.0,335.0,3.54,3.57,14.6,0.0,1.0,5.0,8.0,15.0
"Volvo 142E",4.0,121.0,109.0,4.11,2.78,18.6,1.0,1.0,4.0,2.0,21.4
