"cap-shape","cap-surface","cap-color","bruises%3F","odor","gill-attachment","gill-spacing","gill-size","gill-color","stalk-shape","stalk-root","stalk-surface-above-ring","stalk-surface-below-ring","stalk-color-above-ring","stalk-color-below-ring","veil-type","veil-color","ring-number","ring-type","spore-print-color","population","habitat","target"
"x","s","n","t","p","f","c","n","k","e","e","","s","w","w","p","w","o","p","k","s","u","p"
"x","s","y","t","a","f","c","b","k","e","c","s","","w","w","p","w","o","p","n","n","","e"
"b","s","w","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","n","m","e"
"x","y","w","t","p","f","c","n","n","","e","s","s","w","w","p","w","o","p","k","","u","p"
"x","s","g","f","n","f","w","b","k","t","e","s","s","w","w","p","w","o","e","n","a","g","e"
"x","y","y","t","a","f","c","b","n","e","c","s","s","w","w","p","w","o","p","k","n","g","e"
"b","s","","t","","f","c","b","g","e","c","","s","w","w","p","w","o","p","k","n","m","e"
"","y","w","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","s","m","e"
"x","y","w","t","p","f","c","n","p","e","","s","s","w","w","p","w","o","p","k","v","g","p"
"b","s","","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","k","s","m","e"
"x","y","y","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","n","g","e"
"x","y","y","t","","f","c","b","n","e","c","s","s","w","w","p","w","o","p","k","s","m","e"
"b","s","","t","a","f","c","b","w","e","c","s","s","w","w","p","w","o","p","n","s","g","e"
"x","y","w","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","n","v","u","p"
"x","f","n","f","n","f","w","b","n","","e","s","f","w","w","p","w","o","e","k","a","g","e"
"s","f","g","f","n","f","c","n","k","e","e","s","s","w","w","p","w","o","p","n","","u","e"
"f","f","w","f","n","f","w","b","","t","e","s","s","w","","p","w","o","e","n","a","","e"
"x","s","n","t","p","f","c","n","n","e","e","s","s","w","w","p","w","o","p","k","s","g","p"
"x","y","w","","p","f","c","n","n","e","e","s","s","w","w","p","w","o","p","n","s","u","p"
"","s","n","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","n","s","u","p"
"b","s","y","t","a","f","c","b","k","e","c","s","s","w","w","","w","o","","n","s","m","e"
"x","y","n","t","p","f","c","n","n","e","e","s","s","w","w","p","","o","p","n","v","g","p"
"b","y","y","t","","","c","b","k","e","c","s","s","w","w","p","w","o","p","n","s","m","e"
"b","y","w","t","a","f","c","b","w","e","c","s","s","w","w","p","w","o","p","n","n","m","e"
"b","s","w","","l","f","","b","g","","c","s","s","w","","p","","o","p","k","s","m","e"
"f","s","w","t","p","f","c","n","n","e","e","s","s","w","w","p","w","o","p","n","v","g","p"
"x","y","","t","a","f","c","b","n","e","c","s","s","w","w","p","w","o","","n","n","m","e"
"x","y","w","t","l","f","c","b","w","e","c","s","","w","w","p","w","o","p","n","n","m","e"
"f","f","n","f","n","f","c","n","k","e","e","s","s","w","w","p","w","o","p","k","y","u","e"
"x","s","y","t","a","f","","n","n","t","b","s","s","w","w","p","w","o","","n","v","d","e"
"b","s","y","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","n","m","e"
"x","y","w","t","p","f","c","n","k","e","e","s","s","","w","p","w","o","","n","s","u","p"
"","y","y","","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","","m","e"
"x","y","n","t","l","f","c","b","p","e","r","s","y","w","w","p","w","o","p","n","y","p","e"
"b","y","y","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","s","m","e"
"x","f","","t","l","f","w","","w","t","b","s","s","w","","p","w","o","p","n","v","d","e"
"s","f","g","f","n","f","c","n","k","e","e","s","s","","w","p","w","","p","","v","u","e"
"","y","n","t","p","f","c","n","w","e","e","s","s","w","w","","w","o","p","n","s","u","p"
"x","f","","t","a","f","w","n","p","t","b","s","s","w","w","p","w","o","p","n","v","d","e"
"b","s","y","t","","f","c","b","k","e","c","s","s","w","w","p","w","o","p","","s","m","e"
"b","y","y","t","a","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","","g","e"
"","y","y","t","l","f","c","b","n","e","r","s","y","w","w","p","w","o","p","k","y","p","e"
"x","f","n","f","n","f","c","n","","e","e","s","s","w","w","p","w","o","p","k","y","u","e"
"x","y","w","t","p","f","c","n","p","e","e","s","s","","","p","w","o","p","n","v","g","p"
"x","s","y","t","a","","c","b","w","e","c","s","s","w","w","p","w","","p","k","n","m","e"
"x","y","w","t","a","f","c","b","n","e","c","s","s","w","w","p","w","o","","n","","g","e"
"x","y","y","t","l","f","c","b","k","e","c","s","s","w","w","p","w","o","","k","","m","e"
"x","s","w","t","l","f","c","b","w","e","c","s","s","w","w","p","w","o","p","n","n","","e"
"x","y","y","t","l","f","c","b","n","e","r","s","y","w","w","p","w","o","p","","s","p","e"
"f","y","y","t","l","f","c","b","w","e","r","s","y","w","w","p","w","","p","k","s","p","e"
"x","y","n","t","a","f","c","b","w","e","r","s","y","w","w","p","w","o","p","k","s","g","e"
"x","","w","t","l","","c","b","","e","c","s","s","w","w","p","w","o","p","k","s","g","e"
"b","s","w","","l","f","c","b","k","e","","s","s","w","","p","w","o","p","n","n","m","e"
"x","y","n","","p","f","c","","k","e","e","s","s","w","w","p","w","o","p","n","v","u","p"
"x","s","w","t","p","f","c","n","k","e","e","","s","w","w","p","w","o","p","k","v","u","p"
"b","y","y","t","a","f","c","b","w","e","c","s","s","w","w","p","w","o","p","k","s","m","e"
"f","f","g","f","n","f","w","b","n","t","e","s","s","w","w","p","w","o","e","n","a","g","e"
"b","s","w","t","a","f","c","b","w","e","c","s","s","w","w","p","w","o","p","n","n","g","e"
"x","s","y","t","l","f","c","b","k","e","c","s","s","w","w","","w","o","p","k","","","e"
"x","y","n","t","a","f","c","b","p","e","","s","y","w","w","p","w","o","","k","y","p","e"
"s","f","g","f","n","","c","","k","e","e","s","s","w","w","p","w","o","p","n","v","u","e"
