"X_0","X_1","X_2","X_3","X_4","X_5","X_6","X_7","X_8","X_9","target"
3.0,5.0,9.0,6.0,5.0,5.0,5.0,6.0,8.0,4.0,205.86774641787818
8.0,2.0,5.0,8.0,3.0,8.0,5.0,6.0,8.0,4.0,159.5792341950927
5.0,9.0,5.0,9.0,4.0,2.0,3.0,6.0,5.0,1.0,52.88800304475509
1.0,8.0,8.0,3.0,7.0,0.0,2.0,5.0,9.0,8.0,-2.4297782847399816
3.0,8.0,0.0,8.0,1.0,2.0,1.0,1.0,5.0,6.0,-259.7736443157013
2.0,8.0,6.0,3.0,7.0,2.0,1.0,1.0,1.0,7.0,-120.65995563885619
1.0,0.0,4.0,3.0,5.0,5.0,3.0,4.0,2.0,7.0,-246.6175578318596
2.0,3.0,8.0,0.0,7.0,7.0,3.0,6.0,2.0,7.0,-21.55261774812542
8.0,5.0,5.0,6.0,3.0,1.0,3.0,5.0,0.0,4.0,-29.643156043707446
2.0,7.0,4.0,8.0,6.0,8.0,6.0,3.0,0.0,7.0,-62.35163197134427
1.0,8.0,9.0,6.0,1.0,8.0,6.0,6.0,4.0,9.0,164.74961020079928
2.0,5.0,7.0,1.0,8.0,2.0,8.0,5.0,4.0,4.0,33.84123985323408
1.0,8.0,9.0,0.0,0.0,6.0,0.0,0.0,3.0,6.0,-98.12717989409211
1.0,7.0,9.0,0.0,2.0,6.0,1.0,6.0,8.0,4.0,50.55416009101761
8.0,8.0,8.0,2.0,6.0,2.0,2.0,6.0,2.0,1.0,164.9666741197613
8.0,2.0,0.0,2.0,7.0,8.0,3.0,9.0,1.0,8.0,1.1011436230709677
3.0,9.0,5.0,8.0,6.0,2.0,7.0,6.0,6.0,4.0,136.52437627080275
4.0,3.0,8.0,9.0,1.0,4.0,6.0,4.0,7.0,9.0,152.8329040017665
3.0,6.0,8.0,0.0,4.0,7.0,2.0,2.0,3.0,6.0,-29.78733644712269
7.0,8.0,5.0,8.0,7.0,8.0,7.0,0.0,8.0,0.0,146.83984147719116
9.0,6.0,2.0,1.0,6.0,5.0,0.0,7.0,2.0,7.0,45.69383735483798
2.0,7.0,5.0,3.0,5.0,6.0,9.0,1.0,4.0,9.0,196.07492661238777
1.0,5.0,4.0,7.0,2.0,6.0,8.0,3.0,0.0,8.0,-31.92166744446333
2.0,2.0,7.0,3.0,1.0,1.0,0.0,2.0,5.0,8.0,-175.11818134052467
7.0,9.0,8.0,0.0,7.0,7.0,5.0,2.0,2.0,7.0,191.93602949073727
3.0,7.0,2.0,2.0,8.0,8.0,7.0,1.0,2.0,4.0,-60.276918182977525
6.0,1.0,0.0,9.0,5.0,5.0,3.0,1.0,9.0,1.0,-148.8936376491125
3.0,7.0,9.0,6.0,2.0,7.0,5.0,0.0,8.0,7.0,91.86391200445163
0.0,9.0,2.0,7.0,6.0,7.0,9.0,2.0,0.0,1.0,63.9435059315419
6.0,8.0,8.0,4.0,6.0,2.0,1.0,2.0,3.0,1.0,35.140973095122014
4.0,5.0,6.0,3.0,8.0,1.0,6.0,8.0,6.0,5.0,76.86842949496531
1.0,9.0,1.0,8.0,7.0,6.0,2.0,5.0,4.0,7.0,-95.56405214665558
6.0,3.0,4.0,8.0,3.0,1.0,9.0,2.0,5.0,3.0,139.13332676982444
8.0,1.0,4.0,2.0,3.0,8.0,8.0,7.0,1.0,4.0,105.07763358306276
5.0,7.0,4.0,1.0,3.0,5.0,8.0,6.0,2.0,9.0,185.53366328725218
3.0,1.0,2.0,1.0,7.0,0.0,8.0,2.0,3.0,5.0,-119.46539009010453
7.0,2.0,6.0,6.0,5.0,5.0,3.0,9.0,5.0,5.0,116.72644253553852
8.0,1.0,2.0,5.0,7.0,8.0,4.0,1.0,1.0,7.0,-58.50329347307796
1.0,3.0,1.0,7.0,1.0,9.0,3.0,9.0,8.0,7.0,-70.11034967056318
5.0,0.0,5.0,2.0,2.0,1.0,8.0,2.0,5.0,8.0,-12.739112982959298
9.0,8.0,3.0,2.0,7.0,7.0,8.0,6.0,9.0,8.0,347.96013059318096
8.0,5.0,7.0,2.0,1.0,4.0,5.0,5.0,9.0,8.0,206.3954542383219
2.0,3.0,2.0,0.0,6.0,2.0,3.0,6.0,3.0,8.0,-171.93613107451586
4.0,7.0,5.0,8.0,3.0,1.0,9.0,0.0,2.0,5.0,42.02745049200531
