"Sex_F","Sex_I","Sex_M","Length","Diameter","Height","Whole_weight","Shucked_weight","Viscera_weight","Shell_weight","target"
0.0,0.0,10.0,2.0,3.0,1.0,3.0,3.0,2.0,2.0,"15"
0.0,0.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"7"
10.0,0.0,0.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,"9"
0.0,0.0,10.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,"10"
0.0,10.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,"7"
0.0,10.0,0.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,"8"
10.0,0.0,0.0,4.0,4.0,5.0,4.0,3.0,4.0,7.0,"20"
10.0,0.0,0.0,5.0,5.0,3.0,4.0,4.0,4.0,5.0,"16"
0.0,0.0,10.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,"9"
10.0,0.0,0.0,5.0,5.0,5.0,5.0,4.0,4.0,7.0,"19"
10.0,0.0,0.0,4.0,3.0,4.0,3.0,2.0,4.0,4.0,"14"
0.0,0.0,10.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,"10"
0.0,0.0,10.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,"11"
10.0,0.0,0.0,4.0,4.0,5.0,4.0,3.0,5.0,4.0,"10"
10.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,"10"
0.0,0.0,10.0,3.0,4.0,3.0,4.0,3.0,3.0,5.0,"12"
0.0,10.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,"7"
10.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,"10"
0.0,0.0,10.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,"7"
0.0,0.0,10.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,"9"
0.0,0.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"11"
0.0,10.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,"10"
10.0,0.0,0.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,"12"
10.0,0.0,0.0,5.0,4.0,4.0,4.0,4.0,6.0,4.0,"9"
10.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,8.0,6.0,"10"
10.0,0.0,0.0,5.0,5.0,4.0,5.0,5.0,5.0,6.0,"11"
10.0,0.0,0.0,6.0,6.0,8.0,6.0,5.0,7.0,6.0,"11"
0.0,0.0,10.0,6.0,5.0,4.0,5.0,5.0,6.0,6.0,"12"
0.0,0.0,10.0,7.0,7.0,8.0,6.0,5.0,6.0,6.0,"15"
0.0,0.0,10.0,6.0,5.0,4.0,5.0,5.0,6.0,4.0,"11"
0.0,0.0,10.0,6.0,6.0,7.0,6.0,5.0,7.0,7.0,"10"
10.0,0.0,0.0,9.0,9.0,7.0,9.0,8.0,8.0,8.0,"15"
0.0,0.0,10.0,8.0,8.0,7.0,8.0,8.0,8.0,7.0,"18"
10.0,0.0,0.0,9.0,9.0,8.0,9.0,9.0,9.0,8.0,"19"
10.0,0.0,0.0,9.0,9.0,8.0,9.0,8.0,9.0,9.0,"13"
0.0,0.0,10.0,2.0,2.0,1.0,2.0,3.0,3.0,2.0,"8"
10.0,0.0,0.0,4.0,7.0,6.0,7.0,7.0,8.0,7.0,"16"
10.0,0.0,0.0,2.0,2.0,1.0,3.0,3.0,3.0,2.0,"8"
10.0,0.0,0.0,6.0,5.0,4.0,5.0,5.0,6.0,5.0,"11"
0.0,0.0,10.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,"9"
10.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,"9"
10.0,0.0,0.0,5.0,5.0,4.0,5.0,5.0,5.0,6.0,"14"
0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"5"
0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"5"
0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"4"
0.0,10.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"7"
0.0,0.0,10.0,2.0,3.0,2.0,3.0,4.0,6.0,2.0,"9"
10.0,0.0,0.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,"7"
0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"6"
10.0,0.0,0.0,4.0,5.0,6.0,5.0,5.0,6.0,5.0,"9"
0.0,10.0,0.0,4.0,4.0,2.0,3.0,3.0,3.0,3.0,"8"
0.0,0.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"7"
0.0,0.0,10.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,"10"
10.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,"10"
0.0,0.0,10.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,"7"
