"longitude","latitude","housing_median_age","total_rooms","total_bedrooms","population","households","median_income","ocean_proximity","target"
1,7,8,0,0,0,0,9,0,452600
1,7,3,8,8,8,8,9,0,358500
1,7,10,2,1,1,1,9,0,352100
1,7,10,1,1,1,1,8,0,341300
1,7,10,3,2,1,2,5,0,342200
1,7,10,1,1,0,1,6,0,269700
1,7,10,6,5,4,6,5,0,299200
1,7,10,7,7,4,7,4,0,241400
1,7,8,6,7,5,7,1,0,226700
1,7,10,8,7,6,8,5,0,261100
1,7,10,5,4,3,4,4,0,281500
1,7,10,7,8,6,8,4,0,241800
1,7,10,6,5,4,5,3,0,213500
1,7,10,0,1,0,0,2,0,191300
1,7,10,6,7,5,7,1,0,159200
1,7,9,1,2,1,2,1,0,140000
1,7,10,4,3,2,3,3,0,152500
1,7,10,1,2,1,2,1,0,155500
1,7,9,5,5,3,5,1,0,158700
1,7,10,2,2,1,2,2,0,162900
1,7,8,0,0,0,0,0,0,147500
1,7,8,3,3,3,4,0,0,159800
1,7,10,5,6,4,6,0,0,113900
1,7,10,3,3,2,3,1,0,99700
1,7,10,5,5,3,5,2,0,132600
1,7,8,0,0,0,0,2,0,107500
1,7,9,1,1,1,1,2,0,93800
1,7,10,4,4,4,4,1,0,105500
1,7,9,4,5,4,6,0,0,108900
1,7,10,0,0,0,0,0,0,132000
1,7,9,4,5,3,4,1,0,122300
1,7,10,5,5,4,5,1,0,115200
1,7,9,4,4,4,3,1,0,110400
1,7,9,3,3,2,3,0,0,104900
1,7,9,6,6,5,6,2,0,109700
1,7,9,1,2,1,2,0,0,97200
1,7,9,3,4,3,4,0,0,104500
1,7,10,2,4,3,4,0,0,103900
1,7,10,2,3,1,3,4,0,191400
1,7,10,5,7,6,8,2,0,176000
1,7,10,3,4,3,4,1,0,155400
1,7,9,1,2,1,1,0,0,150000
1,7,9,0,1,0,1,0,0,118800
1,7,10,1,1,0,1,6,0,188800
1,7,10,2,2,1,2,3,0,184400
1,7,10,3,4,2,4,2,0,182300
1,7,9,1,2,1,2,1,0,142500
1,7,8,1,2,1,2,0,0,137500
1,7,8,0,1,0,0,0,0,187500
1,7,8,1,3,1,3,0,0,112500
1,7,3,0,5,2,5,0,0,171900
1,7,8,4,5,4,4,0,0,93800
1,7,8,7,8,8,8,0,0,97500
1,7,10,3,5,4,4,0,0,104200
1,7,10,1,1,1,1,0,0,87500
1,7,10,1,1,1,1,0,0,83100
1,7,10,1,2,1,2,0,0,87500
1,7,10,2,3,2,1,0,0,85300
1,7,10,2,3,4,2,0,0,80300
1,7,0,0,0,0,0,2,0,60000
1,7,10,1,1,1,1,4,0,75700
1,7,9,0,0,0,0,8,0,75000
1,7,9,0,1,0,0,0,0,86100
1,7,10,1,1,1,0,0,0,76100
1,7,9,0,0,0,0,2,0,73500
1,7,10,1,1,1,1,0,0,78400
1,7,9,2,3,2,3,0,0,84400
1,7,10,1,1,1,0,2,0,81300
1,7,10,0,0,0,0,1,0,85000
1,7,9,6,7,7,7,0,0,129200
1,7,4,0,0,0,0,0,0,82500
1,7,9,1,2,1,2,0,0,95200
1,7,9,0,1,1,0,0,0,75000
1,7,9,0,0,0,0,0,0,67500
1,7,2,0,0,0,0,2,0,137500
1,7,2,1,5,2,5,0,0,177500
1,7,7,7,6,5,6,2,0,102100
1,7,2,1,1,2,1,0,0,108300
1,7,3,3,3,4,3,0,0,112500
1,7,7,0,0,0,0,1,0,131300
1,7,2,1,2,1,2,0,0,162500
1,7,10,0,0,0,0,0,0,112500
1,7,10,0,0,0,0,0,0,112500
1,7,10,0,0,0,0,0,0,137500
1,7,6,1,0,0,0,1,0,118800
1,7,10,0,0,0,0,2,0,98200
1,7,8,0,5,1,4,0,0,118800
1,7,0,0,3,1,3,0,0,162500
1,7,0,0,0,0,0,0,0,137500
1,7,10,0,0,0,0,0,0,500001
1,7,1,1,4,2,4,1,0,162500
1,7,10,0,0,3,0,0,0,137500
1,7,10,0,0,0,0,0,0,162500
1,7,4,1,3,2,2,2,0,187500
1,7,7,3,7,5,5,1,0,179200
1,7,7,8,9,8,9,1,0,130000
1,7,5,8,8,8,8,3,0,183800
1,7,5,0,0,0,0,1,0,125000
1,7,3,8,8,8,8,0,0,170000
1,7,7,8,8,7,8,2,0,193100
1,7,5,8,8,8,8,2,0,257800
1,7,4,8,9,8,9,4,0,273400
1,7,7,0,1,0,1,4,0,237500
1,7,10,5,7,3,7,2,0,350000
1,7,6,8,9,8,9,3,0,335700
1,7,10,2,1,1,1,7,0,313400
1,7,10,4,5,2,5,4,0,268500
1,7,10,3,5,1,5,4,0,259400
1,7,10,7,8,6,8,5,0,275700
1,7,4,7,8,6,8,5,0,225000
1,7,10,2,2,1,2,7,0,262500
1,7,5,8,8,7,8,2,0,218500
1,7,4,8,8,7,8,3,0,255000
1,7,10,5,6,3,6,4,0,224100
1,7,6,3,4,1,5,4,0,243100
1,7,10,1,2,1,2,4,0,231600
1,7,4,8,9,8,9,2,0,218500
1,7,10,8,8,7,8,3,0,234100
1,7,9,6,4,3,4,8,0,327600
1,7,9,7,5,4,6,8,0,347600
1,7,8,6,4,2,4,8,0,366100
1,7,7,0,0,0,0,7,0,335000
1,7,10,6,4,4,4,8,0,373600
1,7,10,8,6,5,7,7,0,389500
1,7,10,6,3,3,4,9,0,391100
1,7,4,8,8,8,8,8,0,337300
1,7,9,7,5,4,6,9,0,295200
1,7,8,7,7,6,7,8,0,292300
1,7,8,8,7,7,7,9,0,411500
1,7,5,5,3,2,3,8,0,311500
1,7,6,7,5,4,6,9,0,325900
1,7,2,3,1,1,1,9,0,392600
1,7,6,6,5,4,5,9,0,319300
1,7,6,8,8,7,8,8,0,333300
1,7,4,2,0,0,1,9,0,335200
1,7,4,3,1,1,1,9,0,351200
1,7,5,3,2,1,2,8,0,368900
1,7,5,3,1,1,2,9,0,365900
1,7,7,1,0,0,1,9,0,366700
1,7,7,8,6,5,6,8,0,362800
1,7,5,0,0,0,0,8,0,483300
1,7,10,5,3,2,3,9,0,331400
1,7,8,7,5,4,5,8,0,323500
1,7,9,6,7,5,6,3,0,216700
1,7,7,5,6,3,6,3,0,233100
1,7,10,2,1,1,1,8,0,296400
1,7,10,4,3,2,3,8,0,273700
1,7,10,5,5,4,5,4,0,227700
1,7,10,5,5,4,5,3,0,199600
1,7,10,6,6,5,6,7,0,239800
1,7,10,4,3,2,3,6,0,270100
1,7,10,7,6,4,6,8,0,302100
1,7,10,4,5,2,5,4,0,269500
1,7,10,2,1,1,1,7,0,314700
1,7,10,7,4,4,4,9,0,390100
1,7,10,5,2,3,2,9,0,410300
1,7,10,6,2,3,3,8,0,352400
1,7,10,2,1,1,2,8,0,287300
1,7,10,6,3,3,3,9,0,348700
1,7,10,4,6,3,6,3,0,243800
1,7,10,0,0,0,0,1,0,211500
1,7,10,4,6,5,6,3,0,218400
1,7,10,6,5,4,6,5,0,269900
1,7,9,7,8,6,8,4,0,218800
1,7,8,8,8,7,8,3,0,225000
1,7,8,5,8,6,8,1,0,250000
1,7,8,2,5,4,5,0,0,171400
1,7,5,5,8,5,8,0,0,193800
1,7,4,3,5,5,5,1,0,125000
1,7,8,3,6,6,5,0,0,97500
1,7,9,0,0,2,1,2,0,125000
1,7,10,2,4,4,4,1,0,138800
1,7,7,3,7,7,6,1,0,116700
1,7,8,5,7,7,7,0,0,151800
1,7,10,1,1,2,1,1,0,127000
1,7,10,3,3,4,3,1,0,128600
1,7,10,3,4,3,3,1,0,140600
1,7,9,4,6,5,6,2,0,182700
1,7,10,1,2,2,2,2,0,146900
1,7,10,3,4,5,4,3,0,122800
1,7,9,6,8,6,8,2,0,169300
1,7,10,0,0,1,1,1,0,126600
1,7,9,3,4,3,4,1,0,127900
1,7,9,3,5,4,5,1,0,123500
1,7,10,1,2,2,2,2,0,111900
1,7,8,8,8,9,8,1,0,112800
1,7,10,3,4,7,5,3,0,107900
1,7,5,1,1,4,2,1,0,137500
1,7,7,2,4,6,4,1,0,105500
1,7,9,2,4,5,2,1,0,95500
1,7,10,0,0,1,0,4,0,116100
1,7,8,3,3,5,4,1,0,112200
1,7,9,0,0,0,0,1,0,75000
1,7,7,0,0,0,0,0,0,112500
1,7,10,1,1,2,1,5,0,125000
1,7,2,5,8,7,8,0,0,115000
1,7,10,0,0,1,0,0,0,95000
1,7,10,1,2,3,2,2,0,96400
1,7,10,0,1,1,1,2,0,72000
1,7,10,0,0,0,0,2,0,71300
1,7,10,0,1,3,1,3,0,80800
1,7,9,4,6,6,6,0,0,128800
