"X_0","X_1","X_2","X_3","X_4","X_5","X_6","X_7","X_8","X_9","X_10","X_11","X_12","X_13","X_14","X_15","X_16","X_17","X_18","X_19","X_20","X_21","X_22","X_23","X_24","X_25","X_26","X_27","X_28","X_29","X_30","X_31","target"
8.0,3.0,7.0,8.0,5.0,8.0,1.0,7.0,4.0,6.0,3.0,2.0,6.0,3.0,2.0,6.0,9.0,7.0,6.0,8.0,3.0,6.0,6.0,7.0,8.0,8.0,9.0,1.0,7.0,8.0,4.0,6.0,1
4.0,3.0,1.0,6.0,7.0,2.0,1.0,2.0,0.0,1.0,7.0,5.0,8.0,9.0,3.0,0.0,5.0,3.0,1.0,7.0,0.0,1.0,5.0,2.0,1.0,3.0,1.0,4.0,8.0,0.0,3.0,8.0,0
6.0,2.0,1.0,3.0,7.0,0.0,6.0,0.0,0.0,1.0,8.0,3.0,8.0,3.0,0.0,4.0,5.0,2.0,1.0,3.0,0.0,8.0,2.0,8.0,0.0,7.0,5.0,4.0,8.0,4.0,5.0,2.0,3
1.0,2.0,7.0,6.0,2.0,4.0,9.0,8.0,2.0,6.0,5.0,7.0,4.0,9.0,8.0,6.0,1.0,0.0,1.0,8.0,4.0,2.0,9.0,8.0,6.0,3.0,8.0,1.0,4.0,7.0,2.0,6.0,0
2.0,2.0,8.0,1.0,1.0,4.0,0.0,8.0,2.0,4.0,8.0,8.0,7.0,7.0,2.0,7.0,0.0,5.0,7.0,4.0,9.0,3.0,1.0,3.0,1.0,1.0,0.0,3.0,6.0,3.0,1.0,5.0,0
7.0,2.0,8.0,0.0,8.0,3.0,8.0,1.0,7.0,1.0,1.0,7.0,1.0,1.0,1.0,7.0,3.0,1.0,7.0,5.0,0.0,0.0,9.0,8.0,0.0,1.0,2.0,1.0,0.0,3.0,3.0,8.0,3
2.0,9.0,4.0,1.0,9.0,7.0,8.0,2.0,2.0,8.0,3.0,1.0,5.0,2.0,1.0,1.0,7.0,8.0,5.0,2.0,3.0,2.0,1.0,4.0,7.0,8.0,8.0,0.0,3.0,1.0,7.0,6.0,0
0.0,2.0,4.0,0.0,6.0,4.0,5.0,3.0,8.0,2.0,1.0,1.0,8.0,6.0,8.0,1.0,3.0,7.0,4.0,8.0,7.0,2.0,4.0,0.0,8.0,3.0,3.0,7.0,5.0,8.0,1.0,7.0,0
9.0,0.0,5.0,6.0,6.0,1.0,5.0,2.0,5.0,3.0,3.0,6.0,6.0,5.0,2.0,1.0,7.0,6.0,9.0,4.0,1.0,7.0,7.0,2.0,1.0,2.0,3.0,5.0,7.0,9.0,3.0,6.0,0
4.0,7.0,3.0,7.0,6.0,9.0,7.0,6.0,4.0,5.0,7.0,6.0,1.0,1.0,3.0,9.0,4.0,2.0,5.0,5.0,7.0,6.0,6.0,5.0,1.0,1.0,1.0,1.0,8.0,9.0,5.0,1.0,0
7.0,8.0,4.0,1.0,4.0,1.0,6.0,6.0,4.0,0.0,5.0,7.0,7.0,0.0,1.0,5.0,5.0,2.0,1.0,8.0,4.0,2.0,2.0,8.0,6.0,5.0,0.0,2.0,5.0,8.0,4.0,1.0,0
8.0,5.0,4.0,6.0,6.0,4.0,8.0,8.0,7.0,6.0,3.0,9.0,3.0,6.0,7.0,4.0,1.0,0.0,3.0,1.0,8.0,2.0,8.0,2.0,9.0,5.0,2.0,2.0,8.0,7.0,7.0,3.0,0
8.0,1.0,9.0,2.0,6.0,7.0,1.0,3.0,5.0,4.0,1.0,1.0,5.0,9.0,6.0,1.0,5.0,3.0,3.0,6.0,7.0,3.0,9.0,1.0,7.0,4.0,4.0,2.0,7.0,2.0,1.0,2.0,0
8.0,1.0,5.0,6.0,3.0,4.0,4.0,9.0,9.0,8.0,1.0,1.0,7.0,2.0,3.0,1.0,7.0,8.0,2.0,9.0,4.0,0.0,1.0,0.0,8.0,9.0,1.0,1.0,6.0,1.0,2.0,4.0,0
2.0,8.0,8.0,1.0,2.0,4.0,3.0,1.0,7.0,6.0,1.0,6.0,3.0,6.0,2.0,8.0,8.0,6.0,3.0,0.0,1.0,7.0,0.0,6.0,9.0,1.0,1.0,4.0,3.0,8.0,6.0,7.0,0
4.0,1.0,7.0,3.0,7.0,4.0,1.0,4.0,4.0,4.0,4.0,6.0,6.0,0.0,8.0,6.0,6.0,8.0,8.0,8.0,2.0,7.0,9.0,8.0,6.0,7.0,4.0,8.0,7.0,8.0,7.0,5.0,0
7.0,4.0,8.0,1.0,0.0,7.0,9.0,3.0,1.0,7.0,6.0,1.0,5.0,7.0,1.0,8.0,3.0,8.0,5.0,2.0,9.0,9.0,6.0,4.0,1.0,1.0,5.0,1.0,6.0,8.0,1.0,0.0,0
9.0,1.0,7.0,7.0,8.0,0.0,9.0,8.0,8.0,0.0,7.0,9.0,1.0,8.0,2.0,3.0,4.0,8.0,0.0,7.0,0.0,6.0,5.0,5.0,5.0,2.0,7.0,1.0,9.0,7.0,8.0,3.0,0
9.0,4.0,8.0,6.0,5.0,8.0,8.0,5.0,5.0,6.0,7.0,7.0,2.0,3.0,5.0,5.0,9.0,4.0,8.0,2.0,6.0,2.0,5.0,0.0,4.0,9.0,8.0,2.0,5.0,9.0,6.0,7.0,1
