"X_0","X_1","X_2","X_3","X_4","X_5","X_6","X_7","X_8","X_9","X_10","X_11","target"
6.0,7.0,1.0,8.0,7.0,6.0,1.0,3.0,1.0,8.0,6.0,6.0,0.13583333333333333
6.0,7.0,1.0,3.0,0.0,7.0,2.0,5.0,6.0,1.0,4.0,5.0,-0.3216666666666667
1.0,5.0,7.0,0.0,6.0,9.0,8.0,8.0,5.0,4.0,6.0,6.0,0.24749999999999994
7.0,5.0,9.0,1.0,0.0,7.0,4.0,7.0,5.0,8.0,2.0,2.0,0.13833333333333334
1.0,2.0,2.0,1.0,8.0,1.0,5.0,8.0,2.0,7.0,8.0,4.0,-0.09916666666666664
3.0,1.0,1.0,8.0,3.0,3.0,4.0,2.0,8.0,1.0,2.0,4.0,-0.3341666666666667
7.0,1.0,6.0,2.0,6.0,4.0,9.0,9.0,3.0,3.0,6.0,2.0,0.22750000000000004
7.0,0.0,5.0,9.0,0.0,8.0,7.0,8.0,3.0,9.0,7.0,8.0,0.345
1.0,0.0,6.0,4.0,1.0,6.0,5.0,7.0,8.0,2.0,1.0,5.0,-0.32749999999999996
8.0,3.0,3.0,0.0,6.0,1.0,9.0,2.0,1.0,4.0,1.0,1.0,-0.3541666666666667
1.0,8.0,4.0,8.0,1.0,1.0,4.0,5.0,6.0,2.0,6.0,0.0,-0.25249999999999995
1.0,0.0,1.0,6.0,3.0,2.0,1.0,1.0,4.0,4.0,3.0,3.0,-0.7174999999999999
6.0,3.0,1.0,6.0,0.0,5.0,5.0,6.0,7.0,3.0,1.0,4.0,-0.24083333333333332
7.0,9.0,8.0,0.0,8.0,1.0,4.0,1.0,6.0,8.0,1.0,7.0,0.09333333333333332
5.0,9.0,8.0,1.0,3.0,0.0,5.0,7.0,5.0,1.0,9.0,7.0,0.2133333333333333
3.0,3.0,0.0,8.0,7.0,0.0,4.0,8.0,9.0,0.0,1.0,1.0,-0.3666666666666667
2.0,8.0,4.0,7.0,7.0,3.0,3.0,3.0,9.0,2.0,7.0,2.0,0.18166666666666664
