"X_0","X_1","X_2","X_3","X_4","X_5","X_6","X_7","X_8","X_9","target"
4.0,3.0,5.0,6.0,9.0,8.0,10.0,3.0,7.0,3.0,15.370928195608151
6.0,4.0,4.0,2.0,4.0,0.0,3.0,5.0,1.0,1.0,13.065349115097634
1.0,6.0,1.0,6.0,8.0,8.0,7.0,2.0,6.0,6.0,15.524062321813851
0.0,7.0,0.0,2.0,9.0,4.0,5.0,1.0,7.0,9.0,12.395770012087077
6.0,8.0,0.0,4.0,0.0,3.0,5.0,5.0,6.0,4.0,19.0100280756718
6.0,4.0,8.0,8.0,2.0,6.0,7.0,8.0,5.0,5.0,19.01420765413446
7.0,2.0,1.0,5.0,6.0,0.0,9.0,4.0,0.0,4.0,15.22318715526955
1.0,0.0,1.0,6.0,3.0,5.0,4.0,10.0,0.0,7.0,10.56696371349882
5.0,9.0,2.0,2.0,0.0,5.0,7.0,6.0,9.0,4.0,12.990523457436641
7.0,5.0,6.0,1.0,9.0,3.0,8.0,6.0,0.0,3.0,15.917284762300152
2.0,1.0,9.0,4.0,5.0,5.0,7.0,4.0,2.0,7.0,13.263415357455688
2.0,9.0,4.0,7.0,0.0,9.0,5.0,8.0,3.0,0.0,15.37118716336278
4.0,7.0,5.0,1.0,5.0,1.0,7.0,6.0,6.0,6.0,13.334382899685533
5.0,8.0,6.0,4.0,6.0,9.0,9.0,7.0,6.0,3.0,18.364699853742575
6.0,5.0,7.0,7.0,6.0,5.0,3.0,1.0,0.0,6.0,22.121930254425102
6.0,2.0,1.0,4.0,3.0,7.0,7.0,9.0,5.0,3.0,12.50929194319678
3.0,0.0,7.0,8.0,1.0,1.0,6.0,4.0,9.0,5.0,10.907790954097385
4.0,4.0,4.0,5.0,3.0,8.0,1.0,1.0,2.0,1.0,12.812178720635563
1.0,8.0,9.0,6.0,7.0,2.0,0.0,0.0,0.0,9.0,19.27118315187007
3.0,8.0,1.0,4.0,4.0,8.0,2.0,2.0,1.0,9.0,18.510552801279765
2.0,7.0,2.0,10.0,8.0,2.0,6.0,3.0,3.0,6.0,20.992316476637306
9.0,3.0,7.0,2.0,2.0,0.0,3.0,5.0,4.0,8.0,11.851628467470874
4.0,7.0,3.0,7.0,8.0,8.0,3.0,9.0,8.0,6.0,21.5639966753755
4.0,6.0,1.0,9.0,2.0,3.0,4.0,9.0,5.0,6.0,20.090172492373735
2.0,10.0,5.0,4.0,5.0,4.0,9.0,3.0,1.0,3.0,16.224358854929367
6.0,2.0,0.0,1.0,1.0,6.0,4.0,4.0,2.0,6.0,9.609891608597257
7.0,4.0,8.0,9.0,5.0,1.0,6.0,4.0,7.0,1.0,21.897690268346757
7.0,9.0,1.0,7.0,2.0,1.0,4.0,2.0,4.0,2.0,19.867191867968295
5.0,5.0,9.0,4.0,8.0,6.0,2.0,7.0,6.0,3.0,21.15144251505029
2.0,3.0,6.0,0.0,5.0,2.0,1.0,9.0,4.0,4.0,5.649658992746119
8.0,1.0,7.0,0.0,5.0,6.0,5.0,7.0,3.0,2.0,7.145203639177931
2.0,1.0,5.0,6.0,5.0,1.0,6.0,1.0,4.0,3.0,10.304958666879521
2.0,9.0,7.0,8.0,7.0,3.0,2.0,8.0,1.0,3.0,19.544314330227913
6.0,9.0,4.0,8.0,9.0,2.0,4.0,4.0,1.0,3.0,21.11051634084624
9.0,0.0,4.0,3.0,9.0,3.0,8.0,6.0,1.0,3.0,9.513390364916047
1.0,1.0,3.0,4.0,6.0,7.0,5.0,0.0,3.0,3.0,9.274280883232445
4.0,2.0,5.0,0.0,8.0,4.0,0.0,0.0,4.0,5.0,8.238257235917455
2.0,5.0,2.0,2.0,0.0,5.0,0.0,4.0,9.0,0.0,8.264444158972918
2.0,6.0,6.0,3.0,5.0,8.0,7.0,4.0,7.0,9.0,11.787880576813278
3.0,1.0,5.0,2.0,0.0,7.0,0.0,0.0,9.0,9.0,4.389986800523006
8.0,3.0,9.0,1.0,3.0,1.0,2.0,9.0,7.0,5.0,15.01218979476601
8.0,0.0,0.0,5.0,8.0,5.0,8.0,5.0,4.0,3.0,14.989350227999587
7.0,7.0,8.0,2.0,2.0,4.0,6.0,1.0,4.0,7.0,18.33022228196035
0.0,4.0,2.0,9.0,4.0,2.0,8.0,2.0,5.0,10.0,14.208208666500298
0.0,5.0,7.0,9.0,4.0,2.0,2.0,4.0,7.0,9.0,14.255674745390483
7.0,2.0,1.0,8.0,2.0,6.0,6.0,6.0,2.0,8.0,17.575135213565027
