"X_0","X_1","X_2","X_3","target"
4.0,3.0,5.0,6.0,363.4462983986566
9.0,9.0,10.0,3.0,1619.5657579522083
7.0,2.0,7.0,4.0,385.1087750183836
3.0,2.0,4.0,0.0,246.139654098202
3.0,4.0,1.0,1.0,134.69157002029982
1.0,6.0,1.0,7.0,211.67352523141528
8.0,8.0,8.0,2.0,1252.424350773828
6.0,6.0,0.0,7.0,98.72785747685532
0.0,2.0,9.0,5.0,484.54835395954495
4.0,1.0,7.0,9.0,260.5477667169037
7.0,8.0,0.0,5.0,111.89303931842142
1.0,3.0,5.0,4.0,335.51930004622164
6.0,3.0,7.0,4.0,446.53937170462837
8.0,8.0,2.0,6.0,449.37407457044344
7.0,8.0,5.0,4.0,825.8876576411104
7.0,1.0,1.0,6.0,102.51082776837985
7.0,0.0,9.0,3.0,211.32675850352027
0.0,4.0,1.0,0.0,116.56090659224091
1.0,6.0,4.0,6.0,465.79799893761316
4.0,10.0,0.0,7.0,137.69297196696718
6.0,9.0,2.0,3.0,464.2284315853039
0.0,6.0,7.0,5.0,815.0314786684054
9.0,3.0,8.0,5.0,481.19617181165233
6.0,1.0,8.0,4.0,340.07177698871016
9.0,6.0,0.0,2.0,94.50804619353248
2.0,1.0,9.0,5.0,267.7075610300335
5.0,6.0,7.0,4.0,730.2570133912209
2.0,6.0,2.0,9.0,336.80776622503726
3.0,7.0,0.0,9.0,79.64788999116196
5.0,8.0,3.0,0.0,481.8790914308158
4.0,7.0,5.0,1.0,743.8578038799349
6.0,0.0,8.0,5.0,191.01319416122848
6.0,5.0,6.0,8.0,615.7869496210355
6.0,5.0,6.0,9.0,600.8015835058643
9.0,6.0,6.0,3.0,771.3856559539944
7.0,5.0,8.0,8.0,724.972325218235
6.0,6.0,3.0,1.0,376.313859803089
0.0,5.0,7.0,1.0,706.5522639264959
1.0,5.0,3.0,7.0,340.6608896265472
7.0,9.0,6.0,2.0,1011.3006351458926
3.0,0.0,7.0,8.0,152.19830899458145
2.0,1.0,6.0,4.0,169.8342268993067
9.0,4.0,4.0,4.0,377.6415207577013
3.0,6.0,3.0,9.0,366.5249107784699
0.0,1.0,2.0,1.0,70.08682478933639
1.0,8.0,9.0,7.0,1582.7653013618233
7.0,2.0,0.0,0.0,77.22857609439156
0.0,9.0,4.0,8.0,647.9414781620557
1.0,5.0,4.0,8.0,431.46180983153954
1.0,1.0,0.0,9.0,59.97681626423529
2.0,7.0,2.0,10.0,359.9632864823897
9.0,3.0,5.0,3.0,341.16604360400106
3.0,5.0,9.0,2.0,889.0166406308681
8.0,2.0,2.0,0.0,150.176348148207
3.0,4.0,4.0,8.0,364.0100654992078
4.0,7.0,3.0,8.0,406.22458770776495
9.0,9.0,2.0,8.0,491.78750135921445
8.0,6.0,4.0,6.0,468.66294298741354
1.0,9.0,2.0,3.0,466.4549428679232
4.0,8.0,5.0,6.0,974.9220854403468
3.0,9.0,5.0,5.0,1029.2633766352444
6.0,4.0,9.0,3.0,751.6758290639817
1.0,2.0,6.0,1.0,331.8858634937275
0.0,2.0,1.0,7.0,90.51987060287934
3.0,3.0,2.0,6.0,176.8773850973957
7.0,4.0,8.0,9.0,618.3198232404435
5.0,0.0,5.0,4.0,138.38574514402796
8.0,1.0,8.0,9.0,266.6060341503003
1.0,8.0,3.0,1.0,476.55105237902603
4.0,2.0,5.0,1.0,246.49216163396125
6.0,5.0,9.0,5.0,895.6124270303411
8.0,7.0,1.0,7.0,256.874628655053
7.0,2.0,1.0,2.0,130.7554884742633
6.0,0.0,5.0,2.0,138.74725159075015
1.0,8.0,4.0,3.0,675.2589813123075
8.0,1.0,7.0,0.0,228.86190080195797
5.0,7.0,4.0,6.0,590.2477790639582
3.0,1.0,1.0,1.0,108.35780242336942
5.0,6.0,5.0,1.0,720.1859228338525
5.0,1.0,5.0,2.0,156.16630852758757
2.0,9.0,7.0,8.0,1214.488603213906
8.0,4.0,1.0,8.0,150.57906763633403
1.0,3.0,7.0,9.0,384.7184542228457
4.0,8.0,9.0,2.0,1374.632680802193
4.0,4.0,1.0,2.0,155.13241410174732
10.0,0.0,3.0,5.0,108.53567940060232
9.0,4.0,8.0,6.0,573.1718489131134
1.0,2.0,0.0,1.0,62.03094793594667
3.0,5.0,6.0,7.0,630.9200783747684
4.0,0.0,3.0,2.0,73.717247071561
4.0,2.0,4.0,1.0,231.8237221124161
9.0,5.0,0.0,0.0,85.4289491757967
5.0,4.0,2.0,5.0,215.8107354071768
2.0,2.0,1.0,6.0,85.25217967381266
0.0,4.0,9.0,0.0,643.9984748584134
2.0,6.0,6.0,4.0,786.0442139354271
5.0,8.0,7.0,4.0,1158.447271659229
7.0,9.0,3.0,0.0,646.7993932558664
5.0,3.0,1.0,7.0,97.89257716236453
0.0,0.0,9.0,9.0,154.4600767813269
