"l1","l2","theta1","theta2","phi","Noise_0","Noise_1","Noise_2","Noise_3","Noise_4","Noise_5","Noise_6","Noise_7","Noise_8","Noise_9","Noise_10","Noise_11","Noise_12","Noise_13","Noise_14","Noise_15","Noise_16","Noise_17","Noise_18","Noise_19","Noise_20","Noise_21","Noise_22","Noise_23","Noise_24","target"
8.0,5.0,4.0,3.0,3.0,2.0,4.0,4.0,5.0,5.0,4.0,8.0,5.0,1.0,7.0,3.0,0.0,1.0,1.0,1.0,9.0,9.0,1.0,0.0,4.0,9.0,4.0,5.0,1.0,2.0,1.3027000427246094
4.0,8.0,9.0,3.0,7.0,6.0,9.0,4.0,5.0,5.0,8.0,7.0,6.0,1.0,9.0,3.0,2.0,6.0,0.0,0.0,5.0,2.0,7.0,8.0,0.0,8.0,0.0,2.0,2.0,5.0,1.0200999975204468
6.0,10.0,0.0,5.0,6.0,1.0,6.0,9.0,2.0,4.0,7.0,2.0,7.0,9.0,6.0,1.0,9.0,0.0,7.0,8.0,10.0,8.0,2.0,5.0,1.0,0.0,3.0,8.0,6.0,0.0,1.493499994277954
4.0,7.0,8.0,3.0,8.0,2.0,0.0,9.0,8.0,3.0,7.0,2.0,0.0,3.0,8.0,1.0,7.0,4.0,6.0,7.0,2.0,6.0,8.0,4.0,9.0,8.0,5.0,7.0,8.0,3.0,0.9340999722480774
9.0,9.0,5.0,5.0,3.0,8.0,2.0,6.0,1.0,6.0,0.0,4.0,3.0,7.0,1.0,9.0,2.0,2.0,1.0,6.0,8.0,2.0,5.0,0.0,1.0,1.0,4.0,3.0,7.0,2.0,1.7582000494003296
0.0,4.0,0.0,1.0,0.0,6.0,2.0,1.0,9.0,6.0,6.0,0.0,7.0,3.0,7.0,4.0,1.0,4.0,7.0,7.0,9.0,8.0,3.0,3.0,2.0,4.0,8.0,9.0,4.0,3.0,0.33869999647140503
8.0,8.0,7.0,3.0,9.0,2.0,4.0,3.0,5.0,2.0,7.0,1.0,3.0,3.0,6.0,9.0,4.0,1.0,3.0,1.0,0.0,6.0,5.0,4.0,4.0,0.0,7.0,6.0,3.0,9.0,1.126099944114685
0.0,1.0,8.0,5.0,0.0,0.0,3.0,2.0,8.0,5.0,1.0,8.0,5.0,8.0,1.0,6.0,9.0,1.0,1.0,8.0,0.0,6.0,5.0,3.0,6.0,5.0,2.0,9.0,7.0,6.0,0.033399999141693115
3.0,1.0,9.0,8.0,3.0,9.0,3.0,7.0,4.0,1.0,8.0,3.0,9.0,9.0,2.0,5.0,6.0,8.0,2.0,3.0,6.0,1.0,5.0,5.0,7.0,3.0,6.0,5.0,0.0,0.0,0.3506999909877777
8.0,3.0,8.0,3.0,6.0,8.0,0.0,2.0,2.0,2.0,6.0,0.0,0.0,6.0,3.0,5.0,6.0,6.0,8.0,5.0,9.0,4.0,4.0,4.0,4.0,8.0,0.0,5.0,8.0,5.0,1.080199956893921
8.0,8.0,0.0,5.0,2.0,3.0,8.0,4.0,4.0,7.0,9.0,7.0,9.0,8.0,5.0,4.0,4.0,2.0,6.0,4.0,4.0,6.0,6.0,6.0,7.0,7.0,7.0,9.0,4.0,2.0,1.4163999557495117
5.0,6.0,7.0,1.0,6.0,7.0,7.0,6.0,1.0,8.0,4.0,7.0,0.0,1.0,6.0,9.0,3.0,9.0,5.0,5.0,3.0,0.0,3.0,6.0,5.0,4.0,0.0,8.0,3.0,0.0,0.5040000081062317
4.0,5.0,9.0,6.0,1.0,2.0,4.0,3.0,2.0,3.0,7.0,6.0,0.0,9.0,1.0,7.0,5.0,0.0,9.0,8.0,1.0,0.0,9.0,9.0,5.0,6.0,4.0,7.0,3.0,1.0,0.7955999970436096
1.0,2.0,4.0,8.0,5.0,3.0,3.0,5.0,8.0,4.0,8.0,7.0,0.0,2.0,3.0,1.0,2.0,5.0,2.0,2.0,3.0,8.0,4.0,1.0,7.0,4.0,2.0,2.0,7.0,2.0,0.22190000116825104
8.0,4.0,2.0,3.0,7.0,6.0,1.0,0.0,2.0,1.0,0.0,5.0,5.0,2.0,7.0,9.0,6.0,6.0,0.0,2.0,4.0,9.0,4.0,0.0,6.0,2.0,7.0,0.0,9.0,0.0,1.0812000036239624
