"RI","Na","Mg","Al","Si","K","Ca","Ba","Fe","target"
5.0,1.0,5.0,2.0,7.0,8.0,5.0,0.0,0.0,"build wind float"
2.0,0.0,5.0,4.0,5.0,5.0,4.0,0.0,0.0,"vehic wind float"
5.0,4.0,5.0,5.0,4.0,6.0,3.0,0.0,0.0,"build wind float"
0.0,8.0,2.0,6.0,9.0,0.0,0.0,0.0,0.0,"tableware"
10.0,0.0,0.0,1.0,0.0,2.0,10.0,0.0,9.0,"build wind non-float"
2.0,1.0,3.0,5.0,8.0,5.0,6.0,7.0,8.0,"build wind non-float"
5.0,6.0,8.0,0.0,6.0,1.0,6.0,0.0,0.0,"vehic wind float"
6.0,4.0,3.0,3.0,5.0,4.0,6.0,0.0,0.0,"build wind float"
0.0,8.0,0.0,9.0,8.0,1.0,6.0,8.0,7.0,"headlamps"
5.0,4.0,9.0,4.0,2.0,4.0,3.0,0.0,9.0,"build wind non-float"
1.0,5.0,7.0,6.0,4.0,3.0,2.0,0.0,0.0,"build wind non-float"
4.0,0.0,3.0,2.0,9.0,7.0,6.0,0.0,9.0,"build wind non-float"
8.0,4.0,8.0,0.0,1.0,2.0,8.0,0.0,0.0,"build wind float"
8.0,8.0,8.0,0.0,1.0,2.0,8.0,0.0,0.0,"vehic wind float"
2.0,4.0,4.0,8.0,3.0,7.0,3.0,0.0,8.0,"vehic wind float"
3.0,5.0,5.0,7.0,3.0,7.0,1.0,0.0,0.0,"build wind non-float"
3.0,9.0,0.0,8.0,6.0,0.0,4.0,9.0,7.0,"headlamps"
2.0,1.0,4.0,6.0,8.0,8.0,2.0,0.0,0.0,"build wind non-float"
7.0,4.0,0.0,8.0,7.0,4.0,9.0,0.0,0.0,"containers"
6.0,2.0,3.0,5.0,6.0,7.0,6.0,8.0,0.0,"build wind non-float"
8.0,3.0,8.0,1.0,2.0,2.0,8.0,0.0,8.0,"build wind float"
9.0,0.0,0.0,8.0,2.0,8.0,9.0,0.0,9.0,"build wind non-float"
6.0,2.0,8.0,1.0,2.0,8.0,6.0,0.0,8.0,"build wind non-float"
4.0,5.0,8.0,2.0,4.0,5.0,2.0,0.0,7.0,"build wind float"
8.0,2.0,2.0,9.0,2.0,8.0,8.0,8.0,10.0,"containers"
1.0,4.0,5.0,5.0,8.0,3.0,1.0,0.0,0.0,"build wind non-float"
1.0,1.0,5.0,8.0,5.0,8.0,1.0,0.0,0.0,"build wind non-float"
3.0,8.0,0.0,8.0,8.0,0.0,4.0,9.0,7.0,"headlamps"
3.0,4.0,6.0,6.0,5.0,5.0,1.0,0.0,0.0,"build wind non-float"
1.0,5.0,5.0,4.0,4.0,5.0,2.0,0.0,0.0,"vehic wind float"
2.0,2.0,6.0,7.0,7.0,8.0,1.0,0.0,0.0,"build wind non-float"
6.0,5.0,4.0,6.0,2.0,5.0,6.0,0.0,0.0,"vehic wind float"
0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,"tableware"
2.0,5.0,7.0,6.0,2.0,8.0,1.0,0.0,0.0,"build wind non-float"
4.0,3.0,7.0,4.0,6.0,5.0,3.0,0.0,7.0,"build wind float"
1.0,1.0,4.0,6.0,8.0,8.0,1.0,0.0,9.0,"build wind float"
1.0,1.0,7.0,7.0,6.0,8.0,1.0,0.0,9.0,"build wind float"
4.0,0.0,3.0,7.0,5.0,8.0,7.0,0.0,0.0,"build wind non-float"
2.0,2.0,5.0,5.0,6.0,8.0,2.0,7.0,9.0,"build wind non-float"
0.0,8.0,3.0,8.0,2.0,8.0,0.0,0.0,0.0,"build wind non-float"
5.0,1.0,5.0,4.0,6.0,8.0,5.0,0.0,0.0,"build wind float"
6.0,3.0,8.0,1.0,7.0,5.0,3.0,0.0,7.0,"build wind non-float"
2.0,3.0,7.0,6.0,5.0,7.0,1.0,0.0,0.0,"build wind non-float"
1.0,4.0,4.0,5.0,7.0,3.0,2.0,0.0,0.0,"build wind non-float"
7.0,6.0,6.0,0.0,4.0,2.0,6.0,8.0,9.0,"vehic wind float"
4.0,1.0,4.0,2.0,8.0,6.0,5.0,0.0,0.0,"build wind float"
0.0,8.0,3.0,10.0,0.0,9.0,0.0,9.0,0.0,"containers"
5.0,4.0,8.0,3.0,3.0,5.0,2.0,0.0,0.0,"build wind float"
5.0,3.0,5.0,3.0,5.0,7.0,4.0,0.0,0.0,"build wind float"
8.0,4.0,8.0,2.0,4.0,4.0,4.0,0.0,0.0,"build wind non-float"
4.0,1.0,4.0,5.0,8.0,7.0,4.0,0.0,7.0,"build wind float"
6.0,4.0,7.0,1.0,5.0,5.0,3.0,7.0,8.0,"build wind non-float"
4.0,4.0,7.0,2.0,7.0,6.0,2.0,0.0,0.0,"build wind float"
1.0,3.0,7.0,6.0,7.0,8.0,1.0,0.0,0.0,"build wind non-float"
2.0,8.0,0.0,9.0,5.0,0.0,7.0,8.0,0.0,"headlamps"
4.0,3.0,6.0,7.0,4.0,4.0,3.0,0.0,7.0,"build wind float"
8.0,9.0,2.0,8.0,0.0,8.0,8.0,0.0,0.0,"headlamps"
8.0,6.0,7.0,2.0,1.0,2.0,7.0,0.0,0.0,"build wind float"
5.0,6.0,8.0,1.0,4.0,2.0,4.0,0.0,0.0,"vehic wind float"
6.0,5.0,9.0,4.0,2.0,4.0,2.0,0.0,0.0,"build wind non-float"
6.0,6.0,9.0,3.0,1.0,4.0,2.0,0.0,9.0,"build wind non-float"
7.0,6.0,7.0,1.0,4.0,2.0,5.0,0.0,0.0,"build wind float"
1.0,4.0,4.0,2.0,4.0,5.0,4.0,0.0,0.0,"build wind float"
8.0,8.0,9.0,0.0,1.0,2.0,8.0,0.0,0.0,"build wind float"
9.0,6.0,8.0,0.0,1.0,2.0,8.0,0.0,8.0,"build wind float"
1.0,7.0,0.0,9.0,8.0,2.0,7.0,8.0,6.0,"headlamps"
7.0,4.0,4.0,3.0,2.0,7.0,7.0,0.0,7.0,"build wind float"
8.0,8.0,8.0,1.0,0.0,2.0,7.0,0.0,9.0,"vehic wind float"
9.0,0.0,0.0,8.0,0.0,6.0,9.0,10.0,9.0,"build wind non-float"
8.0,3.0,8.0,1.0,2.0,2.0,8.0,0.0,8.0,"build wind float"
6.0,8.0,2.0,7.0,2.0,0.0,7.0,0.0,0.0,"tableware"
7.0,5.0,9.0,3.0,3.0,5.0,2.0,0.0,8.0,"build wind non-float"
7.0,9.0,1.0,7.0,3.0,0.0,8.0,0.0,0.0,"tableware"
6.0,4.0,9.0,5.0,2.0,4.0,2.0,0.0,7.0,"build wind non-float"
8.0,5.0,7.0,0.0,1.0,2.0,8.0,0.0,6.0,"build wind float"
2.0,6.0,6.0,5.0,3.0,8.0,1.0,0.0,0.0,"build wind non-float"
5.0,1.0,5.0,5.0,8.0,5.0,4.0,0.0,0.0,"build wind float"
0.0,3.0,4.0,2.0,6.0,7.0,3.0,0.0,9.0,"build wind float"
2.0,3.0,4.0,3.0,6.0,4.0,4.0,0.0,0.0,"vehic wind float"
3.0,2.0,5.0,4.0,7.0,5.0,3.0,0.0,0.0,"build wind float"
4.0,1.0,8.0,3.0,6.0,7.0,4.0,0.0,0.0,"build wind float"
4.0,4.0,7.0,3.0,7.0,4.0,1.0,0.0,0.0,"build wind float"
8.0,8.0,9.0,1.0,0.0,0.0,7.0,0.0,0.0,"vehic wind float"
5.0,4.0,4.0,4.0,4.0,6.0,4.0,0.0,0.0,"build wind float"
8.0,0.0,2.0,6.0,5.0,4.0,9.0,0.0,0.0,"containers"
5.0,6.0,9.0,6.0,1.0,4.0,2.0,0.0,8.0,"build wind non-float"
9.0,1.0,0.0,0.0,1.0,1.0,9.0,0.0,0.0,"build wind non-float"
4.0,1.0,6.0,6.0,4.0,4.0,4.0,0.0,8.0,"build wind float"
4.0,3.0,6.0,2.0,6.0,8.0,4.0,0.0,0.0,"build wind float"
8.0,7.0,1.0,4.0,2.0,3.0,9.0,0.0,0.0,"build wind non-float"
2.0,9.0,0.0,8.0,7.0,0.0,5.0,9.0,0.0,"headlamps"
5.0,1.0,4.0,2.0,6.0,7.0,5.0,0.0,9.0,"build wind float"
8.0,3.0,7.0,1.0,2.0,2.0,8.0,0.0,8.0,"build wind float"
7.0,7.0,2.0,2.0,4.0,0.0,8.0,0.0,0.0,"tableware"
0.0,9.0,0.0,9.0,9.0,0.0,3.0,8.0,0.0,"headlamps"
8.0,5.0,8.0,1.0,1.0,2.0,8.0,0.0,7.0,"build wind float"
4.0,9.0,0.0,8.0,6.0,0.0,4.0,9.0,0.0,"headlamps"
8.0,7.0,1.0,7.0,1.0,3.0,8.0,0.0,8.0,"build wind non-float"
1.0,2.0,4.0,5.0,7.0,3.0,2.0,0.0,0.0,"build wind non-float"
6.0,3.0,9.0,2.0,3.0,7.0,3.0,0.0,0.0,"build wind non-float"
4.0,7.0,7.0,4.0,4.0,4.0,1.0,0.0,0.0,"build wind float"
2.0,4.0,7.0,6.0,3.0,8.0,1.0,0.0,9.0,"build wind non-float"
9.0,9.0,2.0,4.0,0.0,3.0,4.0,9.0,0.0,"headlamps"
3.0,9.0,0.0,8.0,7.0,0.0,3.0,9.0,0.0,"headlamps"
2.0,9.0,0.0,8.0,7.0,0.0,2.0,9.0,0.0,"headlamps"
0.0,3.0,0.0,9.0,0.0,10.0,0.0,0.0,0.0,"containers"
3.0,3.0,4.0,8.0,4.0,8.0,2.0,0.0,0.0,"build wind non-float"
4.0,9.0,0.0,9.0,8.0,0.0,6.0,8.0,0.0,"headlamps"
7.0,6.0,4.0,3.0,1.0,6.0,6.0,0.0,0.0,"build wind float"
7.0,1.0,0.0,7.0,9.0,3.0,9.0,0.0,0.0,"containers"
6.0,1.0,3.0,1.0,9.0,3.0,7.0,0.0,8.0,"build wind non-float"
1.0,9.0,0.0,9.0,8.0,0.0,5.0,8.0,0.0,"headlamps"
7.0,7.0,8.0,2.0,2.0,1.0,6.0,0.0,0.0,"build wind float"
2.0,8.0,0.0,8.0,9.0,0.0,4.0,9.0,0.0,"headlamps"
