"X_0","X_1","X_2","X_3","X_4","X_5","X_6","X_7","X_8","X_9","X_10","X_11","target"
6.0,7.0,1.0,8.0,7.0,6.0,1.0,3.0,1.0,8.0,6.0,6.0,2.1530049926934938
6.0,7.0,1.0,3.0,0.0,7.0,2.0,5.0,6.0,1.0,4.0,5.0,-0.6393770115075185
1.0,5.0,7.0,0.0,6.0,9.0,8.0,8.0,5.0,4.0,6.0,6.0,-0.1175132492771999
7.0,5.0,9.0,1.0,0.0,7.0,4.0,7.0,5.0,8.0,2.0,2.0,1.5220194676391021
1.0,2.0,2.0,1.0,8.0,1.0,5.0,8.0,2.0,7.0,8.0,4.0,0.808699906995369
3.0,1.0,1.0,8.0,3.0,3.0,4.0,2.0,8.0,1.0,2.0,4.0,0.5045833596278955
7.0,1.0,6.0,2.0,6.0,4.0,9.0,9.0,3.0,3.0,6.0,2.0,-1.1868405585863315
7.0,0.0,5.0,9.0,0.0,8.0,7.0,8.0,3.0,9.0,7.0,8.0,-0.4153874452864403
1.0,0.0,6.0,4.0,1.0,6.0,5.0,7.0,8.0,2.0,1.0,5.0,0.6034532563222491
8.0,3.0,3.0,0.0,6.0,1.0,9.0,2.0,1.0,4.0,1.0,1.0,1.9479443520256894
1.0,8.0,4.0,8.0,1.0,1.0,4.0,5.0,6.0,2.0,6.0,0.0,-0.17000206815461044
1.0,0.0,1.0,6.0,3.0,2.0,1.0,1.0,4.0,4.0,3.0,3.0,-1.2880904371296042
6.0,3.0,1.0,6.0,0.0,5.0,5.0,6.0,7.0,3.0,1.0,4.0,0.3097436533754286
7.0,9.0,8.0,0.0,8.0,1.0,4.0,1.0,6.0,8.0,1.0,7.0,-0.8682399618850455
5.0,9.0,8.0,1.0,3.0,0.0,5.0,7.0,5.0,1.0,9.0,7.0,-2.215014750902688
3.0,3.0,0.0,8.0,7.0,0.0,4.0,8.0,9.0,0.0,1.0,1.0,-0.9310596825906544
2.0,8.0,4.0,7.0,7.0,3.0,3.0,3.0,9.0,2.0,7.0,2.0,-1.0009583963091324
3.0,3.0,6.0,5.0,3.0,1.0,2.0,1.0,8.0,5.0,7.0,4.0,-1.2315029509172486
2.0,3.0,3.0,8.0,8.0,9.0,8.0,6.0,3.0,4.0,1.0,3.0,-0.9680291662809877
1.0,6.0,0.0,4.0,1.0,4.0,5.0,3.0,5.0,8.0,3.0,8.0,0.5789797587464861
3.0,7.0,9.0,7.0,2.0,6.0,3.0,7.0,7.0,5.0,5.0,8.0,-0.5907246981340702
3.0,6.0,5.0,5.0,8.0,7.0,6.0,8.0,8.0,2.0,0.0,8.0,0.5082807683541661
2.0,6.0,7.0,9.0,1.0,2.0,6.0,3.0,8.0,8.0,1.0,6.0,0.7316682987489278
8.0,8.0,1.0,9.0,7.0,1.0,5.0,1.0,6.0,3.0,9.0,1.0,-0.16037482794714722
7.0,8.0,6.0,3.0,2.0,7.0,5.0,3.0,7.0,8.0,7.0,5.0,-0.28012266306651495
5.0,7.0,4.0,1.0,8.0,7.0,7.0,9.0,9.0,3.0,3.0,4.0,-0.06328285882035757
7.0,5.0,5.0,8.0,5.0,7.0,8.0,6.0,7.0,9.0,1.0,2.0,1.9129319951326746
6.0,7.0,8.0,6.0,7.0,9.0,7.0,6.0,0.0,4.0,8.0,3.0,-1.1170691111589657
4.0,8.0,4.0,6.0,7.0,3.0,8.0,9.0,3.0,1.0,6.0,7.0,-0.045069695152881326
1.0,8.0,6.0,5.0,2.0,8.0,4.0,6.0,1.0,3.0,8.0,4.0,-1.0648104577398145
0.0,8.0,7.0,5.0,5.0,5.0,5.0,8.0,4.0,4.0,6.0,9.0,2.05616075775447
5.0,2.0,6.0,5.0,6.0,2.0,1.0,4.0,8.0,5.0,2.0,0.0,0.32556384113580805
7.0,9.0,3.0,8.0,2.0,9.0,1.0,2.0,5.0,8.0,2.0,0.0,-1.537544617615997
2.0,4.0,2.0,6.0,5.0,9.0,6.0,0.0,0.0,7.0,1.0,5.0,1.7137994331403226
8.0,8.0,7.0,8.0,5.0,5.0,0.0,2.0,6.0,1.0,4.0,4.0,0.7181008360331478
1.0,7.0,8.0,7.0,0.0,0.0,7.0,9.0,0.0,7.0,0.0,5.0,-0.5825845594430015
4.0,7.0,4.0,8.0,2.0,7.0,8.0,3.0,7.0,7.0,1.0,3.0,0.41812510368787204
2.0,4.0,1.0,4.0,1.0,2.0,9.0,0.0,6.0,4.0,6.0,4.0,-0.4502667276432488
2.0,9.0,1.0,4.0,8.0,3.0,4.0,7.0,8.0,5.0,8.0,8.0,-1.8182121471981483
8.0,7.0,3.0,6.0,4.0,1.0,1.0,8.0,1.0,2.0,8.0,5.0,-0.5912118985203648
7.0,0.0,4.0,1.0,5.0,3.0,1.0,8.0,1.0,5.0,2.0,8.0,-0.03341391817267259
7.0,9.0,6.0,7.0,6.0,5.0,6.0,6.0,1.0,2.0,7.0,7.0,1.6278641981941733
1.0,7.0,3.0,6.0,5.0,6.0,5.0,1.0,8.0,7.0,6.0,1.0,-0.9028554542392044
8.0,4.0,1.0,1.0,8.0,2.0,1.0,3.0,8.0,3.0,9.0,5.0,1.0647833704901433
5.0,1.0,9.0,5.0,8.0,1.0,2.0,8.0,8.0,2.0,6.0,5.0,-1.146215619071105
0.0,8.0,2.0,0.0,3.0,7.0,0.0,8.0,8.0,7.0,8.0,2.0,-2.2785482879538685
2.0,1.0,8.0,5.0,6.0,0.0,4.0,5.0,9.0,4.0,8.0,9.0,0.7718324750917677
6.0,4.0,4.0,5.0,8.0,3.0,7.0,9.0,2.0,2.0,2.0,4.0,1.2708830810287528
2.0,0.0,2.0,4.0,8.0,6.0,4.0,8.0,6.0,3.0,2.0,2.0,-1.2569875940508504
8.0,4.0,7.0,8.0,2.0,1.0,3.0,2.0,6.0,6.0,4.0,4.0,1.0893655913602138
6.0,7.0,4.0,7.0,2.0,0.0,8.0,7.0,3.0,2.0,9.0,0.0,-1.0801934723967346
7.0,4.0,6.0,3.0,5.0,1.0,4.0,8.0,2.0,4.0,1.0,4.0,-1.6475552464581613
4.0,1.0,1.0,6.0,8.0,9.0,0.0,0.0,5.0,8.0,1.0,1.0,-0.7100401803751465
8.0,8.0,1.0,3.0,6.0,2.0,5.0,3.0,3.0,2.0,7.0,7.0,-1.4798741304838121
0.0,5.0,1.0,2.0,9.0,3.0,1.0,3.0,2.0,8.0,8.0,2.0,0.37684015241764973
4.0,8.0,5.0,8.0,2.0,4.0,2.0,6.0,5.0,0.0,2.0,2.0,-1.8440447104437885
5.0,2.0,9.0,9.0,3.0,7.0,1.0,0.0,0.0,0.0,7.0,2.0,-1.614179708626982
0.0,6.0,8.0,7.0,1.0,0.0,7.0,3.0,4.0,7.0,8.0,3.0,1.062810528615431
7.0,0.0,2.0,4.0,7.0,6.0,2.0,5.0,4.0,0.0,2.0,1.0,-2.2143361788508535
0.0,4.0,3.0,3.0,8.0,3.0,9.0,7.0,7.0,0.0,2.0,1.0,0.23219258732946418
8.0,4.0,0.0,5.0,1.0,9.0,3.0,1.0,4.0,0.0,1.0,8.0,0.9217942322448598
3.0,8.0,8.0,2.0,0.0,2.0,8.0,1.0,0.0,7.0,7.0,5.0,-0.06670849262636205
2.0,4.0,1.0,4.0,1.0,4.0,4.0,4.0,8.0,2.0,3.0,6.0,-0.9665759126127987
6.0,4.0,7.0,6.0,8.0,1.0,5.0,7.0,0.0,8.0,5.0,8.0,0.654000689626202
2.0,8.0,3.0,5.0,2.0,1.0,3.0,1.0,7.0,3.0,9.0,3.0,1.1091337954732978
1.0,9.0,4.0,1.0,2.0,6.0,4.0,6.0,6.0,2.0,4.0,3.0,0.6421601504024008
5.0,7.0,1.0,6.0,6.0,4.0,0.0,2.0,1.0,7.0,4.0,5.0,0.4416567501315361
0.0,3.0,3.0,9.0,3.0,8.0,1.0,0.0,5.0,1.0,2.0,5.0,-1.2270572094029146
6.0,4.0,5.0,3.0,0.0,0.0,5.0,1.0,7.0,2.0,7.0,0.0,0.7921288355605234
2.0,5.0,4.0,4.0,4.0,9.0,5.0,9.0,2.0,2.0,4.0,9.0,0.18872643125877167
8.0,1.0,5.0,5.0,6.0,6.0,3.0,5.0,5.0,5.0,6.0,1.0,-1.0794925281759222
7.0,6.0,4.0,2.0,6.0,8.0,4.0,9.0,6.0,1.0,4.0,0.0,-0.3151507461166033
6.0,4.0,3.0,8.0,7.0,5.0,9.0,5.0,1.0,2.0,5.0,8.0,0.6302499683308055
7.0,7.0,7.0,6.0,4.0,7.0,2.0,1.0,7.0,9.0,1.0,7.0,0.2156472172992612
2.0,8.0,1.0,8.0,2.0,3.0,0.0,1.0,6.0,5.0,5.0,7.0,-1.7519838552627833
7.0,7.0,2.0,1.0,6.0,5.0,6.0,9.0,1.0,2.0,6.0,1.0,0.37732601829513507
3.0,3.0,7.0,8.0,4.0,7.0,8.0,6.0,0.0,5.0,8.0,1.0,0.3503591691005511
3.0,1.0,3.0,1.0,3.0,7.0,5.0,9.0,5.0,5.0,0.0,2.0,0.6432272277278278
3.0,1.0,6.0,0.0,8.0,7.0,2.0,4.0,1.0,3.0,6.0,3.0,1.032313705866064
3.0,3.0,6.0,7.0,4.0,5.0,2.0,8.0,7.0,3.0,5.0,5.0,-1.1312055530376515
4.0,0.0,3.0,7.0,7.0,8.0,9.0,8.0,1.0,6.0,6.0,8.0,-0.3982527804667953
6.0,1.0,3.0,1.0,7.0,8.0,7.0,8.0,6.0,2.0,4.0,5.0,1.3011684928329605
3.0,8.0,7.0,5.0,4.0,7.0,5.0,3.0,4.0,7.0,8.0,2.0,-2.0594533016694316
3.0,2.0,2.0,5.0,2.0,4.0,2.0,1.0,8.0,2.0,8.0,8.0,0.9899823881594906
4.0,4.0,5.0,6.0,9.0,4.0,5.0,7.0,5.0,0.0,1.0,5.0,1.1745716574803042
2.0,2.0,9.0,6.0,8.0,6.0,7.0,5.0,2.0,1.0,2.0,4.0,-0.47309767774254297
8.0,6.0,7.0,4.0,4.0,3.0,5.0,5.0,3.0,8.0,0.0,7.0,0.5441964557548881
0.0,0.0,2.0,0.0,4.0,7.0,9.0,4.0,8.0,7.0,1.0,2.0,0.16396256881208088
8.0,0.0,5.0,8.0,8.0,3.0,2.0,0.0,1.0,3.0,2.0,7.0,-0.43481975757402724
1.0,8.0,9.0,5.0,8.0,3.0,4.0,8.0,2.0,2.0,3.0,9.0,0.2725899586920043
8.0,7.0,8.0,2.0,4.0,8.0,8.0,2.0,7.0,6.0,2.0,5.0,-0.1591905782681897
0.0,3.0,5.0,2.0,7.0,5.0,0.0,1.0,9.0,9.0,3.0,7.0,0.3542632930922218
1.0,4.0,5.0,6.0,5.0,2.0,8.0,2.0,9.0,6.0,6.0,9.0,-1.3395340741560116
1.0,8.0,5.0,8.0,3.0,5.0,1.0,8.0,5.0,5.0,4.0,6.0,-0.25192685138037024
7.0,9.0,4.0,4.0,1.0,4.0,2.0,1.0,1.0,4.0,8.0,6.0,-1.055437806140362
4.0,6.0,6.0,4.0,4.0,8.0,5.0,5.0,8.0,1.0,2.0,7.0,1.3719334764197357
6.0,1.0,7.0,1.0,5.0,4.0,5.0,6.0,0.0,0.0,6.0,3.0,-1.6107527303683031
4.0,2.0,2.0,3.0,1.0,3.0,3.0,0.0,9.0,1.0,2.0,8.0,-0.03718858528093357
0.0,6.0,2.0,6.0,5.0,4.0,7.0,6.0,8.0,4.0,5.0,3.0,-0.3266846825670227
6.0,6.0,3.0,3.0,2.0,6.0,7.0,0.0,6.0,3.0,0.0,4.0,0.3324592587200586
2.0,6.0,6.0,8.0,4.0,7.0,2.0,6.0,1.0,0.0,8.0,3.0,-1.6148389629172917
8.0,3.0,7.0,8.0,8.0,8.0,8.0,2.0,1.0,5.0,9.0,9.0,-1.8354792688121888
9.0,8.0,8.0,5.0,5.0,6.0,1.0,2.0,6.0,7.0,1.0,0.0,1.3416359004394165
6.0,3.0,1.0,3.0,7.0,1.0,5.0,1.0,3.0,1.0,3.0,1.0,0.6531524285201973
6.0,3.0,7.0,1.0,1.0,7.0,2.0,4.0,8.0,5.0,2.0,1.0,-0.3106719562785464
3.0,3.0,2.0,6.0,6.0,7.0,7.0,2.0,5.0,7.0,2.0,8.0,0.9605580052211969
2.0,8.0,8.0,9.0,8.0,6.0,7.0,1.0,1.0,9.0,2.0,5.0,-0.03264582678453306
4.0,8.0,5.0,3.0,8.0,8.0,8.0,5.0,1.0,5.0,0.0,4.0,0.1588841938328816
6.0,7.0,4.0,9.0,8.0,2.0,2.0,2.0,0.0,4.0,1.0,6.0,0.35231006576001317
6.0,8.0,0.0,4.0,9.0,5.0,8.0,8.0,8.0,6.0,0.0,1.0,-0.18941432056840893
4.0,1.0,9.0,3.0,2.0,7.0,3.0,0.0,1.0,1.0,9.0,1.0,0.25906549058779116
6.0,0.0,5.0,9.0,2.0,4.0,1.0,4.0,3.0,2.0,8.0,8.0,1.1797123894788568
3.0,4.0,9.0,5.0,5.0,1.0,9.0,5.0,7.0,9.0,8.0,6.0,-0.6705468742054368
6.0,8.0,7.0,3.0,0.0,8.0,4.0,1.0,6.0,8.0,0.0,1.0,0.6937073402734685
7.0,6.0,4.0,6.0,5.0,2.0,0.0,3.0,0.0,3.0,7.0,6.0,1.0033467419760773
4.0,4.0,3.0,4.0,3.0,5.0,0.0,3.0,2.0,0.0,4.0,2.0,2.103731987303596
2.0,6.0,2.0,3.0,4.0,4.0,7.0,2.0,7.0,3.0,3.0,3.0,1.9097324749357978
1.0,4.0,7.0,3.0,6.0,1.0,9.0,6.0,7.0,4.0,1.0,4.0,2.561447530632222
6.0,9.0,7.0,9.0,2.0,7.0,7.0,6.0,7.0,3.0,9.0,9.0,-0.6535807608850925
3.0,1.0,4.0,8.0,7.0,1.0,9.0,6.0,6.0,7.0,7.0,4.0,-1.6334125292889747
3.0,1.0,3.0,3.0,3.0,8.0,5.0,8.0,7.0,2.0,0.0,1.0,0.2587211754250776
8.0,8.0,1.0,7.0,9.0,1.0,5.0,5.0,8.0,7.0,8.0,7.0,-1.4088415074383802
2.0,9.0,5.0,8.0,5.0,9.0,1.0,1.0,1.0,1.0,2.0,6.0,0.9166289155328678
7.0,9.0,2.0,5.0,4.0,7.0,5.0,3.0,6.0,1.0,0.0,3.0,0.4130141820400355
6.0,8.0,9.0,9.0,5.0,9.0,5.0,8.0,6.0,6.0,3.0,6.0,-0.5027974961731344
5.0,9.0,7.0,0.0,3.0,1.0,6.0,6.0,1.0,7.0,5.0,8.0,-3.209300982130261
5.0,5.0,8.0,0.0,3.0,4.0,2.0,7.0,2.0,1.0,6.0,6.0,-0.18520970224804978
