"model","cyl","disp","hp","drat","wt","qsec","vs","am","gear","carb","target"
"Mazda RX4",4,4,3,6,2,1,0,10,6,7,21.0
"Mazda RX4 Wag",4,4,3,6,3,3,0,10,6,7,21.0
"Datsun 710",0,1,2,6,1,6,10,10,6,0,22.8
"Hornet 4 Drive",4,5,3,2,4,8,10,0,0,0,21.4
"Hornet Sportabout",10,8,6,3,5,3,0,0,0,3,18.7
"Valiant",4,5,3,0,5,8,10,0,0,0,18.1
"Duster 360",10,8,8,3,7,1,0,0,0,7,14.3
"Merc 240D",0,3,0,5,4,8,10,0,6,3,24.4
"Merc 230",0,3,2,7,4,10,10,0,6,3,22.8
"Merc 280",4,4,4,7,5,6,10,0,6,7,19.2
"Merc 280C",4,4,4,7,5,7,10,0,6,7,17.8
"Merc 450SE",10,6,7,2,8,4,0,0,0,5,16.4
"Merc 450SL",10,6,7,2,7,4,0,0,0,5,17.3
"Merc 450SLC",10,6,7,2,7,5,0,0,0,5,15.2
"Cadillac Fleetwood",10,10,8,0,9,5,0,0,0,7,10.4
"Lincoln Continental",10,9,8,0,10,5,0,0,0,7,10.4
"Chrysler Imperial",10,9,8,3,9,4,0,0,0,7,14.7
"Fiat 128",0,0,1,8,1,8,10,10,6,0,32.4
"Honda Civic",0,0,0,10,0,6,10,10,6,3,30.4
"Toyota Corolla",0,0,1,8,0,8,10,10,6,0,33.9
"Toyota Corona",0,2,2,5,2,8,10,0,0,0,21.5
"Dodge Challenger",10,7,5,0,6,2,0,0,0,3,15.5
"AMC Javelin",10,6,5,3,5,4,0,0,0,3,15.2
"Camaro Z28",10,7,8,5,8,0,0,0,0,7,13.3
"Pontiac Firebird",10,9,6,2,8,3,0,0,0,3,19.2
"Fiat X1-9",0,0,1,8,0,7,10,10,6,0,27.3
"Porsche 914-2",0,2,2,9,1,2,0,10,10,3,26.0
"Lotus Europa",0,1,4,5,0,2,10,10,10,3,30.4
"Ford Pantera L",10,7,9,8,4,0,0,10,10,7,15.8
"Ferrari Dino",4,3,6,4,3,0,0,10,10,9,19.7
"Maserati Bora",10,6,10,4,7,0,0,10,10,10,15.0
"Volvo 142E",0,2,3,8,3,6,10,10,6,3,21.4
