"X_0","X_1","X_2","X_3","X_4","X_5","X_6","X_7","X_8","X_9","X_10","X_11","X_12","X_13","X_14","X_15","X_16","X_17","X_18","X_19","X_20","X_21","X_22","X_23","h","d","m","purchase_date","return_date","target"
-0.1,1.71,-0.07,-1.26,0.74,-2.31,0.33,-1.13,0.12,-1.47,-0.23,0.65,0.35,0.47,0.86,-0.8,0.2,0.53,-1.56,-0.55,-0.24,1.07,-1.3,0.9,"h_10","d_10","m_19","2001-12-06","2003-07-16 10:00:00",39
-0.69,1.41,0.08,1.95,-1.33,-0.59,-1.08,2.66,-0.46,0.19,0.78,1.94,0.99,0.66,1.04,0.16,2.54,0.69,-0.5,-0.04,1.3,0.97,0.96,0.54,"h_9","d_6","m_25","2001-12-07","2004-01-13 09:00:00",40
-0.59,-0.11,0.12,0.82,-0.95,-0.13,0.41,-1.77,1.2,-0.1,0.89,-1.32,-0.56,-0.95,-0.68,0.79,-0.86,-0.96,-0.13,-0.32,0.31,-0.08,0.53,1.29,"h_4","d_8","m_29","2001-12-08","2004-05-16 04:00:00",41
0.08,1.29,-0.3,1.37,-0.58,-0.96,0.27,-1.05,0.28,-0.51,0.5,-2.26,0.27,-0.58,0.02,-2.0,-0.21,-0.29,0.96,-1.17,-0.16,-1.3,0.26,0.01,"h_6","d_7","m_18","2001-12-09","2003-06-16 06:00:00",31
-0.56,0.58,0.66,-0.78,0.65,-1.5,0.65,0.48,-0.2,0.12,-0.32,-0.03,-1.23,0.42,-0.42,-0.37,1.96,2.21,-1.2,-2.07,2.1,0.25,-0.11,-1.29,"h_9","d_8","m_25","2001-12-10","2004-01-18 09:00:00",42
-1.19,0.28,1.34,0.5,0.65,1.08,0.31,0.84,-1.22,1.05,-0.66,0.09,-0.56,2.41,-0.12,0.97,0.1,-0.42,1.31,0.62,-0.06,-0.55,-0.86,-0.45,"h_6","d_9","m_13","2001-12-11","2003-01-20 06:00:00",28
0.2,-0.53,1.62,0.27,0.77,1.33,1.47,-1.41,0.55,-0.49,0.23,-1.06,-1.01,0.8,-1.68,0.41,-1.55,0.25,1.27,0.33,-0.51,-0.39,-0.24,0.87,"h_4","d_6","m_19","2001-12-12","2003-07-18 04:00:00",29
-0.97,-0.11,0.54,-0.46,0.81,-0.87,-1.7,0.21,0.66,0.29,-0.75,0.78,-1.93,0.89,-1.05,-0.41,0.02,-0.65,-1.56,-1.2,2.01,0.21,0.41,-0.74,"h_2","d_6","m_20","2001-12-13","2003-08-19 02:00:00",28
-0.92,0.63,0.76,-0.42,-0.07,-1.37,0.12,-1.41,-0.55,-1.04,0.0,0.8,1.14,0.95,0.45,-1.28,0.27,0.49,-1.14,-0.33,0.56,-0.59,0.6,0.43,"h_5","d_6","m_15","2001-12-14","2003-03-20 05:00:00",26
0.36,-0.53,-1.41,0.25,0.28,-0.19,0.54,0.24,-0.88,0.49,1.11,-0.52,-0.43,0.49,-1.54,-0.26,0.22,-0.06,0.79,-0.04,-1.14,-0.14,1.95,0.59,"h_5","d_7","m_11","2001-12-15","2002-11-22 05:00:00",23
-1.22,-1.3,0.57,-1.69,0.1,0.41,-0.37,-0.07,2.17,-0.47,2.4,-0.51,-0.98,-1.38,0.47,-1.15,-0.81,-0.55,-1.98,-0.05,-1.66,0.75,0.25,1.19,"h_5","d_11","m_0","2001-12-16","2001-12-27 05:00:00",16
