"longitude","latitude","housing_median_age","total_rooms","total_bedrooms","population","households","median_income","ocean_proximity","target"
-121.91,36.63,42.0,817.0,194.0,391.0,193.0,2.1776,0.0,279200
-121.43,38.66,35.0,1814.0,367.0,1076.0,372.0,2.7179,0.0,81100
-121.58,39.5,29.0,1947.0,383.0,925.0,337.0,2.1658,0.0,57600
-120.24,39.35,8.0,4195.0,725.0,291.0,115.0,3.4792,0.0,180800
-122.02,38.37,16.0,2495.0,331.0,1118.0,338.0,6.4894,0.0,198000
-122.01,37.18,37.0,3852.0,652.0,1534.0,567.0,5.8596,0.0,318700
-117.7,33.5,4.0,2351.0,445.0,834.0,397.0,5.5677,0.0,245400
-117.41,33.96,27.0,2341.0,418.0,1272.0,415.0,3.0208,0.0,112700
-122.45,37.67,36.0,1664.0,326.0,963.0,322.0,4.7813,0.0,246400
-122.73,38.44,35.0,1120.0,297.0,659.0,274.0,2.3824,0.0,145000
-121.92,37.48,23.0,4314.0,676.0,1972.0,623.0,5.3813,0.0,264400
-122.44,37.78,52.0,1118.0,279.0,514.0,284.0,2.4196,0.0,346200
-118.29,33.93,32.0,1815.0,488.0,1715.0,475.0,1.7244,0.0,111200
-121.79,38.0,34.0,3090.0,593.0,1588.0,566.0,3.6118,0.0,124700
-116.96,33.73,20.0,4735.0,973.0,2306.0,904.0,3.069,0.0,87000
-121.31,38.26,22.0,1768.0,396.0,1005.0,420.0,1.8846,0.0,88300
-118.11,33.97,33.0,2125.0,500.0,1672.0,476.0,3.6397,0.0,166600
-118.28,34.04,19.0,460.0,241.0,890.0,229.0,1.6089,0.0,162500
-122.04,37.53,25.0,4458.0,922.0,2998.0,890.0,3.9667,0.0,218500
-121.77,36.71,18.0,6601.0,1395.0,3562.0,1299.0,3.512,0.0,174800
-117.23,33.38,18.0,3339.0,704.0,1727.0,652.0,2.8393,0.0,173200
-122.12,38.01,50.0,1738.0,355.0,837.0,363.0,3.609,0.0,135700
-122.2,37.82,37.0,1229.0,181.0,420.0,176.0,7.0175,0.0,366700
-118.42,34.04,46.0,1508.0,276.0,639.0,273.0,4.925,0.0,409800
-117.71,33.64,14.0,2945.0,356.0,1293.0,335.0,8.111,0.0,308900
-118.12,33.94,33.0,2206.0,393.0,973.0,364.0,4.675,0.0,283000
-118.36,34.03,43.0,1690.0,379.0,1017.0,359.0,2.1078,0.0,133500
-118.34,33.89,36.0,2392.0,444.0,1346.0,445.0,6.0088,0.0,245900
-121.43,38.62,36.0,1765.0,438.0,1008.0,382.0,2.0639,0.0,73000
-121.94,38.36,2.0,4953.0,735.0,1791.0,562.0,5.0346,0.0,205100
-119.99,36.8,45.0,1270.0,242.0,598.0,214.0,3.2813,0.0,105400
-117.32,33.8,11.0,3196.0,576.0,1757.0,552.0,4.0982,0.0,173300
-117.43,34.1,34.0,1345.0,265.0,834.0,290.0,3.7011,0.0,99500
-121.43,37.73,40.0,1718.0,391.0,1312.0,388.0,2.9955,0.0,134700
-116.97,32.65,4.0,16450.0,2833.0,7985.0,2683.0,5.6631,0.0,233400
-121.48,38.55,52.0,1684.0,309.0,675.0,296.0,4.1467,0.0,175000
-122.19,37.83,28.0,1326.0,184.0,463.0,190.0,8.2049,0.0,335200
-116.98,33.94,27.0,3459.0,640.0,1760.0,654.0,3.4545,0.0,89800
-118.17,33.96,25.0,3297.0,1066.0,5027.0,1041.0,2.2817,0.0,164200
-118.2,33.79,47.0,767.0,195.0,569.0,195.0,2.9514,0.0,185200
-122.05,37.9,24.0,4125.0,1020.0,1699.0,873.0,2.9526,0.0,271000
-117.11,32.73,34.0,1096.0,221.0,574.0,223.0,3.8355,0.0,126700
-122.6,38.93,16.0,1657.0,390.0,572.0,301.0,1.4767,0.0,62000
-117.72,33.43,5.0,1889.0,359.0,616.0,246.0,3.8992,0.0,500001
-118.95,34.18,25.0,2237.0,331.0,1121.0,365.0,6.0994,0.0,254900
-117.17,32.74,38.0,5054.0,1168.0,2366.0,1103.0,2.9422,0.0,289400
-117.99,33.68,13.0,4000.0,883.0,1999.0,881.0,4.7245,0.0,273600
-116.21,33.71,19.0,3114.0,787.0,3157.0,772.0,1.7083,0.0,82200
-122.22,37.84,50.0,2935.0,473.0,1031.0,479.0,7.5,0.0,295200
-117.4,34.09,5.0,6190.0,993.0,3615.0,963.0,4.4034,0.0,133200
-118.32,33.9,35.0,3189.0,680.0,1882.0,651.0,3.6625,0.0,188000
-117.39,34.07,26.0,1387.0,277.0,664.0,239.0,3.0278,0.0,96800
-121.44,38.52,36.0,3446.0,950.0,2460.0,847.0,1.6521,0.0,69700
-118.39,33.88,31.0,1448.0,244.0,607.0,259.0,8.1513,0.0,500001
-121.37,38.57,16.0,3895.0,896.0,1762.0,855.0,2.6635,0.0,135800
-116.48,33.96,11.0,1381.0,300.0,644.0,248.0,2.3382,0.0,89400
-117.25,32.73,38.0,1840.0,291.0,633.0,283.0,4.9125,0.0,383600
-117.05,32.8,16.0,1561.0,378.0,574.0,350.0,3.0035,0.0,94600
-118.36,33.88,26.0,1375.0,286.0,829.0,278.0,3.9844,0.0,230700
-118.21,34.1,36.0,2000.0,533.0,1234.0,535.0,3.7437,0.0,241700
-117.14,32.7,43.0,1126.0,289.0,1132.0,294.0,2.1875,0.0,87000
-117.94,33.89,30.0,2577.0,404.0,1076.0,374.0,6.7528,0.0,459600
-118.42,33.96,44.0,1282.0,216.0,494.0,209.0,5.618,0.0,365900
-117.95,34.04,27.0,2610.0,846.0,2296.0,750.0,2.274,0.0,150800
-122.39,37.72,45.0,2893.0,570.0,1923.0,535.0,3.6607,0.0,192300
-118.54,34.19,33.0,2205.0,453.0,1242.0,419.0,4.1319,0.0,203700
-119.29,36.55,21.0,2467.0,520.0,1721.0,515.0,2.5521,0.0,65600
-120.89,37.52,42.0,1200.0,221.0,647.0,192.0,2.5402,0.0,157500
-122.21,37.43,23.0,5741.0,1012.0,1843.0,888.0,5.7211,0.0,500001
-118.37,33.84,27.0,3245.0,605.0,1572.0,556.0,5.3773,0.0,379000
-122.34,37.97,19.0,2237.0,580.0,1438.0,551.0,2.3382,0.0,120700
-117.28,33.92,35.0,3623.0,841.0,2721.0,766.0,2.1574,0.0,86900
-119.26,34.27,42.0,918.0,204.0,394.0,204.0,4.0069,0.0,214300
-121.93,36.62,34.0,2351.0,0.0,1063.0,428.0,3.725,0.0,278000
-118.37,33.85,29.0,3662.0,586.0,1626.0,611.0,6.3974,0.0,410000
-119.91,37.23,17.0,2171.0,389.0,1042.0,375.0,3.625,0.0,94400
-118.15,33.86,32.0,2630.0,559.0,1069.0,491.0,2.4659,0.0,209000
-121.92,37.72,22.0,4638.0,716.0,2302.0,687.0,5.347,0.0,219500
-116.05,33.33,17.0,290.0,94.0,135.0,57.0,1.7292,0.0,81300
-118.8,34.15,9.0,1143.0,179.0,647.0,180.0,6.8474,0.0,356700
-118.02,33.95,36.0,1705.0,299.0,871.0,296.0,4.6184,0.0,179800
-121.11,38.04,32.0,1083.0,188.0,471.0,178.0,2.9241,0.0,187500
-122.54,37.94,26.0,3990.0,804.0,1550.0,792.0,5.1834,0.0,405500
-117.68,34.05,25.0,1859.0,463.0,1070.0,374.0,2.5395,0.0,187500
-118.33,34.02,45.0,1667.0,399.0,928.0,375.0,1.8783,0.0,118200
-121.3,38.72,15.0,2514.0,482.0,1166.0,503.0,2.2813,0.0,131900
-117.18,32.78,21.0,4185.0,1018.0,3122.0,993.0,3.0481,0.0,210000
-121.59,39.78,16.0,2754.0,570.0,1063.0,543.0,1.4048,0.0,86500
-118.39,33.85,17.0,1610.0,379.0,670.0,341.0,4.3594,0.0,349000
-121.77,36.87,37.0,424.0,65.0,266.0,64.0,3.3472,0.0,293800
-118.22,34.04,43.0,798.0,308.0,1417.0,325.0,1.4189,0.0,141700
-117.53,34.02,19.0,256.0,34.0,101.0,28.0,5.3269,0.0,375000
-120.02,38.91,22.0,2138.0,493.0,829.0,330.0,2.2056,0.0,107200
-117.61,33.45,6.0,950.0,184.0,426.0,186.0,4.7237,0.0,220700
-121.3,38.68,19.0,2655.0,438.0,1253.0,454.0,5.2817,0.0,140600
-117.09,32.57,23.0,1817.0,323.0,1371.0,327.0,3.6736,0.0,139500
-121.54,40.06,17.0,858.0,262.0,47.0,27.0,2.4028,0.0,67500
-122.5,37.75,44.0,1739.0,343.0,872.0,330.0,2.9632,0.0,286300
-117.31,34.14,44.0,1487.0,273.0,972.0,281.0,3.2292,0.0,86100
-122.91,39.03,14.0,2374.0,557.0,723.0,427.0,1.3532,0.0,95800
-118.05,33.98,41.0,1406.0,428.0,1174.0,390.0,2.0147,0.0,137500
-118.12,33.76,45.0,3035.0,516.0,1127.0,527.0,7.0796,0.0,500001
-118.4,33.87,38.0,2398.0,431.0,911.0,392.0,5.2319,0.0,500001
-117.98,33.7,16.0,5127.0,631.0,2142.0,596.0,7.8195,0.0,390500
