"X_0","X_1","X_2","X_3","X_4","X_5","X_6","X_7","X_8","X_9","X_10","X_11","X_12","X_13","X_14","X_15","X_16","X_17","X_18","X_19","X_20","X_21","X_22","X_23","h","d","m","purchase_date","return_date","target"
0.38,-1.55,1.52,-0.59,1.02,-0.4,-0.57,-0.25,-0.7,0.58,-0.78,0.23,1.49,0.52,0.41,0.4,-0.65,0.39,-1.55,1.41,0.6,1.06,-2.18,0.96,"h_4","d_10","m_10","2002-01-29","2002-12-09 04:00:00",24
-0.64,-0.58,1.3,1.12,0.12,0.76,-0.28,-1.87,-0.17,-1.04,-1.62,-1.38,1.53,0.75,1.23,0.03,-0.45,-0.96,-0.34,1.47,-0.76,-1.7,0.43,-1.8,"h_5","d_11","m_16","2017-05-14","2018-09-25 05:00:00",32
-1.65,0.59,-0.62,-1.85,-1.1,2.13,-1.56,-0.41,-0.62,-0.15,-0.54,-0.48,-0.51,-0.79,0.35,1.58,-0.39,0.28,-0.63,1.33,-0.33,-2.57,0.07,0.31,"h_0","d_11","m_14","2008-03-29","2009-06-09 00:00:00",25
-0.3,3.24,0.14,0.19,1.44,0.0,1.42,0.47,0.33,-1.3,0.11,-0.3,1.22,-1.38,0.18,1.31,-1.31,-0.7,-0.58,-0.34,-0.37,-0.81,-1.8,-0.55,"h_1","d_6","m_4","2003-06-10","2003-10-16 01:00:00",11
1.73,0.24,-0.15,-1.02,0.72,-0.14,-0.55,-0.88,0.29,0.22,0.51,-0.88,1.0,-0.73,-0.54,0.32,1.53,-2.35,0.02,-0.17,-0.08,0.84,1.08,0.43,"h_8","d_11","m_0","2016-04-30","2016-05-11 08:00:00",19
-0.58,-0.46,-0.44,-1.99,-0.31,0.85,-0.86,0.92,-0.84,2.08,-0.06,1.75,-0.1,-2.79,-0.54,-0.42,-0.29,-0.56,0.61,-1.84,-1.48,-0.17,-0.28,0.58,"h_7","d_10","m_28","2018-06-21","2020-10-31 07:00:00",45
-0.61,0.46,0.32,-0.93,1.87,1.04,-0.75,1.11,0.45,0.63,-1.2,-0.43,0.26,0.15,1.37,-1.48,-0.89,0.48,0.6,0.08,0.06,1.01,-1.55,1.05,"h_3","d_11","m_6","2020-08-31","2021-03-11 03:00:00",20
1.21,-1.32,-0.09,-0.31,0.5,-1.82,-1.89,0.93,1.31,0.23,0.79,-1.48,-0.82,0.85,-0.92,2.42,1.0,0.98,-0.76,-1.3,-0.49,-0.39,1.14,-0.41,"h_11","d_10","m_25","2016-09-06","2018-10-16 11:00:00",46
1.24,1.73,1.63,-0.2,-0.96,-1.11,0.25,-0.68,0.37,-2.22,0.16,1.0,0.88,0.18,0.39,0.33,0.22,-0.71,1.69,1.05,0.07,-0.85,-1.19,0.12,"h_5","d_11","m_20","2007-11-25","2009-08-05 05:00:00",36
0.88,-0.13,-0.08,0.18,-1.57,-0.63,-0.19,-0.17,0.49,-1.38,-0.93,-1.65,-1.46,-0.5,0.1,0.82,-0.8,-1.04,-0.01,0.29,0.43,-1.49,-1.38,-1.45,"h_1","d_8","m_15","2021-06-30","2022-10-08 01:00:00",24
1.63,-0.24,-2.15,0.74,-0.1,-0.22,-0.84,0.65,1.27,0.59,-0.68,2.11,0.01,1.0,2.05,-0.87,-0.78,-0.03,-0.48,-0.15,-0.33,0.51,1.1,0.49,"h_1","d_8","m_9","2014-02-23","2014-12-01 01:00:00",18
-0.19,0.12,-0.21,-0.53,2.25,-1.58,1.48,-0.6,-0.13,0.05,-1.72,-0.71,-0.24,-0.43,-0.65,-1.62,0.56,1.16,0.57,-0.94,1.97,1.92,-0.85,0.63,"h_5","d_7","m_16","2009-12-12","2011-04-19 05:00:00",28
1.52,0.34,1.3,-0.77,1.2,0.63,-1.15,0.99,0.0,-2.43,-0.38,0.35,1.86,0.05,1.37,-0.31,-1.33,-0.84,-0.18,1.28,1.54,0.4,-0.88,0.76,"h_2","d_10","m_20","2008-05-13","2010-01-23 02:00:00",32
0.53,0.18,1.03,0.01,0.63,-1.25,-0.21,-0.76,0.84,1.4,0.32,-0.98,-0.15,0.94,1.0,0.18,-0.97,0.43,-0.14,0.7,2.22,0.04,0.55,-0.52,"h_11","d_10","m_25","2008-02-08","2010-03-18 11:00:00",46
-0.31,-1.02,-0.75,1.3,1.2,-0.16,0.7,0.5,0.22,-1.32,-0.8,0.04,-0.13,-0.23,-1.26,-0.6,-0.65,-1.41,-0.82,0.29,0.56,0.92,-0.29,0.22,"h_2","d_7","m_18","2014-06-29","2016-01-05 02:00:00",27
1.25,1.3,-2.34,-0.27,1.31,-0.45,0.25,2.31,0.96,-0.18,0.51,-0.46,-0.7,0.3,-1.36,-0.12,0.92,-0.46,0.0,-1.44,-0.47,-0.82,-0.07,0.17,"h_3","d_11","m_9","2016-07-27","2017-05-08 03:00:00",23
0.45,-1.19,0.12,1.31,0.98,-0.14,-0.68,0.02,0.71,1.64,0.63,-0.47,0.19,-0.86,-1.2,0.69,-0.86,-0.02,0.39,0.49,-1.27,0.33,-0.39,-0.31,"h_1","d_8","m_28","2010-07-23","2012-12-01 01:00:00",37
-1.65,-0.04,-1.36,1.3,1.86,-0.85,0.43,0.51,-0.46,-1.36,-1.68,-1.25,-0.9,2.28,-0.0,0.55,-0.42,1.9,-1.29,-0.16,-1.36,-0.54,1.3,-0.86,"h_3","d_11","m_3","2005-08-21","2005-12-02 03:00:00",17
-1.29,-0.39,1.73,0.1,0.27,-1.0,-0.09,-1.88,0.22,0.1,-0.62,-1.65,0.43,-0.21,-0.36,-1.05,-0.37,0.95,-1.58,-0.76,-1.71,0.98,-0.54,-0.03,"h_6","d_10","m_29","2022-12-07","2025-05-17 06:00:00",45
1.29,-0.55,-0.86,0.35,-1.06,-2.24,0.34,-1.07,-0.55,0.13,-1.01,-1.9,-0.24,0.05,0.17,0.22,0.1,-0.98,0.12,0.63,0.4,0.84,0.4,-0.27,"h_8","d_7","m_6","2019-01-03","2019-07-10 08:00:00",21
-1.56,0.37,0.22,-1.03,-0.57,0.43,-0.79,1.04,0.31,0.64,1.48,-1.67,0.74,0.6,-0.03,-0.95,-0.79,2.08,-1.8,-0.73,-0.09,0.03,0.03,-0.35,"h_0","d_11","m_5","2011-05-16","2011-10-27 00:00:00",16
0.04,-1.83,-0.53,-0.23,0.52,1.01,-1.07,-0.01,-0.17,0.75,0.4,1.96,0.85,-0.02,-0.41,-1.04,-1.06,0.83,1.55,0.17,-0.3,-0.56,-0.87,1.33,"h_6","d_6","m_15","2008-06-22","2009-09-28 06:00:00",27
0.07,-0.49,-1.16,-0.14,-1.78,-0.23,0.37,1.12,0.57,-0.43,-0.12,-0.41,1.86,0.21,0.66,-0.74,0.45,-0.1,-0.12,0.33,-0.25,0.2,1.52,-0.34,"h_8","d_10","m_23","2023-02-23","2025-02-02 08:00:00",41
-0.39,-3.15,1.7,-0.12,1.55,-0.02,1.29,-0.82,-2.07,-0.25,-1.47,-1.14,-0.81,0.33,-1.21,-1.11,1.06,-0.29,-0.31,0.25,1.65,0.74,1.08,0.01,"h_1","d_6","m_18","2016-05-07","2017-11-13 01:00:00",25
0.69,-1.38,1.45,-1.81,1.75,0.36,-0.86,1.06,-0.41,-0.52,-0.67,0.23,-1.43,1.93,0.32,-0.32,-0.04,-0.01,-0.44,0.29,0.64,1.25,0.49,-0.65,"h_8","d_10","m_24","2019-03-24","2021-04-03 08:00:00",42
-0.19,-0.74,-0.46,-1.12,0.81,0.23,0.93,0.25,0.23,1.01,0.14,0.26,0.12,0.87,0.39,0.94,0.95,-1.14,-0.53,1.39,0.55,-0.14,-0.07,-2.09,"h_7","d_8","m_10","2011-10-02","2012-08-10 07:00:00",25
0.25,0.87,-1.49,0.45,-1.03,0.71,-0.67,-0.19,0.55,-1.96,0.8,-0.08,0.82,-0.04,-0.97,-0.79,-0.92,1.31,-0.74,-0.71,0.47,0.18,-2.24,-1.63,"h_2","d_7","m_12","2006-12-06","2007-12-13 02:00:00",21
0.89,0.35,-1.49,0.79,-0.28,-0.25,-0.2,-1.8,0.88,1.59,1.3,0.46,2.04,1.07,1.08,-0.18,-0.47,-1.09,0.41,-0.23,0.22,-1.3,-1.01,1.48,"h_1","d_7","m_1","2022-08-01","2022-09-08 01:00:00",9
0.37,1.01,-0.47,-0.04,0.43,1.67,-1.04,-0.18,0.3,0.13,0.52,0.44,0.57,1.65,-1.25,-1.44,0.36,-1.18,-0.27,0.82,0.26,-0.38,0.35,0.47,"h_1","d_10","m_5","2010-09-18","2011-02-28 01:00:00",16
1.83,-0.38,-0.2,-0.69,0.54,-1.15,-1.47,1.52,0.3,0.99,-1.66,-0.36,-0.04,-0.7,0.32,0.23,0.13,1.43,0.76,1.07,-0.44,1.37,-0.75,-1.04,"h_6","d_6","m_27","2019-03-29","2021-07-05 06:00:00",39
-0.43,-1.47,-1.01,0.32,1.45,0.24,-0.46,1.06,-0.91,-1.38,0.63,0.45,0.43,0.73,1.92,-1.25,-0.41,0.61,-0.47,-0.2,-0.18,-1.22,-1.54,-0.57,"h_8","d_10","m_29","2013-04-10","2015-09-20 08:00:00",47
0.41,0.3,-0.7,-0.97,-0.82,1.61,-1.17,-0.4,-1.14,0.81,1.14,-1.04,-1.95,0.89,1.31,0.68,0.11,0.31,0.76,0.36,-1.63,1.56,-0.23,-1.4,"h_8","d_8","m_27","2003-04-12","2005-07-20 08:00:00",43
-0.52,0.33,0.28,1.93,0.81,1.62,-0.68,1.08,0.39,0.1,-0.01,0.05,-0.13,0.5,-0.82,1.04,1.29,1.22,-0.91,-0.38,-1.12,-0.54,-0.04,0.51,"h_10","d_8","m_10","2008-11-30","2009-10-08 10:00:00",28
-1.81,0.43,0.59,-0.3,-1.05,-1.43,-0.23,0.13,-0.18,-1.09,0.52,0.09,-0.63,0.19,-0.31,-0.42,1.46,-2.32,0.62,-0.57,-0.49,-1.85,-0.19,0.51,"h_6","d_10","m_24","2016-05-05","2018-05-15 06:00:00",40
-1.27,0.27,0.86,-2.81,-0.49,-0.29,-0.66,0.0,-3.01,-0.66,-1.03,1.33,0.34,0.87,-0.16,-1.12,-1.05,-2.21,1.41,-0.24,1.04,0.36,0.78,0.62,"h_1","d_11","m_14","2004-07-02","2005-09-13 01:00:00",26
1.07,-0.51,2.06,0.52,0.65,-1.17,-0.86,-0.96,-0.32,1.31,-0.53,0.05,0.85,1.77,-0.09,1.36,-0.23,-0.91,-0.15,-1.12,1.58,0.49,0.65,1.39,"h_8","d_10","m_20","2019-08-05","2021-04-15 08:00:00",38
-1.96,-1.3,0.03,0.63,-0.94,0.83,-0.27,2.14,0.14,-0.01,0.48,-1.73,0.19,1.18,-1.74,-0.6,-0.77,-2.84,1.31,-0.39,-0.27,-1.61,0.2,-0.04,"h_11","d_8","m_16","2002-06-29","2003-11-06 11:00:00",35
-0.26,-1.79,0.93,-0.02,-1.14,0.44,1.12,-0.51,1.48,0.76,0.31,0.89,0.78,0.68,-1.07,0.39,-0.65,-0.04,0.96,0.84,-0.64,0.87,0.59,1.79,"h_5","d_8","m_19","2002-01-14","2003-08-22 05:00:00",32
-1.29,0.37,-1.39,0.01,0.82,0.9,-1.28,0.34,-0.22,0.26,1.66,0.39,-1.61,2.04,0.71,0.21,0.9,0.45,0.86,1.34,0.88,0.93,-0.26,0.84,"h_0","d_10","m_8","2017-08-11","2018-04-21 00:00:00",18
2.16,-0.68,0.29,0.23,0.4,0.33,-0.34,0.3,-0.95,-0.65,0.12,-0.85,-0.1,0.42,1.73,-0.55,2.53,-0.85,0.84,1.46,-0.49,-0.15,0.09,1.65,"h_7","d_9","m_20","2020-11-17","2022-07-26 07:00:00",36
1.65,-1.99,-0.99,1.63,1.07,0.16,1.14,-0.96,-0.37,1.84,0.63,-0.1,-0.62,-0.47,1.1,0.32,0.8,-1.65,0.05,-1.49,-0.58,-0.04,1.25,-1.34,"h_3","d_8","m_7","2018-12-10","2019-07-18 03:00:00",18
-0.07,-0.33,1.68,1.24,1.33,1.64,0.66,0.29,-1.69,-0.55,-1.82,0.98,-1.32,-0.43,0.22,-0.17,0.57,0.94,0.23,-1.49,-0.42,0.68,1.33,-0.29,"h_2","d_11","m_20","2020-06-05","2022-02-16 02:00:00",33
0.19,0.71,-0.68,0.4,0.93,0.36,0.54,-0.08,0.74,1.05,0.74,-0.25,-0.36,1.71,-2.5,-0.99,-1.2,1.1,-0.02,-0.06,0.07,0.56,-0.35,-0.68,"h_5","d_6","m_24","2012-03-07","2014-03-13 05:00:00",35
-0.5,-0.4,-0.98,-0.52,-0.18,2.41,-0.14,-0.55,1.55,1.37,0.99,-0.6,0.85,-0.12,-0.27,1.39,-0.38,2.19,-2.14,0.09,-0.39,0.86,-0.02,0.63,"h_8","d_10","m_5","2015-03-30","2015-09-09 08:00:00",23
1.09,0.01,0.91,0.57,-0.65,1.09,1.81,-0.68,-1.23,0.33,-0.64,-0.11,0.64,0.46,-1.02,0.32,-0.12,-0.18,1.9,-0.3,1.61,0.74,1.11,1.9,"h_11","d_10","m_16","2019-04-07","2020-08-17 11:00:00",37
-0.07,1.02,-1.83,-0.54,0.61,1.19,0.76,1.23,-0.08,-0.59,-0.74,0.63,1.57,-1.53,-0.56,-0.52,1.42,1.36,-0.13,-0.91,0.35,-1.37,0.61,-1.03,"h_5","d_6","m_7","2002-11-02","2003-06-08 05:00:00",18
0.1,1.09,-0.32,0.64,-0.78,0.85,-0.55,0.51,-1.79,-0.23,-0.5,0.13,0.39,-1.0,0.18,-2.77,-0.34,1.4,0.75,0.19,0.73,-0.63,-0.79,-1.68,"h_8","d_8","m_26","2003-10-31","2006-01-08 08:00:00",42
-0.41,0.2,-0.77,-0.88,-0.29,0.3,-2.04,1.0,-1.02,-0.47,0.14,-0.03,0.37,1.49,1.58,0.6,1.57,0.38,-1.02,0.5,0.53,-0.42,3.24,0.98,"h_9","d_8","m_12","2007-02-07","2008-02-15 09:00:00",29
-0.15,-0.46,-0.03,-0.46,0.55,-0.94,-1.22,-0.29,1.22,2.01,-0.44,0.26,0.42,-1.5,0.49,0.43,0.15,-0.85,0.58,-1.23,0.0,-0.85,-0.09,2.24,"h_6","d_10","m_2","2006-09-20","2006-11-30 06:00:00",18
0.08,-0.07,-0.71,1.72,0.12,-2.16,1.59,0.67,1.72,-1.08,-1.44,1.27,0.32,0.34,-2.03,1.64,-0.07,0.34,-0.51,-0.08,-0.92,-0.34,0.02,-1.73,"h_1","d_10","m_9","2019-05-24","2020-03-05 01:00:00",20
-0.35,-0.12,0.11,-1.89,-1.19,-0.37,-0.43,0.07,-0.22,-1.7,1.85,0.79,0.47,-0.48,-1.09,2.43,0.73,1.44,-0.71,0.44,-0.49,0.49,1.34,0.69,"h_0","d_7","m_24","2004-07-13","2006-07-20 00:00:00",31
1.29,-1.58,-1.48,-0.5,-1.21,-0.33,0.47,-0.68,-0.35,0.59,-0.07,-1.48,-0.58,0.68,-0.86,0.9,0.71,-0.26,-0.4,0.07,1.24,-1.24,-1.99,-0.3,"h_1","d_9","m_2","2011-05-05","2011-07-14 01:00:00",12
0.85,-1.46,1.64,0.02,0.71,0.51,0.68,1.84,1.17,-1.14,0.27,-0.66,-0.25,-1.18,0.54,-0.47,0.75,0.57,-1.05,-0.08,1.48,-0.24,-0.27,-0.01,"h_0","d_10","m_9","2023-05-20","2024-03-01 00:00:00",19
-0.04,1.45,0.29,-0.51,0.78,-1.25,-0.93,-0.67,-0.93,-0.12,-0.32,1.26,1.79,-0.59,0.26,-0.85,-1.09,-2.65,-0.31,-0.43,-0.26,-2.55,1.15,1.14,"h_8","d_6","m_14","2008-03-08","2009-05-14 08:00:00",28
-0.53,1.56,-0.42,-0.28,-0.3,0.56,0.84,1.95,2.46,-0.45,-0.38,-1.86,-0.8,-0.71,0.2,-0.57,-0.01,0.17,0.39,1.45,2.25,0.39,0.61,0.14,"h_10","d_6","m_2","2023-11-16","2024-01-22 10:00:00",18
1.61,0.06,0.05,0.42,0.76,1.09,-1.09,0.41,-1.91,1.02,1.28,-1.27,0.26,-0.76,-0.93,1.89,-1.69,0.63,0.36,0.39,-0.05,-0.85,-0.49,-0.14,"h_11","d_11","m_29","2002-01-04","2004-06-15 11:00:00",51
-1.36,-0.21,0.67,-1.83,0.81,0.04,1.32,0.44,-0.23,-0.15,-0.86,-0.89,-0.86,-0.93,1.27,-1.07,-0.59,0.41,-1.78,-0.27,-0.15,1.13,0.44,-0.43,"h_7","d_9","m_18","2003-09-20","2005-03-29 07:00:00",34
-0.27,-1.27,-0.4,-1.25,0.05,-0.38,0.79,0.12,-1.17,-1.0,1.68,0.49,-1.4,-0.78,0.49,0.9,1.35,1.09,-0.26,1.41,-1.36,1.83,-1.14,1.1,"h_4","d_10","m_24","2011-09-19","2013-09-29 04:00:00",38
1.42,-0.2,0.21,0.65,0.12,-0.26,0.3,-1.07,-1.11,0.82,1.75,-1.34,-0.91,-1.33,0.25,0.98,-0.2,1.66,-0.5,-0.87,0.92,-0.6,-0.6,0.07,"h_8","d_11","m_6","2019-05-11","2019-11-22 08:00:00",25
1.77,-2.4,-1.11,-0.39,0.35,1.23,0.83,-1.19,-1.51,-0.9,-0.28,0.26,0.7,-0.31,0.58,0.26,1.19,0.41,1.02,0.99,-0.11,-0.52,-0.41,0.36,"h_10","d_8","m_18","2008-06-11","2009-12-19 10:00:00",36
-0.25,0.39,1.12,-1.97,1.77,0.88,-0.32,0.96,1.38,0.96,0.64,-1.73,-1.52,0.2,0.63,0.79,-0.81,-0.58,0.78,-0.13,0.26,-1.46,-0.03,-2.74,"h_7","d_8","m_22","2005-07-30","2007-06-07 07:00:00",37
0.05,-2.38,0.52,2.98,1.43,-0.3,-0.73,-0.58,-1.92,-0.52,-0.65,0.18,-1.08,1.53,-0.65,-0.62,-0.29,-0.03,1.71,-2.03,-0.99,-0.7,-1.57,-1.06,"h_4","d_10","m_20","2010-09-16","2012-05-26 04:00:00",34
1.46,-0.9,-0.5,-0.44,1.07,0.84,-0.72,0.91,0.96,-1.11,-0.76,0.31,-0.32,0.54,0.42,-1.06,0.73,1.84,-0.21,-2.6,-0.16,-1.77,-0.65,-0.18,"h_3","d_8","m_17","2020-12-04","2022-05-12 03:00:00",28
-0.73,0.14,-1.99,0.73,-0.62,0.51,-0.49,-0.24,-1.76,-0.01,0.58,1.56,-0.52,-0.04,-1.02,-0.39,0.81,0.41,1.17,-0.3,-0.91,-0.3,0.73,-1.02,"h_3","d_11","m_14","2010-07-27","2011-10-08 03:00:00",28
