"Sex","Length","Diameter","Height","Whole_weight","Shucked_weight","Viscera_weight","Shell_weight","target"
"","","","","","","","","15"
"","","","","","","","","7"
"","","","","","","","","9"
"","","","","","","","","10"
"","",0.255,"","","","","","7"
"","","","","","",0.0775,"","8"
"","","","","","","","","20"
"","","","","","","","","16"
"","","","","","","","","9"
"","","","","","","","","19"
"","","","","",0.194,"","","14"
"","","","","","","","","10"
"","","",0.135,"","","",0.19,"11"
"",0.535,"","","","","","","10"
"",0.47,"","","","","","","10"
"","","","","","","",0.24,"12"
"","","","","","","","","7"
"","","","","","","","","10"
"","","","","","","","","7"
"","","","","","","","","9"
"","","","","","","","","11"
"","","","","",0.08,"","","10"
"","","","","","","","","12"
"","","","","","","","","9"
"","","","","","","","","10"
"","","","","","","","","11"
"","","","","","","","","11"
"","","","","","","","","12"
"","","","","","","","","15"
"","","","","","","","","11"
"","","","","","","","","10"
"","","","","","","","","15"
"","","","","","","","","18"
"","","","","","","","","19"
"","","","","","","","","13"
"","","","","","","","","8"
"F","","","","","","","","16"
"","","","","","","","","8"
"","","","","","","","","11"
"","","","","","","","","9"
"","","","","","","",0.115,"9"
"","","","","","","","","14"
"","","",0.045,"","","","","5"
"","","",0.055,"","","","","5"
"","","","","","","","","4"
"","","","","","","","","7"
"",0.47,"","","","","","","9"
"","","","","","","","","7"
"I","","","","","","","","6"
"","","",0.16,"","","","","9"
"","","","","","","","","8"
"","","","",0.303,"","","","7"
"","",0.36,"","","","","","10"
"","","","","","","","","10"
"","","","","","","","","7"
"","","","","","","","","8"
"","","","","","","","","8"
"","","","","","","",0.17,"8"
"","","","","","","","","4"
"","","","","","","","","7"
"","","","","","",0.1125,"","7"
"","","","","","","",0.175,"9"
"","","","","","","","","10"
"","","","","","","","","7"
"","","","",0.58,"","","","8"
"","","","","","","","","8"
"","","",0.16,"","",0.1935,"","12"
"","","","","","","","","13"
"","","","","","","","","10"
"","","","","","","","","6"
"M","","","","","","","","13"
"","","","","",0.1405,"","","8"
"","","","","","",0.225,"","20"
"","","","",1.185,"","","","11"
"",0.605,0.45,"","","","","","13"
"",0.6,0.475,"","","","","","15"
"","","","","","","","","9"
"","","",0.15,"",0.363,"","","10"
"","","","","","","","","11"
"","","","","","","","","14"
"","","","","","","","","9"
"","","","","","","","","12"
"","","","","","","","","16"
"","","","","","","","","21"
"","","","",1.013,"","","","14"
"","","","","","","","","12"
"","","","","","","","","13"
"","","","","","",0.2075,"","10"
"","","","","","","","","9"
"","","","","","","","","12"
"","","","","","","","","15"
"","","","","","","","","12"
"","","","","","","","","13"
"",0.625,"","","","","","","10"
"","","","","","","","","15"
"","","","","","","","","14"
"","","","","","","","","9"
"","","","","","","","","8"
"","","","",0.5225,"",0.133,"","7"
"","","","","","","","","10"
"","","","","","","","","7"
"","","","","","","","","15"
"","","","","","","","","15"
"","","","","","","","","10"
"","","","","","","","","12"
"","","","","","","","","12"
"","","","","","","","","11"
"","","","","","","","","10"
"","","","","","","","","9"
"","","","","","","","","9"
"","","","","","","","","9"
"","","","","","","","","9"
"","","","","","","","","9"
"","","","","","","","","9"
"","","","","","","","","11"
"","","","","","","","","11"
"","","",0.135,"","",0.102,"","11"
"","","","","","","","","10"
"","",0.43,0.15,"",0.3465,"","","9"
"","","","",0.2605,"","","","8"
"F","","","","","","","","9"
"","","","","","","","","7"
"",0.515,0.425,"","","","","","14"
"",0.37,"","","","","",0.07,"6"
"","","","","","","","","6"
"I","","","","","","","","5"
"",0.375,"","","","","",0.07,"6"
"","","","","","","","","8"
"","","","","","","","","19"
"","","","","","","","","18"
"","","",0.165,1.262,"","",0.41,"17"
"","","","","","","","","9"
"","","","","","","","","7"
"",0.35,"","","","","","","7"
"","","","","","","","","7"
"","","","","","","","","8"
"F","","","","","",0.0345,"","7"
"","","","","","","","","9"
"","","","","","","","","9"
"","","","","","","","","9"
"","","","","","","","","10"
"","","","","","","","","10"
"","","","","","","","","16"
"","","","","","","","","11"
"M","","","","","",0.1165,"","10"
"","","","","","","","","10"
"","","",0.12,"","","","","10"
"","","","","","","",0.042,"9"
"","","","","","","","","5"
"","","","","","","","","4"
"","","","","","","","","15"
"","","","","","","","","9"
"","","","","","","","","10"
"","","","","","","","","10"
"","","","","","","","","12"
"","","","","","","","","10"
"","","","","","","","","13"
"","","","",1.514,"",0.2615,"","16"
"","","","","","","","","13"
"","","","","","","","","13"
"","","","","","","","","13"
"","","","","","","","","13"
"","","","","","","","","12"
"","","","","","",0.398,"","18"
"","","","","","","","","16"
"","","","",2.55,"","","","14"
"","","","","","","","","20"
"","","","","","","","","20"
"","","","","","","",0.76,"14"
"","","","","","","","","12"
"M","",0.55,"","","","","","14"
"","","","","","","","","7"
"","","","","","","","","8"
"","","","",0.776,0.32,"","","8"
"I","","","","","","","","5"
"","","","","","","","","7"
"","","","","","","","","5"
"","","","","","","",0.05,"8"
"","","","","","","","","4"
"","","","",0.97,0.385,"","","11"
"","","",0.18,"","","","","14"
"","","","","","","","","21"
"","","","","","","","","10"
"","","","","","","","","10"
"","","","","","","","","12"
"","","","","","","",0.355,"13"
"","","","","","","","","12"
"","","","","","","",0.38,"10"
"","","","","","","","","11"
"","","",0.17,"","","",0.29,"9"
"","","","","","","","","13"
"","","","","","","","","12"
"","","","","",0.276,"",0.36,"14"
"",0.355,"","","","","","","8"
"","","","","","","","","10"
"","","","","",0.346,"","","12"
"","","","","","","","","11"
"","","","","","","","","16"
"","","","","","","","","15"
"","","","","","","","","10"
"",0.45,"","",0.4165,"","","","9"
"","","","","","","","","13"
"","","","","","","","","12"
"","","","",0.8155,"","","","13"
"","","","","","","","","8"
"","","","","","","","","9"
"","","","","","","","","9"
"","","","","","","","","8"
"","",0.415,"","","","","","13"
"",0.37,"","","","","","","7"
"","","","","","",0.1625,"","10"
"","","","","","","","","7"
"",0.415,"","","","","","","12"
"","","","","","","","","9"
"","","","","","","","","14"
"","","","","","",0.1635,"","10"
"","","","",0.46,"","","","8"
"","","","","","","","","7"
"","","","","","",0.115,"","10"
"","","","","","","","","8"
"","","","","","","","","9"
"","","","","","","","","11"
"","","","","","","","","9"
"","","",0.15,0.485,"","","","11"
"","","","","","","","","10"
"","","","","","","","","9"
"","","","","","","","","7"
"","","",0.085,"","","","","7"
"","","","","","","","","11"
"","","",0.16,"","","","","15"
"","","","","","","",0.275,"13"
"","","","","","","","","14"
"","","","","","","","","22"
"","","","","","","","","7"
"","","","","","","","","12"
"","","","","","","","","9"
"","","","","","",0.0005,"","1"
"","","","","","","","","3"
"I","","","","","","","","3"
"","","","","","","","","5"
"","","","","","","","","17"
"","","","","","","","","5"
"","","","","","","","","5"
"","","","","","","","","8"
"","","","","","","","","8"
"","","","","","","","","10"
"","","","","","","","","13"
"","","","","","","","","9"
"","","","",0.156,"","","","7"
"","","","","","","","","7"
"","","",0.105,"","","","","7"
"","","","","","","","","13"
"","","","","","","","","12"
"","","","","","","","","15"
"","","","","","","","","15"
"","","","","","","","","15"
"","","","","",0.3805,"","","19"
"","","","","","","","","10"
"","","","","","","","","15"
"","","","","","","","","13"
"","","",0.155,"","","","","11"
"","","","","","","","","12"
"","","","","","","","","11"
"","","","","",0.0445,"","","4"
"","","","","",0.0465,"","","6"
"","","","","","","","","11"
"","","","","",0.3615,"","","14"
"","","",0.11,"",0.1225,"","","8"
"","","",0.15,"","","","","9"
"","","","","","","","","13"
"","","","","",0.4535,"","","22"
"","","","","","","","","16"
"","","","","","","","","14"
"","","","",1.525,"","","","15"
"","","","","","","","","13"
"","",0.54,"","","","","","22"
"","","","","","","","","12"
"","","","","","","","","18"
"","","","","","","","","20"
"","","","","","","","","11"
"","","","","","","","","15"
"","","","","","","","","7"
"F","","","","",0.177,"","","9"
"","","","","","","","","14"
"","","","","","","","","14"
"","","","","","","","","10"
"","","","",0.699,"","","","10"
"","","","","","","","","17"
"","","","","","","",0.19,"9"
"","","","","","","","","10"
"","","","","","",0.226,"","17"
"","","","","","","","","12"
"","","","","","","",0.315,"15"
"","","","",1.013,"","","","19"
"","",0.495,"","","","","","26"
"","",0.215,0.085,"","","",0.04,"6"
"","","","","","","","","6"
"","","","","","","","","4"
"","","","","","","","","11"
"","","","",0.234,"","","","9"
"","","","","","","","","9"
"","","","","","","","","13"
"","","","","","","","","8"
"","","","","","","","","6"
"","","","","","","","","10"
"I","","","","","","","","4"
"","","","","","","","","3"
"","","","","","","","","13"
"","","","","","","","","14"
"","","","","","","","","10"
"","","","","","","","","21"
"","","","","","",0.2045,"","14"
"",0.595,"","","","","","","19"
"","","","","",0.381,"","","23"
"","","","","","","","","23"
"","","","","","","","","8"
"","","","","","","","","14"
"","","",0.1,0.3675,"","","","10"
"","","","","","","","","18"
"","","","","","","","","6"
"","","",0.06,"","","","","5"
"","","","","","","","","4"
"","","","","","","","","11"
"","","","","","","","","5"
"","",0.265,"","","","","","7"
"","","","","","","","","7"
"I","","","","","","","","7"
"","","","","","","","","12"
"","","","","","","","","8"
"","","","","","","","","8"
"","","","","","","","","12"
"","","","","","","","","8"
"","","","","","","","","5"
"","","","","","","","","5"
"","","","","","","","","16"
"","","","","","","","","11"
"","","","","","","","","14"
"","","","","","","","","16"
"","","","",1.325,"",0.325,"","13"
"","","","","","","","","15"
"","","","","","","","","14"
"","","","","","","","","14"
"","","","","","","","","12"
"","","","","","","","","12"
"","","","","","","","","8"
"","","","","","","","","13"
"","","","","","",0.173,"","9"
"","","",0.08,"","","","","6"
"I","","","","","","","","8"
"","","","",1.2,"","",0.28,"14"
"","","","","","","","","8"
"","","","","","","","","22"
"","","","","","","","","12"
"","","",0.17,"","","","","9"
"","",0.515,0.17,"","","","","16"
"",0.7,"","","","","","","20"
"","","",0.185,"","",0.336,"","13"
"","","","","","","","","18"
"","","","","","","","","17"
"","","","","","","","","16"
"","",0.49,"",1.227,"","","","18"
"","","",0.15,"","","","","12"
"","","","","","","",0.445,"20"
"","","",0.15,"","","","","16"
"","","",0.175,"","","","","12"
"M","","","","","","","","19"
"","","","","","","","","11"
"","","","","","","","","10"
"M","","","","","","","","12"
"","","","","","","","","17"
"","","","","","","","","16"
"","","","","","","","","16"
"","","","","","","","","19"
"","","","","","","","","14"
"","","","","","","","","13"
"","","","","","","","","20"
"","","","","","",0.3365,"","11"
"","","","","","","","","10"
"","",0.465,"","","","",0.37,"15"
"","","","","","","","","12"
"","","","","","","","","15"
"","","","","","","","","10"
"",0.485,"","","","","","","10"
"","","","","","","","","12"
"","","","","","","","","10"
"","","","","","","","","9"
"","",0.42,"","",0.3515,"","","12"
"","","","","","","","","10"
"","","","","","","","","14"
"","",0.375,"","","","","","9"
"","","","","","","","","10"
"","","","","",0.277,"","","10"
"","",0.375,"","","","","","10"
"","","","","","","","","9"
"","","","","","","","","6"
"",0.39,"","","","","",0.115,"11"
"","","","","","","","","10"
"","","","","","","","","8"
"","","","","",0.256,"","","12"
"","","",0.15,0.987,"","","","11"
"","","","","","","","","9"
"","","","","","","","","9"
"","","","","","","","","7"
"","","","","","","","","10"
"","","","","","","","","7"
"","","","","","","",0.24,"12"
"","","","","","","","","8"
"","","","","","","","","16"
"","","","","","","","","11"
"M","","","","","","","","8"
"","","","","","","","","15"
"","","","","","","","","14"
"","","","","","","","","11"
"","","","","","","",0.24,"12"
"","","","","","","","","14"
"F","","","",1.0325,"","","","15"
"","","","","","","","","20"
"","","","","","","","","20"
"","","","","","","","","16"
"","","","","","","","","13"
"","","","","","","","","14"
"","","",0.12,0.529,"","","","11"
"F","","","","","","",0.2,"13"
"",0.29,"","","","","","","8"
"","","","","","","","","6"
"","","","","","","","","13"
"F","","","","","","",0.33,"18"
"","","","","","","","","19"
"","","","","","",0.129,"","21"
"","","","","","","","","18"
"","","","","","","","","18"
"","","","","","","","","20"
"M","","","","","","","","18"
"","","","","","","","","22"
"","","","","","","","","13"
"","","","","","","","","11"
"",0.36,"","","","","","","7"
"","","","","","","","","14"
"","","","","","","","","9"
"","","","","","","","","13"
"","","","","","","","","10"
"","",0.26,"","","","","","8"
"",0.505,"","","","","","","19"
"I","","","","","","","","10"
"","","","","","","","","10"
"","","","","","","","","9"
"","","","","","","","","13"
"","","","","","","","","16"
"","","","","",0.4765,"","","12"
"","","","","","","","","18"
"","","","","","","","","16"
"","","","","","","","","16"
"","","","","",0.581,"","","17"
"","","","","","","","","11"
"",0.645,"","","",0.57,"","","14"
"","","","","","","","","11"
"","","","","","","","","15"
"","","","","","","","","9"
"","","","",0.2965,"",0.057,"","10"
"","","","","","","","","11"
"","","","","",0.115,"","","11"
"F","","","","","",0.224,"","12"
"I","","","","","",0.018,"","6"
"","","","","","","","","5"
"","","","","","","","","6"
"","","","","","","","","5"
"","","",0.19,"","","","","12"
"","","","","","","","","13"
"","","","","","","",0.625,"17"
"","","","","","","","","21"
"","","","","","","","","9"
"","","","","","","","","10"
"","","","","","","","","9"
"",0.52,"",0.12,"","","","","11"
"",0.545,"","","","","","","10"
"","","","","",0.261,"","","17"
"","","","","","","","","9"
"","","","","","","","","17"
"","","","","","","","","21"
"","","","","","","","","16"
"","","","","","","","","29"
"","","","","","","","","17"
"","","","","","","","","15"
"","",0.46,"","","","",0.26,"19"
"","","","","","","","","12"
"",0.585,"","","","","","","13"
"","","","","","","","","11"
"","","",0.15,"","","","","15"
"","","","","","","","","11"
"","","","","","","","","14"
"","","","","","","","","14"
"","","","","","","","","13"
"","","","","","","","","11"
"","","","","","","","","15"
"","","","","","","","","17"
"","","","","","","","","15"
"","","","","","","","","12"
"","","","","","","","","19"
"","","","","","","","","11"
"","","","","","","","","10"
"","","","","","","","","12"
"","","","","","","","","23"
"","","","","","","","","15"
"",0.6,"","","","","","","13"
"","","","","","","","","17"
"",0.6,"","","","","","","15"
"","","","","","","","","12"
"","","","","","","","","15"
"","","","","","","",0.25,"11"
"","","","","","","","","16"
"","","","","",0.439,"","","10"
"",0.455,"","","","","","","10"
"","","","",0.6725,"","","","10"
"","","","","","","","","6"
"","","","",0.08,"","","","5"
"","","","","","","","","6"
"","","","","","","","","9"
"","","","","","","","","5"
"","",0.23,"","",0.06,"","","4"
"","","","","","","","","6"
"","","","","","","","","3"
"","","","","","","","","5"
"","","","","","","","","9"
"","","","","","","","","5"
"","","","","","","","","4"
