"Name","Short description","Gender","Country","Occupation","Birth year","Death year","Manner of death","target"
"","","","","","","","",67.0
"","","Male","","",1952.0,"","natural causes",49.0
"","","","","","","","",56.0
"","","","","","",1791.0,"",35.0
"","","","","","","","",57.0
"","","","","","","","",42.0
"","","","","","","","",88.0
"","","","","",1840.0,"","",86.0
"","","","","","","","",61.0
"","","","","","","","",73.0
"","","","","","","","",42.0
"","","","","","","","",78.0
"","","","","","","","",98.0
"","","","","Ruler","","","",56.0
"","Austrian-born German politician, chancellor and Führer of Germany, leader of the Nazi Party (1889-1945)","","","","","","",56.0
"","","","","","",1252.0,"",64.0
"","","","","","","","",63.0
"","","","","Politician","","","",91.0
"","","","","","","","",60.0
"","","","","","","","",92.0
"","","","","","","","",53.0
"","","","","","","","",36.0
"","","","","",1934.0,"","",62.0
"","","","","","","","",65.0
"","","","","","","","",71.0
"","French singer-songwriter and poet","","","Artist","","","",60.0
"","","","","","","","",75.0
"","","","","Politician","","","",71.0
"","","","","","","","",37.0
"","","","","","","","",55.0
"","","","","","","","",46.0
"","","","","","","","",59.0
"","French writer","","","","","","",62.0
"","","","","","","","",42.0
"","","","","","","","",52.0
"","","","","","","","",73.0
"Victor Hugo","","","","","","","",83.0
"","","","","","",1882.0,"",75.0
"","","","","","","","",67.0
"","","","","","","","",67.0
"","","","","","","","",90.0
"","","","","","","","",83.0
"","","","","","","","",56.0
"","","Male","","","","","",70.0
"","","","","","","","",44.0
"","","","","","","","",39.0
"","","","","","","","",80.0
"","","","","","","","",61.0
"Alessandro Volta","","","","","","","",82.0
"","","","","","","","",51.0
"","","","","",1564.0,"","",52.0
"","","","","","","","",65.0
"","","","","","",1699.0,"",60.0
"","","","","","","","",78.0
"","","","","","","","",52.0
"","","","","","","","",67.0
"","","Male","","","","","",90.0
"","","","","","",1898.0,"",56.0
"","","","","","","","",82.0
"","","","","","","","",58.0
"","","","","","","","",49.0
"","","","","","","","",68.0
"","","","","","","","",62.0
"","","","","","","","",82.0
"","","","","","","","",32.0
"","","","","","","","",54.0
"","","","","","","","",74.0
"","","","","","","","",72.0
"","","","","","","","",80.0
"","","","","","","","",56.0
"Aristotle","ancient Greek philosopher","","","","","","",62.0
"","","","","","","","",88.0
"","","","Poland; Russian Empire; Second Polish Republic","","","","",68.0
"","","","United Kingdom","","","","",81.0
"","","","","","","","",41.0
"","","","","","","","",87.0
"","","","","","","","",71.0
"","","Male","","","","","",75.0
"","","","","","","","",56.0
"","","","","","","","",83.0
"","","","","","","","",84.0
"","","Male","","","","","",85.0
"","","","","","","","natural causes",76.0
"","","","","","","","",36.0
"","","","","","","","",83.0
"","","","","","","","",75.0
"","264th pope of the Catholic Church","","","","","","",85.0
"","","","","","","","",60.0
"","","","","","","","",68.0
"","","","","","","","",79.0
"","","","","","","","",49.0
"","","","","","","","",73.0
"","","","","","","","",71.0
"","","","","","","","",79.0
"","","","","","","","",44.0
"","","","","","","","",88.0
"","","","","","","","",56.0
"","","","","","","","",81.0
"","","","","","","","",67.0
"","","","","","","","",66.0
"","French composer","","","","","","",62.0
"","","","","","","","natural causes",55.0
"","","","","","","","",40.0
"","","","","","","","",88.0
"","","Male","","","","","",96.0
"","","","","","","","",94.0
"","","","","","","","",82.0
"","7th President of Italy (1896-1990)","","","","","","",94.0
"","","","","",1908.0,"","",93.0
"","5th President of Italy (1898-1988)","","","","","","",90.0
"","","","","","","","",81.0
"","3rd President of Italy (1887-1978)","","","","","","",91.0
"","","","","","","","",87.0
"","","","","","","","",82.0
"","7th Secretary-General of the United Nations (1938-2018)","","","","","","",80.0
"","","","","","","","",94.0
"","","","","","","","",89.0
"","","","","","","","",56.0
"","","","","","","","",39.0
"","","","","","","","natural causes",72.0
"Gladwyn Jebb","","","","","","","",96.0
"","","","","","","","",82.0
"","","","","","","","",39.0
"","","","","","","","",84.0
"","","","","","","","",61.0
"Germán Riesco","","","","","","","",62.0
"","","","","","","","",69.0
"","Saudi Arabian founder of al-Qaeda","","","","","","",54.0
"","","","","","","","",55.0
