"longitude","latitude","housing_median_age","total_rooms","total_bedrooms","population","households","median_income","ocean_proximity","target"
"","","","","","","","","",452600
"","","","","","","","","",358500
"","","","","","","","","",352100
"","","","","","","","","",341300
"",37.85,"","","","","","","",342200
"","","","","","",193.0,"","",269700
"","","","","","","","","",299200
"","","","","","","",3.12,"",241400
"","","","","","","","","",226700
"","","","","","","","","",261100
"","","","","","","",3.2031,"",281500
"","","","","","","","","",241800
"",37.85,"","","","","","","",213500
"","",52.0,"","","","","","",191300
"","","","","","",620.0,"","",159200
"","","","","","","","","",140000
"",37.85,52.0,"","","","","","",152500
"","","","","","","","","",155500
"","","","","","","","","",158700
"","","",1503.0,298.0,"","","","",162900
"","","","","",409.0,"","","",147500
"","","",1639.0,"","","","","",159800
"","","","","","","","","",113900
"","","","","","",325.0,"","",99700
"","","","","","","","","",132600
"","","","","","","","","NEAR BAY",107500
"","","","","","","","","",93800
"","","","","","","","","",105500
"","","","","","","","","",108900
"","","","","","","",1.6875,"",132000
"","","","","","","","","",122300
"","","","","","","","","",115200
"","","","","","","","","NEAR BAY",110400
"","","","","","","","","",104900
"","","","","","","","","",109700
"","","","","","","","","",97200
-122.27,"","","","","","","","",104500
"","","","","","","","","",103900
"","","","","","","","","",191400
"","","","",715.0,"","",2.5898,"",176000
"","","","","","","","","",155400
"","","","","","","","","",150000
"","","","","","","","","",118800
"","","","","","","",3.9643,"",188800
"","","","","","","","","",184400
"","","","","","","","","",182300
"","","",1125.0,"","","","","",142500
"","","","","","","","","",137500
-122.26,37.82,"","",195.0,"","","","",187500
"","","","","","","","","",112500
"","","","","","","","","",171900
"","","","","","","","","",93800
"","","","","","","","","",97500
"","","","","","","","","",104200
"","","","","","","",1.6098,"",87500
"","","",945.0,"","","","","",83100
"","","","","","","","","",87500
"","","","","","","","","",85300
"","","","","","","","","",80300
"","","","","","","","","",60000
"","","","","","","","","",75700
"","","","","","","","","",75000
"","","",760.0,190.0,"","","","",86100
"","","","","","","","","",76100
"","","","","","",133.0,"","NEAR BAY",73500
"","","","","",604.0,"","","",78400
"","","",1455.0,"","","","","",84400
"","","","","","",147.0,"","",81300
"","","",572.0,"","","","","",85000
"","","","","","","","","",129200
-122.29,"","","","","","","","",82500
"","","","","","","","","",95200
"","","","","","","","","",75000
"","","","","","","","","",67500
"","","","","","","","","",137500
"","","","","","","","","",177500
"","","","","","","","","",102100
"","","","",243.0,"","","","",108300
"",37.81,"","","","","","","",112500
"","","","","","","","","",131300
"","","","","","","","","",162500
"",37.81,"","","","","","","",112500
"","","","","","","","","",112500
"","",52.0,"","","","","","",137500
"","","","","","","","","",118800
"","","","","","","","","",98200
"","","","","","","","","",118800
"","","","","","","","","",162500
"","","","","","","","","",137500
"","","","","","","","","",500001
"","","","","","","","","",162500
"","","","","","","","","",137500
"","",52.0,"","","","","","",162500
"","","","","","",302.0,"","",187500
"","","","","","","","","",179200
"","","","","","","","","",130000
"","","","","","","","","",183800
"","","","","","","","","",125000
"","","","","","","","","",170000
"","",37.0,"","","","","","",193100
"","","","","","","","","",257800
"","","","","",2563.0,"","","",273400
"","","","","","","","","",237500
"","","","","","","","","",350000
"","","",5871.0,"","","","","",335700
"","","","","","","","","",313400
"","","","","","","","","NEAR BAY",268500
"","","","","","","","","",259400
"","","",3481.0,"","","","","",275700
"","","","","","","","","",225000
"","",52.0,"","","","","","",262500
"","","","","","","","","",218500
"","","","","",1749.0,"","","",255000
