"X_0","X_1","X_2","X_3","X_4","X_5","X_6","X_7","X_8","X_9","X_10","X_11","target"
"","","",0.85,"","","","","","",0.39,"",3.14
"",0.6,"","","","","","","","","","",3.14
"","",0.61,"","","","","","","","","",3.14
"","","","",-1.67,"","","",0.16,"","","",3.14
"","","","","","","","",-0.59,"","","",3.14
"","",-1.35,"","","","","","","","","",3.14
"","","","",0.32,"","","","","","","",3.14
"","","","","","","","","","","","",3.14
"","","","","","","","","","","","",3.14
"","",-0.39,"","","","","","","","","",3.14
"","","","","","","","","","","","",3.14
"","","","","","","","","","","","",3.14
"","","","",-1.92,"","","","","","","",3.14
"","","","","","","",-0.94,"","","","",3.14
"","","","","","","","","","","","",3.14
"","","","","","","","","","","","",3.14
"","","","","","","",-0.4,"","","","",3.14
"","","","","","","","","","","","",3.14
"","","","","","","","","","","",-0.5,3.14
"","","","","","","","","","","","",3.14
"","","","","","","","","","","","",3.14
"","","","",1.19,"","","","","","","",3.14
"","",0.82,"","","","","","","","","",3.14
"","","","","","","","","","","","",3.14
"","","","","","","","","","","","",3.14
"","","","","","","","","","","","",3.14
"","","","",0.14,"","","","","","","",3.14
"","","","","","","","","","","","",3.14
"","","","","","",1.05,"","","","","",3.14
"","","","","","",-0.2,"","","","","",3.14
"","","","","","","","","","","","",3.14
"","","","","","","","","","","",-2.31,3.14
"","","","","","","",-0.82,"","","","",3.14
"","","","","","","","","","","","",3.14
"","","","","","","","","","","","",3.14
"","","","","","","","","","","","",3.14
-0.21,"","","","","","","","","","","",3.14
"","","","","","","","","","","","",3.14
"","","","",1.34,"","","","","","","",3.14
"","","","","","","","","","","","",3.14
"","","","","","","","","","","","",3.14
"","","","","","","","","","","","",3.14
"","","","","","","","","","","","",3.14
"","","","","","",-1.46,"","","","","",3.14
"","","",0.04,"","","","","","","","",3.14
"","","","","","","","","","","","",3.14
"","","","","","",-0.22,"","","","","",3.14
"","","","","","","","","","","","",3.14
-0.62,"",-0.65,"","","","","",0.44,"","","",3.14
"","","","","","","","","","","","",3.14
"","","","","","","","","","","","",3.14
"","","","","","","","","","",-1.44,"",3.14
"","","","","","","","","","","","",3.14
"","","","","","","","","","","","",3.14
"","","","","","","","","","","",-0.79,3.14
"","","","","","","","","","","","",3.14
"","","","","","","","","","","","",3.14
"","","","","","","","","","","","",3.14
"","","","","","","","","","","","",3.14
"","","","","","","","","","","","",3.14
"","","","","","","","","","","","",3.14
"","","","","","","","","","","","",3.14
"","","","","","","","",1.42,"","","",3.14
"","","","","","","","","","","","",3.14
"","","","","","","","","","","","",3.14
"","","","","","","","","","","","",3.14
"","","","","","","","","","","","",3.14
"","","","","","","","","","","","",3.14
"","","","","","","","","","","","",3.14
"","",-0.08,"","","","","","","",-0.07,"",3.14
1.27,"","","","","","","","","","","",3.14
"","","","","","","","","","","","",3.14
"","",-0.43,1.45,0.85,"","","","","","","",3.14
"","","","","","",-0.69,"","","","","",3.14
"","","","","","","","","","","","",3.14
"","","","","","","","","","","",-1.52,3.14
"","",0.65,"","","","","","","","","",3.14
"","","","","","","","","","","","",3.14
"","","","","","","","","","","","",3.14
"",-0.28,"","","","","","","","","","",3.14
"","","","","","","","","","","","",3.14
"","","","","","","","","","","","",3.14
"","","","","","",0.06,"","","","","",3.14
"","","","","","",-0.67,"","","","","",3.14
"","","","","","","","","","","",0.13,3.14
"","","","","","","","",-0.56,"","","",3.14
"","",0.65,"","","",0.1,"","","","","",3.14
"",-1.71,"","","","","","","","","","",3.14
"","","","","","","","","",-0.38,"","",3.14
"","","","","",-0.29,"","",-0.8,"","","",3.14
"","","","","",1.27,"","","","","","",3.14
"","","","","","","","","","","","",3.14
"","","",0.27,"","","","","","","","",3.14
"","","","","","",-1.39,"","","","","",3.14
"","","","","","","","","","","","",3.14
"","","","","","","","","","","","",3.14
"","","","","","","","","","","","",3.14
"","","","","","","","","",-0.97,"","",3.14
"","","","","","","","","","","","",3.14
"","","","","","","","","","","","",3.14
"","","","","","","",0.51,"","","","",3.14
"","","","","","","","","","","","",3.14
"","","","","","","","","","","","",3.14
"",-0.29,"","","","","","","","","","",3.14
"","","","","","","","","","","","",3.14
"","","","","","","","",0.03,"","","",3.14
"","","","","","","","","","","",0.19,3.14
"","","","","","","","","","","","",3.14
"","","","","","",-0.62,"","","","",0.44,3.14
"","","","","","","","","","","","",3.14
"","","","","","","","","","","","",3.14
"","","","","","","","","","","","",3.14
"","","","","","","","","","","","",3.14
"","","","",-2.15,"","","","","",-2.06,"",3.14
"","","","","","","","","","","","",3.14
"","","","","","","","","","","","",3.14
"","","","","","","","","","","","",3.14
"","","","","","","","","","","","",3.14
"","","","","","","","","","","","",3.14
"","","","","","","","","","","","",3.14
-0.48,"","","",-0.46,"",0.14,"","","","","",3.14
"","","","","","","","","","","",0.71,3.14
"","","","","","","","","","","","",3.14
"","","","","","","","","","","","",3.14
"","","","","","","",0.85,"","","","",3.14
0.26,"","","","","","","","","","","",3.14
"","","","",-0.29,"","","","",-0.86,0.3,"",3.14
"","","","","","","","","","","","",3.14
"","",1.13,"","",-0.7,"","","","","","",3.14
"","","","","","","","","","","","",3.14
"","","","","","","","","","","","",3.14
"","","","","","","","","","","","",3.14
"","","","","","","","","","","","",3.14
"","","","","","","","","","",0.05,"",3.14
"","","","","",-0.47,"","","",0.42,"","",3.14
"","","","","","","","",-0.16,"","","",3.14
1.57,"","","","","","","","","","","",3.14
"","","","","","","","","","","","",3.14
"","","","","","",0.07,"","","","","",3.14
"","","","","","","","","",-0.23,"","",3.14
"","","","","","","","","","","","",3.14
"","","","","",-0.05,"","","",-1.1,"","",3.14
"","","","","","","","","",0.5,"",-0.2,3.14
"","","","","","","","","","",1.34,"",3.14
0.14,"",1.6,"","","","","","","","","",3.14
"","","","","","","","","","","","",3.14
"","","","","","","","","","","","",3.14
"","","","","","","","","","","","",3.14
"","","","","","","","","","","","",3.14
"","","","","","","","","","","",1.55,3.14
"","","","","","","","",-0.3,"","","",3.14
"","","","","","","","","","","","",3.14
"","","","","","","","","",0.54,"","",3.14
"","","","","",1.59,"","","","","","",3.14
"","",-0.02,"","","","","","","","","",3.14
"","",0.63,"","","","",-0.13,"","","","",3.14
"","","","","","","","","","","","",3.14
"","","","","","","","","","","","",3.14
"","","","","","","","","","","","",3.14
"","","","","","","","","","","","",3.14
"","","","","","","","","","","","",3.14
"","","","","","","","","","","","",3.14
"","",1.75,"","","",0.3,"","","","","",3.14
"","","","","","","","","","","","",3.14
"","","","","","","","","","","","",3.14
"","","","","","","","","","","","",3.14
"",0.99,"","",-2.21,"","","","","","","",3.14
"","","","","","","","","","","",0.55,3.14
"","","","",-0.09,"","","","","","","",3.14
"","","","","","","","","","","","",3.14
-1.44,"","","","","","","","","","","",3.14
"","","","","","","","","","","","",3.14
"","","","","","","","","","","","",3.14
"","","","","","","","","","","","",3.14
-1.31,"","","","","",-2.27,"","","","","",3.14
"","","","","","","","","","","","",3.14
"","","","","","","","","","","","",3.14
"","","","","","","","","","","","",3.14
"","","","","","","","","","","","",3.14
"","","","","","","","","","","","",3.14
"","","","","","","","","","","","",3.14
"","","","","","","","","","","","",3.14
"","","","","","","","","","","","",3.14
"","","","","","","","","","","","",3.14
"","","","","","","","","","","","",3.14
"","","","","","","","",1.26,"","","",3.14
"","","","","","","","","","","","",3.14
"","","","","","","","","","","","",3.14
"","","","","","",0.08,"","","","","",3.14
"","","","","","","","","","","","",3.14
"","","","","","","","","","","","",3.14
"","","","","","","","","","","","",3.14
"","","","","","","","",0.13,0.32,"","",3.14
"","","","","","","","","","","","",3.14
"","","","","","","","","","","","",3.14
"","","","","","","","","","","","",3.14
"","","","","","","","","","","","",3.14
"","","","",-1.76,"","","","","","","",3.14
"","","","","","","","","","","",0.15,3.14
