"X_0","X_1","X_2","X_3","X_4","X_5","X_6","X_7","X_8","X_9","X_10","X_11","target"
"","","",0.85,"","","","","","",0.39,"",0.0
"",0.6,"","","","","","","","","","",-0.0
"","",0.61,"","","","","","","","","",0.0
"","","","",-1.67,"","","",0.16,"","","",0.0
"","","","","","","","",-0.59,"","","",-0.0
"","",-1.35,"","","","","","","","","",-0.0
"","","","",0.32,"","","","","","","",0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","","",-0.0
"","",-0.39,"","","","","","","","","",-0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",-0.0
"","","","",-1.92,"","","","","","","",-0.0
"","","","","","","",-0.94,"","","","",0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","","",-0.0
"","","","","","","",-0.4,"","","","",0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","",-0.5,0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",0.0
"","","","",1.19,"","","","","","","",0.0
"","",0.82,"","","","","","","","","",0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","","",0.0
"","","","",0.14,"","","","","","","",0.0
"","","","","","","","","","","","",0.0
"","","","","","",1.05,"","","","","",0.0
"","","","","","",-0.2,"","","","","",0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","",-2.31,-0.0
"","","","","","","",-0.82,"","","","",0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","","",-0.0
-0.21,"","","","","","","","","","","",0.0
"","","","","","","","","","","","",-0.0
"","","","",1.34,"","","","","","","",0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","","",0.0
"","","","","","",-1.46,"","","","","",-0.0
"","","",0.04,"","","","","","","","",0.0
"","","","","","","","","","","","",-0.0
"","","","","","",-0.22,"","","","","",0.0
"","","","","","","","","","","","",0.0
-0.62,"",-0.65,"","","","","",0.44,"","","",-0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","",-1.44,"",-0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","",-0.79,-0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","",1.42,"","","",-0.0
