"model","cyl","disp","hp","drat","wt","qsec","vs","am","gear","carb","target"
"","","","","","","","","","","",21.0
"","","","","","","","","","","",21.0
"","","","","","","","","","","",22.8
"","","","","","","","","","","",21.4
"",8.0,"","","","","","","","","",18.7
"","","","","","","","","","","",18.1
"","",360.0,"","","","","","","",4.0,14.3
"","","","","","","","","","","",24.4
"","","","",3.92,"","","","","","",22.8
"","","","","","","","","","","",19.2
"","","","","",3.44,"","","","","",17.8
"","","","","","","","","","","",16.4
"","","","","","","","","","","",17.3
"","","","","","","","","","","",15.2
"","","","","",5.25,"",0.0,"","","",10.4
"","","","","","","","","","","",10.4
"",8.0,"","",3.23,"","","","","","",14.7
"","","","","","","","","",4.0,"",32.4
"","","","","","","","","","","",30.4
"","","","","","","","","","","",33.9
"","","","","","","","","","","",21.5
"","","","","","","","","","","",15.5
"","","","","","","","","","","",15.2
"","","","","","","","","","","",13.3
"","","",175.0,"","","","","","","",19.2
"","","","","","","","","","","",27.3
"","","","","","","","",1.0,"","",26.0
"","","","","","","","","","","",30.4
"","","","","","","","","","",4.0,15.8
"","","",175.0,"","","","","","","",19.7
"","","","","","","","","","","",15.0
"","","","","","","","","","","",21.4
