"cap-shape","cap-surface","cap-color","bruises%3F","odor","gill-attachment","gill-spacing","gill-size","gill-color","stalk-shape","stalk-root","stalk-surface-above-ring","stalk-surface-below-ring","stalk-color-above-ring","stalk-color-below-ring","veil-type","veil-color","ring-number","ring-type","spore-print-color","population","habitat","target"
"","","","","","","","","k","","","","","","","","","","","","","","p"
"","","","","","","","","","","","","","","","","","","","","","","e"
"","","","","","","","","n","","","","","","","","","","","","n","","e"
"","","","","","","","","","","","","","","","","","","","","","","p"
"","","g","","","","","","","","","","s","","","","","o","","","","","e"
"","","","","","","","","","","","","","","","","","","","","","","e"
"","","","","","","","","","","","","","","","","","","p","","","","e"
"","","","","","","","","n","","","","","","","","","","","","","","e"
"","y","","","","","","","","","","","","","","","","","","","","","p"
"","","","","","","","","","","","s","","","","","","","","k","","","e"
"","","","","","","","","","","","","","","","","","","","","","","e"
"","","","","","","c","","","","","","","","","","","","","","","","e"
"","","","","","f","","","","","c","","","","","","","","","","","","e"
"","","","","","","","","","","","","","","","","","","p","","","","p"
"","","","","","","","","","","","","","","","","","","","","","","e"
"","","","","","","","","","","","","","","","","","","","","","","e"
"","","","","","","","","","","","","","","","","","","","","","","e"
"","","","","p","","","","","","","","","","","","","","","","","","p"
"","","","","","","","","","","","","","","","","","o","","","","","p"
"","","","","","","","","","","","","","","","","","","","","","","p"
"","","","","a","","","","","","","","","","","","","","","","","","e"
"","","","","p","","","","","","","","","","","","","","p","","","","p"
"","","","","","","","b","","","","","","","","","w","","","","","","e"
"","","","","","","","","","","","","","","","","","","","","","","e"
"","","","","","","","","","","","s","","","","","","","p","","","","e"
"","","","","","","","","","","","","","","","","","","","","","g","p"
"","","","","","","","","","","","","","","","","","","","","n","","e"
"","","","","","","","","","","","","","","","","","","","","","","e"
"","","","","","","","","","","","","","","","","","","","","","","e"
"","","y","","","","","","","","","","","","","","","","","","","","e"
"","","","","","","","","","","","","","","","","","","","","","m","e"
"","","","","","","","","","e","","","","","","","","","","","","","p"
"","","","","","","","","","","","","","","","","","","","","","","e"
"","","","","","","","","","","","","","","","","w","","","","","","e"
"","","","","","","","","","","","","","w","","","","","","","","","e"
"","","","","","","","","","","","","","","","","","","","","","","e"
"s","","","","","","","","","","","","","","","","","","p","","","","e"
"","","","","","","","","","","","","","","","","","","","","","","p"
"","","","","","","","","","","","","","","w","","","","","","","","e"
"","","","","","","","","","","","","","","","","w","","","","s","","e"
"","","","","","","","","","","","","","","","","","","","","","","e"
"","","","","","","","","","","","","","","","","","","","","","","e"
"","","","","","","c","n","","","","","","","","","","","","","","","e"
"","","","","","","","","","","","","","","","","","","","","","","p"
"","","","","","","","","","","","","","","","","","","","","n","","e"
"","","","","a","","","","","","","","","","w","","","","","","","","e"
"","y","","","","","","","","","","","","","","p","","","","","","","e"
"","s","","","","","","","","","","","","","","","","","","","","","e"
"x","","","","","","","","","","","s","","w","","","","","","","s","","e"
"","","","","","","","","","","","","","","w","","","","","","","","e"
"","","","","","","","","","","","","","","","","","","","","","","e"
"","","","","","","","","","","","","","","","","","","","","s","","e"
"","","","","","","","","","","","","","","","","","","","","","","e"
"","y","","","","","","","","","","","","","","p","","","","","","","p"
"","","","","","","","","","","","","","","","","","","","","","","p"
"","","","","","","","","","","","","","","","p","","","","","","","e"
"","","","","","","","","","","","","","","","","","","e","","","","e"
"","","","","","","","","","","","","","","","","","","","","","","e"
"","","","","","","","","","","","s","","","","","","","","","","","e"
"","","","","","","","","","","","","","","","","","","","","","","e"
"","","g","","","","","","","","","","","","","","","","","","","","e"
"","","","","","","","","","","","","","","","","","","","","","","e"
"","","","","","","","","","","","","","","","","","","","","","","e"
"","","","","","","","","","","","","","","","","","","p","","","","e"
"","","","","","","","","","","","","","","","","","","","","","","e"
"","","","","","","","","","","","","","","","","","","","","","","e"
"","","","","","","","","","","","","","","","","","","","","","","e"
"","","","","","","","","","","","","","","","","","","","","","","e"
"","","","","","","","","","","","s","","","","","","","","","","","e"
"","f","","","","","","","","","","","","","","","","","","","","","e"
"f","","","","","","","","","","b","","","","","","","","","","","","e"
"","","","t","","","","","","","","","","","","","","","","n","","","e"
"","","","","","","","","","","","","","","","","","","","","","d","e"
"","","","","","","","","","e","","","","","","","","","","","s","","e"
"","","","","","","","","","","","","","","","","","","","k","","","e"
"","","","","","","","","","","b","","","","","","","","","","","d","e"
"","","","","","","","","","","","","","","","","","o","","","","","e"
"","","","","","","","","","","","","","w","","","","","","","","","e"
"","","","","","","","","","","","","","","w","","","","","","","","p"
"","","n","","","","","","n","","","","","","","","","","","","","","e"
"","","","","","","","","","","","","","w","","","","","","","","","e"
"","","","","","","","","","","","","","","","","","","","","","","p"
"","","","","","","","","","","e","","","","","","w","","","","","","e"
"","","","","","","w","","","","","","","w","","","","","e","","","","e"
"","","","","","","","","","","","","y","","","","","","","","","","e"
"","","","","","","","","","","","","","w","","","","","","","s","","e"
"","","","","","","","","","","","","","","","","","","","","","","e"
"","","","","","","","","","","","","","","","","","","","","","","e"
"","","","","","","","","","","","","","","","","","","","","","","e"
"","","","","","","","","","","","","","","","","","","","","","","e"
"","","","","","","","","","","","","","","","","","","","","y","","e"
"","","","","","","","","","","","","","","","","","","","","","","e"
"","","y","","","","","","","","","","","","","","","","","","","g","e"
"","","y","","","","","","","","","","","","","","","","","","","","e"
"","","","","","","","","","","","s","","","","","","","","","","","e"
"","","","","","","","","","","","","","","","","","","","","","","e"
"","","","","","","","","","","","","","","","","","","","","","","e"
"","","","t","a","","","","","","","","","","","","","","","","","","e"
"","","","","","","","","","e","","s","","","","","","","","","","","e"
"","","","","","","","","","","c","","","","","","","","","","","","e"
"","","","","","","","","","","","","s","w","","","w","","","","","","e"
"","","","","","","","","","","c","","","","","","","","","","n","","e"
"","","","","","","","","","","","","","","","","","","","","","","e"
"","","","","","","","","n","","","","","","","","","","","","","","e"
"","","","","","","c","","","","","","","","","","","","","","","","e"
"","","","","a","","","","","","","","","","","","","","","","","","e"
"","","","","","f","","","","","","","","","","","w","","","n","","","e"
"","","","","","","","","","","c","","","","","","","","","","","m","e"
