"X_0","X_1","X_2","X_3","X_4","X_5","X_6","X_7","X_8","X_9","X_10","X_11","X_12","X_13","X_14","X_15","X_16","X_17","X_18","X_19","X_20","X_21","X_22","X_23","h","d","m","purchase_date","return_date","target"
"","","",3.91,"","","","","","",-0.93,"","",0.67,"","","","","","","","","","","","","","","",0
"",0.2,"","","","","","","","","","","","","","","","","","","","","","","","","","","",1
"","",-2.98,"","","","","","","","","","",-0.69,"","","","","","","","","","","","","","","",3
"","","","",0.15,"","","",-1.49,"","","","","","","","","","","","","","","","","","","","",2
"","","","","","","","",0.69,"","","","","","","","","","","","","","","","","","","","",2
"","",-3.46,"","","","","","","","","","","","","","","","","","","","","","","","","","",2
"","","","",4.29,"","","","","","","","","","","","","","","","","","","","","","","","",0
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0
"","",2.6,"","","","","","","","","","","","","","","","","","","","","","","","","","2002-07-25 11:00:00",2
"","","","","","","","","","","","","","","","","","","","","","",-1.6,"","","","","2001-05-17","",2
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0
"","","","",0.34,"","","","","","","","","",3.72,"","","","","","","","","","","","","","",3
"","","","","","","",0.35,"","","","","","","","","","","","","","","","","","","","","",1
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2
"","","","","","","","","","","","","","","","","","","",1.33,"","","","","","","","","",2
"","","","","","","",2.04,"","","","","","","","","","","","","","","","","","","","","",0
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0
"","","","","","","","","","","",1.94,"","","","","","","","","","","","","","","","","",0
"","","","","","","","","","","","","","","","",-3.4,"","","","","","","","","",21.0,"","",3
"","","","","","","","","","","","","","","","","","","",-0.11,"","","","","","",28.0,"","",3
"","","","",0.61,"","","","","","","","","","",-1.99,"","","","",2.22,"","","","","","","","",3
"","",3.33,"","","","","","","","","","","","","","","","","","","","","","","",25.0,"","",0
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1
"","","","","","","","","","","","","","","","",6.09,"",5.02,"","","","","","","","","","",3
"","","","",-1.23,"","","","","","","","","","","","","","","","","","","","","","","","",3
"","","","","","","","","","","","",0.6,"","","","","","","","","","","","","","","","",0
"","","","","","",0.54,"","","","","","","","","","","","","","","","","","","","","","",2
"","","","","","",-0.99,"","","","","","","","",-0.7,0.91,"","","","","","","","","","","2001-06-05","",3
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3
"","","","","","","","","","","",0.14,"","",-0.87,"","","","","","","","","","","","","2001-06-07","2002-11-18 08:00:00",0
"","","","","","","",-0.09,"","","","","","","","","","","","","","","","","","","","","",1
"","","","","","","","","","","","",0.88,"","","","","","","","","","","","","","","","",2
