"X_0","X_1","X_2","X_3","X_4","X_5","X_6","X_7","X_8","X_9","X_10","X_11","X_12","X_13","X_14","X_15","X_16","X_17","X_18","X_19","X_20","X_21","X_22","X_23","h","d","m","purchase_date","return_date","target"
"","","",-1.26,"","","","","","",-0.23,"","",0.47,"","","","","","","","","","","","","","","",44
"",1.41,"","","","","","","","","","","","","","","","","","","","","","","","","","","",33
"","",0.12,"","","","","","","","","","",-0.95,"","","","","","","","","","","","","","","",19
"","","","",-0.58,"","","",0.28,"","","","","","","","","","","","","","","","","","","","",42
"","","","","","","","",-0.2,"","","","","","","","","","","","","","","","","","","","",30
"","",1.34,"","","","","","","","","","","","","","","","","","","","","","","","","","",42
"","","","",0.77,"","","","","","","","","","","","","","","","","","","","","","","","",32
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",20
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",28
"","",-1.41,"","","","","","","","","","","","","","","","","","","","","","","","","","2003-02-24 11:00:00",34
"","","","","","","","","","","","","","","","","","","","","","",0.25,"","","","","2001-12-16","",34
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",32
"","","","",-0.92,"","","","","","","","","",-0.69,"","","","","","","","","","","","","","",19
"","","","","","","",-0.94,"","","","","","","","","","","","","","","","","","","","","",33
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",22
"","","","","","","","","","","","","","","","","","","",0.02,"","","","","","","","","",10
"","","","","","","",0.04,"","","","","","","","","","","","","","","","","","","","","",32
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",28
"","","","","","","","","","","",-1.76,"","","","","","","","","","","","","","","","","",32
"","","","","","","","","","","","","","","","",1.2,"","","","","","","","","","m_21","","",39
"","","","","","","","","","","","","","","","","","","",1.35,"","","","","","","m_28","","",39
"","","","",0.26,"","","","","","","","","","",0.32,"","","","",2.24,"","","","","","","","",47
"","",0.59,"","","","","","","","","","","","","","","","","","","","","","","","m_25","","",44
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",30
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",13
"","","","","","","","","","","","","","","","",0.54,"",-1.22,"","","","","","","","","","",35
"","","","",-0.65,"","","","","","","","","","","","","","","","","","","","","","","","",31
"","","","","","","","","","","","",1.61,"","","","","","","","","","","","","","","","",16
"","","","","","",0.02,"","","","","","","","","","","","","","","","","","","","","","",26
"","","","","","",-1.09,"","","","","","","","",1.89,-1.69,"","","","","","","","","","","2002-01-04","",35
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",35
"","","","","","","","","","","",1.76,"","",2.75,"","","","","","","","","","","","","2002-01-06","2003-06-17 08:00:00",36
"","","","","","","",-0.85,"","","","","","","","","","","","","","","","","","","","","",37
"","","","","","","","","","","","",1.05,"","","","","","","","","","","","","","","","",42
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",34
"","","","","","","","","","","","","","","","","","","","","","","","","","d_11","","","",40
-1.94,"","","","","","","","","","","","","","","","","","","","","","",1.72,"","","","","",42
"","","","","","","","","","","","","","","","","","","","","","","","","","d_8","","","",17
"","","","",-0.4,"","","","","","","","","","","","","","","","","","","","","","","","",25
"","","","","","","","","","","","","","","","","",-0.04,"","","","","","","","","","","",19
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",21
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","2003-05-26 08:00:00",34
"","","","","","","","","","","","","","","","",-1.2,"","","","","","","","","","","","",26
"","","","","","",-0.03,"","","","","","","","","","","","","","",0.16,"","","","","","","",40
"","","",-0.38,"","","","","","","","","","","","","","","","","","","","","","","","","",24
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",27
"","","","","","",0.2,"","","","","","",1.33,"","","","","","","","","","","","","","","",36
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",39
-0.57,"",0.23,"","","","","",1.63,"","","","","","","",-0.66,"","","","","","","","","","","","",33
"","","","","","","","","","","","","","",-0.61,"","",-0.3,"","","","","","","h_6","","","","",23
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",11
"","","","","","","","","","",0.65,"","","","","","","","","","","","","","","d_11","","","",43
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",24
"","","","","","","","","","","","",0.49,"","","","","","","","","","","","","","","","",35
"","","","","","","","","","","",0.23,"","","","","","","","","","","","","","","","","",44
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",27
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",27
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",40
"","","","","","","","","","","","","","","","",-0.66,"","","","","","","","","d_10","","","",38
"","","","","","","","","","","","","","","","","","","","",-0.7,"","","","","","","","",23
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",25
"","","","","","","","","","","","",-0.54,"","","","","","","","","","","","","","","","",38
"","","","","","","","",1.29,"","","","","","","","","","","","","","","","","","","","",22
"","","","","","","","","","","","","","","","","","","","",2.24,"","","","","","","","",31
"","","","","","","","","","","","","","","","",1.99,"","","","","","",1.03,"","","","","",20
"","","","","","","","","","","","","","","","","","","",1.54,"","","","","","","","","",34
"","","","","","","","","","","","","","","","","","","","","","","","","","","m_26","","",43
"","","","","","","","","","","","","","","","","","","","",1.84,"","","","","","","","",19
"","","","","","","","","","","","","","","","","","","",0.29,"","","","","","","","","2003-07-22 08:00:00",35
"","",0.28,"","","","","","","",-0.6,"","","","","","","","","","","","","","","d_10","","","",38
-1.88,"","","","","","","","","","","","","","","","","",0.0,"","","","","","","","","","",43
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",27
"","",0.74,1.38,0.36,"","","","","","","","","","","","","","","","","","","","","","","","",22
"","","","","","",-0.57,"","","","","","","","","","","","","","","","","","","","","","",42
"","","","","","","","","","","","","","","",-0.45,"","","","","","","","","","","","","",43
"","","","","","","","","","","",0.27,"","","","","","","","","","","","","","","","","",19
"","",-1.43,"","","","","","","","","","","","","","","","","","","","","","","","","","",22
"","","","","","","","","","","","","","","","","","","","","","","","","","","m_16","","",32
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",45
"",1.53,"","","","","","","","","","","","","","","","","","",0.71,"","","","h_5","","","","",14
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",31
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",27
"","","","","","",0.99,"","","","","","","","","","","","","","","","","","","","","","",38
"","","","","","",-1.98,"","","","","","","","","","","","","","","","","","","","","","",20
"","","","","","","","","","","",-0.11,"","","","","","","",-1.1,"",-1.11,"",-0.79,"","","","","",43
"","","","","","","","",-0.07,"","","","","","","","","","","","","","","","","","","","",31
"","",-1.17,"","","",-1.47,"","","","","","","","","","","","","","","","","","","","","","",26
"",-1.64,"","","","","","","","","","","","","","","","","","","",-0.71,"","","","","","","",34
"","","","","","","","","",-0.5,"","","","","","",-0.7,"","","","","","","","","","","","",41
"","","","","",-0.85,"","",0.8,"","","","","","","","","","",-2.35,"","","","","","","","","",24
"","","","","",1.28,"","","","","","","","","","","","","","",0.09,"","","","","","","","",24
"","","","","","","","","","","","","","","","",-0.27,"","","","","","",-1.94,"","","","","",34
"","","",0.81,"","","","","","","","","","","","","","","","","","","","","","","","","2003-03-16 05:00:00",25
"","","","","","",-0.45,"","","","","","",-0.24,"","","","","","","","",0.03,"","","","","","2003-10-16 04:00:00",30
"","","","","","","","","","","","","","","","",-0.61,"","","","","","","","","","","","",38
"","","","","","","","","","","","","","","","","",1.2,"","","","","","","","","","","",35
"","","","","","","","","","","","","","","","","","","","","","","","","","","m_5","","",18
"","","","","","","","","",0.46,"","","","","",-0.07,0.23,"","","","","","","","","","","","",34
"","","","","","","","","","","","","",-0.41,"","","","","","","","","","","","","m_14","","",25
"","","","","","","","","","","","","","","","",0.15,"","","","","","","","h_2","","","","2003-05-21 02:00:00",22
"","","","","","","",1.48,"","","","","","","","","","","","","","","",0.14,"","","","","",30
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",16
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",34
"",1.94,"","","","","","","","","","","","","","","","","","","","","","","","","","","",23
"","","","","","","","","","","","",0.75,"","","","","","","",-1.94,"","","","","","","","",9
"","","","","","","","",0.34,"","","","","","","",-0.37,"","","","","","","","","","","","",21
