"X_0","X_1","X_2","X_3","X_4","X_5","X_6","X_7","X_8","X_9","X_10","X_11","X_12","X_13","X_14","X_15","X_16","X_17","X_18","X_19","X_20","X_21","X_22","X_23","X_24","X_25","X_26","X_27","X_28","X_29","X_30","X_31","X_32","X_33","X_34","X_35","X_36","X_37","X_38","X_39","X_40","X_41","X_42","X_43","X_44","X_45","X_46","X_47","X_48","X_49","X_50","X_51","X_52","X_53","X_54","X_55","X_56","X_57","X_58","X_59","X_60","X_61","X_62","X_63","target"
0.83,-0.61,1.85,0.78,-1.27,5.75,-0.09,0.79,-6.14,-6.26,-1.25,0.66,-1.24,-0.34,-0.02,1.24,0.03,-0.07,-4.08,-2.24,-0.62,5.75,-0.63,-0.53,0.16,0.43,-1.72,0.41,0.33,-0.29,-1.68,-6.57,-3.13,-2.92,-1.01,0.77,-1.79,2.53,1.56,-6.95,-1.48,0.79,0.35,-1.82,2.74,-2.63,6.93,4.93,2.67,0.77,-6.09,-0.14,1.78,-1.31,-0.23,1.6,-4.18,1.29,0.07,5.84,-0.54,-3.19,3.48,-5.77,14
-0.69,0.92,3.6,2.04,-0.56,0.38,0.41,-0.22,1.2,-3.84,-0.37,-0.59,1.03,-0.92,-0.78,1.14,1.72,0.81,-10.21,1.0,-5.21,-3.66,0.99,0.41,-1.51,0.65,-5.85,0.06,0.79,0.49,-3.32,9.47,5.84,1.49,1.22,1.1,-2.93,1.39,4.03,25.74,0.38,1.48,-0.67,-1.27,-1.48,-6.66,6.12,-1.11,4.33,0.76,-4.42,0.08,1.25,1.32,0.59,-1.16,-1.87,-6.58,0.79,-0.82,-1.34,-5.55,-1.1,-0.48,12
1.59,-0.49,6.85,0.38,0.59,-0.53,-0.38,-0.38,-3.27,-4.75,-0.33,-1.7,-8.05,-1.35,0.82,-0.59,-2.21,0.83,1.95,0.33,-4.02,-0.38,1.33,0.11,-2.5,-0.8,-1.67,0.3,0.66,-0.84,-3.99,-0.29,2.35,-4.36,0.11,-1.73,0.47,1.21,3.08,17.13,-0.62,0.05,-0.24,-1.52,-1.58,1.05,8.3,-2.24,-4.89,-0.5,-1.69,-0.5,-1.32,3.28,0.29,-1.81,-3.51,-2.31,-0.29,-4.19,0.49,-1.07,-3.57,-2.48,9
-0.17,0.66,8.56,0.2,-0.7,-2.77,0.6,-1.02,-0.94,7.23,0.51,-6.57,-2.24,-7.41,-1.04,0.06,-2.93,0.66,0.8,0.86,3.61,1.95,0.21,-1.07,-9.08,-1.25,-2.36,-0.55,-1.51,-0.36,-3.32,-2.18,-4.84,-2.88,1.27,0.73,-1.21,-5.41,-0.91,-1.14,1.47,0.05,-0.05,0.6,-1.66,-5.76,24.44,0.05,-0.99,2.2,0.93,-1.1,1.89,4.31,-1.05,0.71,0.49,6.79,0.75,-2.09,0.43,-0.59,-3.47,2.36,13
-0.22,-1.99,-3.84,-0.24,-1.24,5.88,-1.1,0.3,0.07,3.99,-0.28,-0.99,1.06,-3.58,-0.23,-0.59,0.72,0.53,-0.82,-1.52,-9.18,-2.51,-0.41,1.21,-1.34,-0.26,1.29,-0.21,-0.31,1.73,1.11,1.37,3.97,2.61,-0.5,-1.25,-2.78,3.67,-4.08,-9.23,0.73,-1.05,-0.75,0.49,2.29,3.31,-16.37,1.6,7.85,-1.74,-0.52,0.09,-3.22,-0.88,0.42,-0.04,-4.28,5.38,1.77,3.25,0.41,3.24,-1.75,0.26,14
-0.38,-0.5,-3.15,-0.57,-0.46,2.41,0.87,-0.47,-0.55,-0.3,0.04,5.33,2.15,-10.09,0.12,-0.6,-2.97,0.31,-1.76,0.85,-0.5,-0.88,-0.6,-0.98,-0.28,1.35,4.45,0.96,-0.28,-0.76,6.06,-0.68,-3.95,6.78,0.46,0.74,-1.04,-5.55,-2.51,-5.83,0.14,-2.02,-1.15,0.38,1.63,-3.93,-14.63,-0.48,-9.92,-0.07,0.88,-0.22,-0.77,-4.77,1.99,0.61,3.33,-2.87,-1.35,-1.24,-0.38,-3.43,-4.63,0.74,7
-1.63,0.28,0.51,-0.65,1.75,-5.97,1.23,1.62,0.78,0.32,0.86,1.63,-2.53,-1.71,-0.0,0.57,1.66,1.71,1.91,0.08,-0.52,-1.92,1.05,0.35,-1.88,-1.67,-3.9,-0.48,0.83,-0.12,5.29,3.73,0.11,-1.67,0.89,1.03,3.65,4.77,-1.41,14.9,-0.92,0.53,1.55,0.3,7.89,0.2,-18.14,3.27,-4.73,0.3,-1.65,-0.95,0.96,-2.65,0.29,-1.31,-6.41,-0.11,-0.3,-2.35,-0.44,5.41,0.45,2.47,12
0.26,-1.09,3.73,0.44,-0.93,2.16,1.25,1.46,-0.67,1.21,-0.27,0.44,-4.35,-4.06,-0.63,0.11,-2.48,1.15,0.52,0.35,-0.7,-0.54,0.37,0.6,-3.11,-1.1,0.01,-0.17,0.3,1.43,-2.09,1.49,1.54,-1.47,0.89,0.77,-0.04,1.12,3.01,8.63,0.2,0.37,-1.83,-0.16,-1.36,0.9,-7.28,1.17,-5.87,-0.46,-5.4,0.46,2.37,6.42,-0.84,-0.19,-1.99,-0.41,-1.04,1.47,0.12,3.7,1.74,1.18,2
0.4,-0.66,-2.67,-0.23,0.49,4.15,-0.39,-1.04,0.67,2.89,-0.06,-3.08,3.83,-3.44,-0.97,-1.45,-0.15,-0.1,-3.76,-0.41,6.63,-3.76,-0.14,-0.35,1.94,0.91,-1.65,-0.41,0.42,-1.27,-0.67,0.57,2.21,-0.12,-0.01,0.09,-4.53,-4.3,-2.89,-8.4,-0.83,-1.43,0.26,0.44,2.21,-1.58,3.14,-1.62,-1.07,0.09,0.22,-1.69,1.39,-2.85,0.68,0.3,-3.03,3.11,-0.5,-3.47,-0.68,5.62,2.01,-1.67,5
0.37,-0.07,-1.23,-0.21,-1.79,0.55,-0.88,1.25,0.23,1.75,1.39,2.45,-0.52,-0.86,0.65,1.08,2.96,0.87,-0.63,0.36,-2.9,1.37,-1.81,1.8,0.45,-0.6,1.3,-0.65,0.43,0.4,2.9,-0.04,-4.1,0.88,-0.62,-0.59,-4.28,4.92,-0.92,-3.43,-0.24,-0.47,-0.49,0.28,1.26,-0.33,-20.52,4.91,-3.47,0.66,-3.25,1.77,0.51,-0.89,-0.13,0.5,-5.24,-1.3,-0.24,-1.16,-0.29,-1.29,1.08,2.43,12
-0.84,-1.01,0.54,0.04,-0.92,0.17,-0.22,-1.26,0.9,1.41,0.12,6.69,-0.38,-0.47,1.88,0.68,-2.87,-0.03,3.86,-1.05,-1.18,4.03,0.05,1.42,-0.8,0.44,1.82,-1.01,-0.54,1.62,8.07,-0.98,-6.83,2.47,0.26,-0.49,-4.08,-3.13,1.32,-11.16,-0.26,0.21,0.11,-0.13,-2.07,7.82,-11.57,2.69,0.51,-1.09,1.15,-0.3,0.55,-2.25,-0.73,-0.27,-4.97,5.84,0.78,2.09,-0.85,9.8,0.88,-0.02,11
0.02,0.71,-1.32,1.98,-0.17,-1.51,-0.17,-2.41,-1.84,-4.18,-0.29,2.22,3.26,-1.17,-0.43,0.94,-4.99,1.26,1.48,1.18,0.6,-0.25,-0.65,-0.98,-1.75,-0.74,-1.35,-0.17,-0.29,1.77,-3.95,-2.25,1.67,-1.75,-1.13,1.63,-2.21,0.01,-0.89,-12.34,1.39,0.52,1.11,0.6,-1.35,2.5,14.39,6.13,2.35,0.46,-1.73,-0.42,-0.6,-1.51,-0.68,0.31,2.34,4.66,0.05,-3.14,0.73,-0.28,2.57,4.04,4
-1.02,-0.79,-7.6,-0.7,0.83,-6.45,0.69,1.03,-0.86,1.24,1.16,3.24,-2.8,1.08,-0.88,0.11,-8.35,1.08,-8.78,0.9,0.46,3.86,-0.86,1.56,-0.31,0.59,0.46,2.93,-1.26,-1.03,-1.79,-6.81,-1.48,1.65,-1.05,0.52,0.87,6.56,0.79,-21.42,1.88,0.68,1.75,0.64,-0.87,0.79,-21.35,14.41,-0.88,-0.44,6.93,0.27,-0.7,-2.36,3.02,-0.93,1.35,-1.94,-1.41,-2.78,1.26,0.4,7.27,-1.94,13
0.87,-1.16,-1.72,0.9,-0.15,-0.21,-0.33,-1.93,-1.66,-0.82,-1.02,5.26,-0.59,-3.14,1.26,1.47,-6.47,0.22,1.1,0.76,-1.35,-3.73,2.07,1.54,-2.78,0.43,-2.49,1.36,-0.6,-1.47,-2.96,4.45,2.03,-2.94,2.04,0.22,1.56,1.79,8.42,5.96,-2.77,-0.32,-0.6,1.49,3.26,-0.58,10.18,-5.45,-2.99,-1.47,-0.6,-0.1,2.24,-3.31,-0.24,-1.98,-6.7,1.94,2.21,-4.57,-0.29,-1.65,-1.39,-2.16,1
-0.05,0.36,-4.44,0.2,-0.2,-3.75,-0.23,-0.36,0.76,-4.36,0.72,1.81,-3.65,-3.28,0.83,-0.23,0.44,0.74,-2.86,0.09,-1.17,-1.93,0.25,-0.06,2.76,0.69,5.82,-0.86,0.19,-0.44,0.71,-1.12,-6.53,-0.77,1.81,-0.38,2.77,-1.0,3.46,-0.88,0.06,0.17,-1.58,-0.47,-2.71,2.69,-9.27,-1.51,1.15,1.08,-2.37,0.18,-1.85,-2.39,0.67,-0.09,-0.46,0.86,1.12,-0.83,1.67,3.63,5.25,0.38,5
0.08,0.77,-0.6,1.56,-0.87,0.74,0.62,-1.11,4.15,-1.03,0.52,-0.74,4.82,-6.98,-0.36,0.41,0.79,-0.94,-2.75,-0.52,-6.86,0.02,-1.05,1.12,4.99,0.13,-2.57,1.36,-1.4,-0.05,0.82,3.87,-2.8,0.6,1.24,-1.71,2.0,0.6,6.45,6.21,0.09,-1.17,-1.01,2.21,3.12,1.86,-21.33,-8.19,2.4,1.26,-3.06,1.31,-0.43,0.17,-0.99,0.73,1.94,-4.14,0.76,1.49,-1.68,2.81,-1.9,5.0,2
