"age","workclass","fnlwgt","education","education-num","marital-status","occupation","relationship","race","sex","capital-gain","capital-loss","hours-per-week","native-country","target"
39,"Private",269323,"Assoc-voc",11,"Married-civ-spouse","Other-service","Husband","White","Male",0,1485,38,"United-States",">50K"
42,"Federal-gov",55457,"10th",6,"Married-civ-spouse","Adm-clerical","Husband","White","Male",0,0,40,"Mexico","<=50K"
21,"",231511,"Some-college",10,"Never-married","","Own-child","White","Female",0,0,20,"United-States","<=50K"
54,"Private",297551,"Some-college",10,"Married-civ-spouse","Craft-repair","Husband","White","Male",7298,0,40,"United-States",">50K"
18,"",98549,"HS-grad",9,"Never-married","","Own-child","White","Female",0,1602,35,"United-States","<=50K"
20,"",177161,"HS-grad",9,"Never-married","","Own-child","Other","Female",0,0,45,"United-States","<=50K"
53,"Local-gov",164300,"Bachelors",13,"Divorced","Adm-clerical","Unmarried","White","Female",0,0,38,"Dominican-Republic","<=50K"
23,"Private",363219,"Some-college",10,"Never-married","Priv-house-serv","Not-in-family","White","Female",0,0,6,"United-States","<=50K"
28,"Private",192591,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Female",0,0,45,"United-States","<=50K"
68,"",141181,"9th",5,"Married-civ-spouse","","Husband","White","Male",0,0,2,"United-States","<=50K"
25,"Private",80312,"Assoc-voc",11,"Never-married","Adm-clerical","Not-in-family","White","Female",4865,0,40,"United-States","<=50K"
26,"Private",180246,"Some-college",10,"Married-civ-spouse","Exec-managerial","Husband","White","Male",7688,0,40,"United-States",">50K"
39,"Private",139012,"Bachelors",13,"Married-civ-spouse","Adm-clerical","Husband","Asian-Pac-Islander","Male",0,0,40,"Philippines",">50K"
52,"Private",111700,"Some-college",10,"Divorced","Sales","Other-relative","White","Female",0,0,20,"United-States",">50K"
29,"Self-emp-inc",241431,"Doctorate",16,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,35,"United-States",">50K"
19,"Private",40425,"Some-college",10,"Never-married","Sales","Not-in-family","White","Female",0,0,28,"United-States","<=50K"
