"X_0","X_1","X_2","X_3","X_4","X_5","X_6","X_7","X_8","X_9","X_10","X_11","X_12","X_13","X_14","X_15","X_16","X_17","X_18","X_19","X_20","X_21","X_22","X_23","X_24","X_25","X_26","X_27","X_28","X_29","X_30","X_31","target"
-0.44,-1.19,0.04,0.18,-1.8,-0.68,-2.24,-0.27,0.42,5.34,-0.15,-0.23,2.3,-1.05,1.94,-1.64,-8.46,-0.79,1.14,4.36,0.57,1.05,1.44,1.61,-0.57,3.26,0.6,-0.58,0.91,3.01,-0.42,-1.46,27
-0.65,-0.32,1.65,1.44,-0.89,-3.6,4.31,0.31,-0.71,-1.19,1.0,-0.73,-4.37,-0.32,0.42,-1.24,-0.01,0.98,-0.91,-3.91,-4.27,-0.89,-1.51,3.16,-2.0,-1.05,0.02,0.42,-0.02,-0.91,1.33,1.06,24
1.92,1.58,-0.96,2.26,-3.13,-1.01,-2.68,3.51,-1.09,3.35,-0.32,-0.8,1.59,0.48,-2.27,-4.2,-2.01,-0.58,1.52,2.13,2.06,-0.55,0.22,-1.53,1.26,-1.27,1.3,1.43,0.54,-8.37,0.5,-0.16,16
-2.06,-1.66,-1.01,-2.65,-0.12,1.99,-5.36,-0.69,0.9,-0.45,1.75,0.86,-0.09,-0.53,1.45,2.46,5.12,1.34,-0.1,0.87,2.02,1.18,-3.14,-2.32,-1.34,-3.79,-0.06,-0.21,-0.89,-1.67,-0.68,-0.68,46
1.16,0.77,-0.67,0.74,-3.78,4.56,-2.53,-4.65,0.61,2.87,-0.48,0.57,1.61,1.37,-3.33,1.5,-2.12,-0.95,0.99,1.16,0.21,-1.04,0.26,-0.68,-1.3,-0.89,-0.16,-1.2,-0.55,-4.99,0.3,-2.09,4
0.27,0.01,0.98,-0.88,0.96,-0.78,-6.13,0.93,-0.28,1.44,2.01,-1.14,-0.87,0.9,0.33,2.87,2.05,1.75,-0.07,6.13,2.36,0.54,0.96,-3.03,1.06,-1.58,-1.82,0.05,-1.22,-0.31,0.39,1.54,3
-0.75,-1.3,1.55,3.23,2.68,-0.51,7.81,1.09,0.9,-2.3,0.27,1.41,-1.57,0.34,0.62,0.2,9.61,0.22,-1.59,-3.28,0.5,-0.9,-1.68,3.14,-1.93,4.43,-0.1,-0.69,-1.43,-0.26,0.04,-0.29,32
0.3,-1.11,-0.42,-1.15,-0.2,-4.52,-5.08,-0.79,0.08,-2.16,0.6,0.46,0.84,1.12,-2.12,-2.87,-10.07,1.6,1.89,0.9,-4.83,-0.04,4.23,3.44,3.74,-2.33,-0.56,0.42,0.91,-0.21,-0.58,1.74,44
-1.79,-0.23,-2.61,1.72,2.52,-2.51,-2.58,-0.98,-0.12,0.35,-0.26,-0.2,-5.6,0.55,0.26,-0.38,7.23,1.16,-0.25,-0.04,0.41,0.44,-0.38,0.35,3.51,-0.05,-1.03,-0.72,1.19,-4.93,-0.52,-0.63,59
-0.71,0.92,-0.58,2.46,1.54,-3.31,-4.43,-3.54,0.22,1.44,1.91,-1.71,2.52,0.85,-3.58,3.32,-4.5,-0.27,0.23,-1.46,0.38,-0.48,-0.07,-2.47,3.57,-1.18,-1.15,0.42,0.41,2.29,0.96,1.39,51
-0.36,-0.05,-0.57,0.22,2.65,1.24,5.04,2.89,-1.01,6.83,-0.69,1.36,-0.45,-0.72,3.48,-2.75,1.74,-1.19,-0.52,-1.57,2.78,-0.41,1.99,1.46,-3.27,-3.77,0.57,-0.09,-0.0,3.99,-1.09,-3.89,5
-0.09,0.3,-0.55,-0.62,1.71,0.02,-0.57,-3.83,-0.09,1.82,0.37,0.36,-2.45,0.3,2.62,-5.5,-4.85,1.93,-0.21,-2.12,-2.75,-0.05,0.25,0.38,1.35,-3.74,1.01,-1.01,0.2,2.07,-0.67,-8.1,23
0.07,0.75,-1.4,-0.42,-3.3,0.33,-2.35,-0.58,0.48,-1.55,1.03,0.23,-0.19,-0.55,0.48,1.39,-1.51,-0.64,-1.55,0.91,0.43,-0.1,1.0,-2.51,3.73,1.07,-1.01,-0.21,-2.02,-2.41,-0.4,0.57,8
-1.02,-0.01,1.21,2.28,-1.08,3.16,4.01,1.66,-0.27,-3.78,1.26,-0.04,-2.67,-0.09,1.73,-0.03,8.3,-1.16,0.11,2.07,-1.86,0.59,0.78,1.53,0.74,1.06,0.0,1.91,0.89,-3.13,0.07,-3.34,37
-1.54,-0.52,-0.19,1.32,-1.02,1.85,1.77,-1.76,-2.52,-0.41,0.88,-0.48,2.29,-1.34,-1.21,1.87,-2.61,0.46,2.39,-0.67,-0.86,0.02,1.33,-0.39,-1.1,-1.95,-0.2,1.75,1.28,2.89,0.25,-0.17,4
1.35,0.53,0.17,2.37,3.24,3.61,5.03,0.87,-0.82,1.58,0.1,0.44,-2.95,0.47,-1.82,-1.97,7.86,0.72,0.35,-1.34,2.15,1.22,1.12,1.48,-1.82,1.04,0.72,-0.68,1.0,-2.51,-1.15,4.55,7
