"X_0","X_1","X_2","X_3","X_4","X_5","X_6","X_7","X_8","X_9","X_10","X_11","X_12","X_13","X_14","X_15","X_16","X_17","X_18","X_19","X_20","X_21","X_22","X_23","h","d","m","purchase_date","return_date","target"
0.38,-1.55,1.52,-0.59,1.02,-0.4,-0.57,-0.25,-0.7,0.58,-0.78,0.23,1.49,0.52,0.41,0.4,-0.65,0.39,-1.55,1.41,0.6,1.06,-2.18,0.96,"h_4","d_10","m_10","2002-01-29","2002-12-09 04:00:00",24
-0.64,-0.58,1.3,1.12,0.12,0.76,-0.28,-1.87,-0.17,-1.04,-1.62,-1.38,1.53,0.75,1.23,0.03,-0.45,-0.96,-0.34,1.47,-0.76,-1.7,0.43,-1.8,"h_5","d_11","m_16","2017-05-14","2018-09-25 05:00:00",32
-1.65,0.59,-0.62,-1.85,-1.1,2.13,-1.56,-0.41,-0.62,-0.15,-0.54,-0.48,-0.51,-0.79,0.35,1.58,-0.39,0.28,-0.63,1.33,-0.33,-2.57,0.07,0.31,"h_0","d_11","m_14","2008-03-29","2009-06-09 00:00:00",25
-0.3,3.24,0.14,0.19,1.44,0.0,1.42,0.47,0.33,-1.3,0.11,-0.3,1.22,-1.38,0.18,1.31,-1.31,-0.7,-0.58,-0.34,-0.37,-0.81,-1.8,-0.55,"h_1","d_6","m_4","2003-06-10","2003-10-16 01:00:00",11
1.73,0.24,-0.15,-1.02,0.72,-0.14,-0.55,-0.88,0.29,0.22,0.51,-0.88,1.0,-0.73,-0.54,0.32,1.53,-2.35,0.02,-0.17,-0.08,0.84,1.08,0.43,"h_8","d_11","m_0","2016-04-30","2016-05-11 08:00:00",19
-0.58,-0.46,-0.44,-1.99,-0.31,0.85,-0.86,0.92,-0.84,2.08,-0.06,1.75,-0.1,-2.79,-0.54,-0.42,-0.29,-0.56,0.61,-1.84,-1.48,-0.17,-0.28,0.58,"h_7","d_10","m_28","2018-06-21","2020-10-31 07:00:00",45
-0.61,0.46,0.32,-0.93,1.87,1.04,-0.75,1.11,0.45,0.63,-1.2,-0.43,0.26,0.15,1.37,-1.48,-0.89,0.48,0.6,0.08,0.06,1.01,-1.55,1.05,"h_3","d_11","m_6","2020-08-31","2021-03-11 03:00:00",20
1.21,-1.32,-0.09,-0.31,0.5,-1.82,-1.89,0.93,1.31,0.23,0.79,-1.48,-0.82,0.85,-0.92,2.42,1.0,0.98,-0.76,-1.3,-0.49,-0.39,1.14,-0.41,"h_11","d_10","m_25","2016-09-06","2018-10-16 11:00:00",46
1.24,1.73,1.63,-0.2,-0.96,-1.11,0.25,-0.68,0.37,-2.22,0.16,1.0,0.88,0.18,0.39,0.33,0.22,-0.71,1.69,1.05,0.07,-0.85,-1.19,0.12,"h_5","d_11","m_20","2007-11-25","2009-08-05 05:00:00",36
0.88,-0.13,-0.08,0.18,-1.57,-0.63,-0.19,-0.17,0.49,-1.38,-0.93,-1.65,-1.46,-0.5,0.1,0.82,-0.8,-1.04,-0.01,0.29,0.43,-1.49,-1.38,-1.45,"h_1","d_8","m_15","2021-06-30","2022-10-08 01:00:00",24
1.63,-0.24,-2.15,0.74,-0.1,-0.22,-0.84,0.65,1.27,0.59,-0.68,2.11,0.01,1.0,2.05,-0.87,-0.78,-0.03,-0.48,-0.15,-0.33,0.51,1.1,0.49,"h_1","d_8","m_9","2014-02-23","2014-12-01 01:00:00",18
-0.19,0.12,-0.21,-0.53,2.25,-1.58,1.48,-0.6,-0.13,0.05,-1.72,-0.71,-0.24,-0.43,-0.65,-1.62,0.56,1.16,0.57,-0.94,1.97,1.92,-0.85,0.63,"h_5","d_7","m_16","2009-12-12","2011-04-19 05:00:00",28
1.52,0.34,1.3,-0.77,1.2,0.63,-1.15,0.99,0.0,-2.43,-0.38,0.35,1.86,0.05,1.37,-0.31,-1.33,-0.84,-0.18,1.28,1.54,0.4,-0.88,0.76,"h_2","d_10","m_20","2008-05-13","2010-01-23 02:00:00",32
0.53,0.18,1.03,0.01,0.63,-1.25,-0.21,-0.76,0.84,1.4,0.32,-0.98,-0.15,0.94,1.0,0.18,-0.97,0.43,-0.14,0.7,2.22,0.04,0.55,-0.52,"h_11","d_10","m_25","2008-02-08","2010-03-18 11:00:00",46
-0.31,-1.02,-0.75,1.3,1.2,-0.16,0.7,0.5,0.22,-1.32,-0.8,0.04,-0.13,-0.23,-1.26,-0.6,-0.65,-1.41,-0.82,0.29,0.56,0.92,-0.29,0.22,"h_2","d_7","m_18","2014-06-29","2016-01-05 02:00:00",27
1.25,1.3,-2.34,-0.27,1.31,-0.45,0.25,2.31,0.96,-0.18,0.51,-0.46,-0.7,0.3,-1.36,-0.12,0.92,-0.46,0.0,-1.44,-0.47,-0.82,-0.07,0.17,"h_3","d_11","m_9","2016-07-27","2017-05-08 03:00:00",23
